Plotnummer,Quadrant,Rueckegasse,Esche markiert,Baumart,Hoehe,Hoehe Vorjahr,Hoehe Vorvorjahr,Anzahl Triebe,ETS abgestorben frisch,ETS abgestorben alt,ETS lebend,Verbiss lebend,Verbiss tot,Sonstige Gruende tot,Bemerkungen,Rand,Zaun
,,,,BAh,91,,,,,,,,,,,FALSE,FALSE
,,,,BAh,40,,,,,,,,,,,FALSE,FALSE
,,,,BAh,43,,,,,,,,,,,FALSE,FALSE
,,,,BAh,185,161,132,,,,,,,,,FALSE,FALSE
,,,,BAh,120,111,105,,,,,,,,,FALSE,FALSE
,,,,BAh,115,101,97,,,,,,,,,FALSE,FALSE
,,,,SAh,130,120,114,,,,,,,,,FALSE,FALSE
,,,,BAh,84,,,,,,,,,,,FALSE,FALSE
,,,,BAh,54,,,,,,,,,,,FALSE,FALSE
,,,,BAh,52,,,,,,,,,,,FALSE,FALSE
,,,,BAh,55,,,,,,,,,,,FALSE,FALSE
,,,,BAh,91,,,,,,,,,,,FALSE,FALSE
,,,,BAh,135,117,101,,,,,,,,,FALSE,FALSE
,,,,BAh,70,25,,,,,,,,,,FALSE,FALSE
,,,,BAh,88,,,,,,,,,,,FALSE,FALSE
,,,,BAh,196,188,176,,,,,,,,,FALSE,FALSE
,,,,BAh,64,,,,,,,,,,,FALSE,FALSE
,SW,,,BAh,238,195,155,,,,,,,,,FALSE,FALSE
,,,,BAh,128,115,101,,,,,,,,,FALSE,FALSE
,,,,BAh,166,150,130,,,,,,,,,FALSE,FALSE
,,,,BAh,80,,,,,,,,,,,FALSE,FALSE
,,,,BAh,80,,,,,,,,,,,FALSE,FALSE
,,,,BAh,175,166,160,,,,,,,,,FALSE,FALSE
,,,,BAh,71,,,,,,,,,,,FALSE,FALSE
,,,,BAh,144,137,128,,,,,,,,,FALSE,FALSE
,,,,BAh,103,97,92,,,,,,,,,FALSE,FALSE
,,,,BAh,177,168,145,,,,,,,,,FALSE,FALSE
,,,,BAh,149,134,118,,,,,,,,,FALSE,FALSE
,,,,BAh,155,140,125,,,,,,,,,FALSE,FALSE
,,,,BAh,50,,,,,,,,,,,FALSE,FALSE
,,,,BAh,279,264,229,,,,,,,,,FALSE,FALSE
,,,,BAh,106,,,,,,,,,,,FALSE,FALSE
,,,,BAh,50,,,,,,,,,,,FALSE,FALSE
,,,,BAh,83,,,,,,,,,,,FALSE,FALSE
,,,,BAh,136,120,80,,,,,,,,,FALSE,FALSE
,,,,BAh,281,210,161,,,,,,,,,FALSE,FALSE
,,,,BAh,53,47,31,,,,,,,,,FALSE,FALSE
,,,,BAh,52,47,39,,,,,,,,,FALSE,FALSE
,,,,BAh,74,,,,,,,,,,,FALSE,FALSE
,,,,BAh,62,,,,,,,,,,,FALSE,FALSE
,,,,BAh,49,,,,,,,,,,,FALSE,FALSE
,,,,BAh,160,155,142,,,,,,,,,FALSE,FALSE
,,,,BAh,97,86,55,,,,,,,,,FALSE,FALSE
,,,,BAh,163,149,127,,,,,,,,,FALSE,FALSE
,,,,BAh,226,217,197,,,,,,,,,FALSE,FALSE
,,,,BAh,88,,,,,,,,,,,FALSE,FALSE
,,,,BAh,136,127,103,,,,,,,,,FALSE,FALSE
,,,,BAh,172,162,141,,,,,,,,,FALSE,FALSE
,,,,BAh,63,,,,,,,,,,,FALSE,FALSE
,so,,,BAh,91,70,,,,,,,,,,FALSE,FALSE
,,,,BAh,129,120,109,,,,,,,,,FALSE,FALSE
,,,,BAh,68,,,,,,,,,,,FALSE,FALSE
,,,,Esche,80,72,57,1,,,,,,,,FALSE,FALSE
,,,,BAh,66,,,,,,,,,,,FALSE,FALSE
,,,,BAh,106,101,86,,,,,,,,,FALSE,FALSE
,,,,BAh,50,,,,,,,,,,,FALSE,FALSE
,,,,BAh,74,,,,,,,,,,,FALSE,FALSE
,,,,BAh,95,90,83,,,,,,,,,FALSE,FALSE
,,,,BAh,150,141,122,,,,,,,,,FALSE,FALSE
,,,,BAh,140,135,122,,,,,,,,,FALSE,FALSE
,,,,BAh,163,154,116,,,,,,,,,FALSE,FALSE
,,,,BAh,120,98,65,,,,,,,,,FALSE,FALSE
,,,,BAh,98,60,,,,,,,,,,FALSE,FALSE
,,,,BAh,151,133,114,,,,,,,,,FALSE,FALSE
,,,,BAh,73,,,,,,,,,,,FALSE,FALSE
,,,,BAh,123,100,68,,,,,,,,,FALSE,FALSE
,,,,BAh,144,127,112,,,,,,,,,FALSE,FALSE
,,,,BAh,79,,,,,,,,,,,FALSE,FALSE
,,,,BAh,94,,,,,,,,,,,FALSE,FALSE
,,,,BAh,135,116,,,,,,,,,,FALSE,FALSE
,,,,BAh,93,,,,,,,,,,,FALSE,FALSE
,,,,BAh,76,68,53,,,,,,,,,FALSE,FALSE
,,,,BAh,100,86,70,,,,,,,,,FALSE,FALSE
,,,,BAh,57,,,,,,,,,,,FALSE,FALSE
,,,,BAh,151,137,127,,,,,,,,,FALSE,FALSE
,,,,BAh,90,,,,,,,,,,,FALSE,FALSE
,,,,BAh,126,111,93,,,,,,,,,FALSE,FALSE
,,,,BAh,271,242,216,,,,,,,,,FALSE,FALSE
,NO,,,BAh,115,,,,,,,,,,,FALSE,FALSE
,,,,BAh,170,134,103,,,,,,,,,FALSE,FALSE
,,,,BAh,114,107,100,,,,,,,,,FALSE,FALSE
,,,,BAh,89,,,,,,,,,,,FALSE,FALSE
,,,,BAh,51,,,,,,,,,,,FALSE,FALSE
,,,,BAh,89,,,,,,,,,,,FALSE,FALSE
,,,,BAh,80,,,,,,,,,,,FALSE,FALSE
,,,,BAh,94,76,67,,,,,,,,,FALSE,FALSE
,,,,BAh,156,130,107,,,,,,,,,FALSE,FALSE
