Plotnummer,Rueckegasse,Esche markiert,Baumart,Hoehe,Anzahl Triebe,Einjaehriger Saemling,ETS abgestorben frisch,ETS abgestorben alt,ETS lebend,Verbiss lebend,Verbiss tot,Sonstige Gruende tot,Blattflecken,Bemerkungen,Zaun,Ausgeschlossen Rand Zaun
,,,Esch,9,1,1,,,,,,,,,TRUE,FALSE
,,,Esch,3,1,1,,,,,,,,,TRUE,FALSE
,,,Esch,5,1,1,,,,,,,,,TRUE,FALSE
,,,Sah,8,,,,,,,,,,,TRUE,FALSE
,,,Bah,15,,,,,,,,,,,TRUE,FALSE
,,,Esch,13,2,,T1,,,,,,,,TRUE,FALSE
,,,Esch,14,2,,T1,,,,,,,,TRUE,FALSE
,,,Esch,9,1,,,,,,,,,,TRUE,FALSE
,,,Esch,6,1,,,,,,,,,,TRUE,FALSE
,,,Esch,27,2,,,,,,1,,,,TRUE,FALSE
,,,Esch,15,3,,,T2,,,,,,,TRUE,FALSE
,,,Esch,11,2,,,,,,,1,,,TRUE,FALSE
,,,Esch,36,7,,,,,,T4,,,,TRUE,FALSE
,,,Esch,18,1,,,,,,,,,,TRUE,FALSE
,,,Esch,19,2,,,,,,,,,,TRUE,FALSE
,,,Esch,25,2,,,,,,,,,,TRUE,FALSE
,,,Esch,25,5,,,,,,3,,,,TRUE,FALSE
,,,Esch,15,1,,,,,,,,,,TRUE,FALSE
,,,Esch,6,1,,,,,,,,,,TRUE,FALSE
,,,Esch,11,1,,,,,,,,,,TRUE,FALSE
,,,Esch,24,1,,,,,,,,,,TRUE,FALSE
,,,Esch,26,1,,,,,,,,,,TRUE,FALSE
,,,Esch,16,2,,,,,,,1,,,TRUE,FALSE
,,SW,Esch,19,1,,,,,,,,1,,TRUE,FALSE
,,,Esch,9,1,,,,,,,,,,TRUE,FALSE
,,,Esch,28,4,,,,,,,1,,,TRUE,FALSE
,,,Esch,31,1,,,,,,,,,,TRUE,FALSE
,,,Esch,20,1,,,,,,,,,,TRUE,FALSE
,,,Esch,13,1,,,,,,,,,,TRUE,FALSE
,,,Esch,28,5,,,,,,,1,,,TRUE,FALSE
,,,Esch,16,1,,,,,,,,,,TRUE,FALSE
,,,Esch,18,9,,T1,,,,,7,,Galle/Krebs,TRUE,FALSE
,,,Esch,8,1,,,,,,,,,,TRUE,FALSE
,,,Sah,13,,,,,,,,,,,TRUE,FALSE
,,,Esch,10,1,1,,,,,,,,,TRUE,FALSE
,,,Esch,22,3,,,,,,,1,,,TRUE,FALSE
,,NW,Esch,16,1,,,,,,,,1,,TRUE,FALSE
,,,BAh,10,,,,,,,,,,,TRUE,FALSE
,,,Esch,15,1,,,,,,,,,,TRUE,FALSE
,,,Esch,16,3,,,,,,,,,,TRUE,FALSE
,,,Esch,4,1,1,,,,,,,,,TRUE,FALSE
,,,Esch,25,4,,,,,,,,,,TRUE,FALSE
,,,Esch,23,3,,,,,,,1,,,TRUE,FALSE
,,Mitte,Esch,14,4,,,,,,,,1,,TRUE,FALSE
,,,Esch,17,6,,T4,,,,,,,,TRUE,FALSE
,,,Esch,5,2,,,,,,,T1,,,TRUE,FALSE
,,,Esch,14,1,,,,,,,,,,TRUE,FALSE
,,,Esch,18,3,,,,,,,2,,,TRUE,FALSE
,,,Esch,19,1,,,,,,,,,,TRUE,FALSE
