Plotnummer,Rueckegasse,Esche markiert,Gefunden,Baumart,Hoehe,Anzahl Triebe,Einjaehriger Saemling,ETS abgestorben frisch,ETS abgestorben alt,ETS lebend,Verbiss lebend,Verbiss tot,Sonstige Gruende tot,Gruene Hoehe,Aceria fraxinivora,Nicht gerade,Bemerkungen
,,sw,t,esch,3,1,,,,,,,t1,,,,
,,,,esch,11,1,,,,,,,,,,,
8917,,no,t,esch,8,1,,,,,,,,,,,
,,nw,t,esch,13,3,,,,,,,,,,,
,,,,esch,15,2,,,,,,1,,,,,
,,,,esch,12,1,,,,,,,,,,,
,,sw,t,esch,11,1,,,,,,,,,,,
,,,,esch,20,3,,,,,,,,,,,
,,,,esch,16,1,,,,,,,,,,,
,,so,t,esch,7,1,,,,,,,,,,,
,,,,esch,17,4,,,,,,,,,,,
,,,,esch,14,1,,,,,,,,,,,
8918,,so,t,esch,28,1,,,,,,,,,,,
,,,,rbu,21,,,,,,,,,,,,
,,,,esch,26,2,,,,,,1,,,,,
,,nw,t,esch,10,1,,,,,,,,,,,
,,,,rbu,62,,,,,,,,,,,,
8919,,no,t,esch,10,1,,,,,,,,,,,
,,,,esch,10,1,,,,,,,,,,,
,,,,esch,7,1,,,,,,,,,,,
,,,,rbu,16,,,,,,,,,,,,
,,nw,t,esch,12,1,,,,,,,,,,,
,,,,esch,8,1,,,,,,,,,,,
,,,,esch,9,1,,,,,,,,,,,
,,,,rbu,20,,,,,,,,,,,,
,,,,esch,16,3,,,,,,t1,,14,,,
,,,,esch,8,1,,,,,,,,,,,
,,sw,t,esch,21,1,,,,,,,t1,,,,
,,,,rbu,17,,,,,,,,,,,,
,,so,t,esch,7,1,,,,,,,,,,,
8920,,mitte,t,esch,9,1,,,,,,,,,,,
,,,,esch,14,3,,t1,,,,,,12,,,
,,no,t,esch,12,2,,,,,,,,,,,
,,nw,t,esch,10,2,,,,,,,t2,,,,
,,,,esch,16,1,,,,,,,,,,,
,,,,esch,15,1,,,,,,,,,,,
,,sw,t,esch,12,2,,,,,,,,,,,
,,,,bah,43,,,,,,,,,,,,
,,,,esch,27,3,,,,,,,,,,,
,,,,rbu,100,,,,,,,,,,,,
,,,,esch,14,1,,,,,,,,,,,
,,,,esch,6,1,,,,,,,,,,,
,,,,esch,7,1,,,,,,,,,,,
8921,,,,bah,19,,,,,,,,,,,,
,,so,t,esch,15,1,,,,,,,,,,,
,,,,kirsche,14,,,,,,,,,,,,
,,mitte,t,esch,27,4,,,,,,1,1,,,,
8922,,no,t,esch,29,5,,,,,,t1,,29,,,
,,,,esch,30,3,,,,,,,,,,,
,,nw,t,esch,11,1,,,,,,,,,,,
,,,,esch,16,2,,,,,,,,,,,
,,mitte,t,esch,6,1,,,,,,,,,,,
,,,,esch,9,1,,,,,,,,,,,
,,,,esch,8,2,,,,,,,,,,,
,,so,t,esch,17,2,,,,,,,,,,,
,,,,esch,27,2,,,,,,,,,,,
8923,,nw,t,esch,15,2,,,,,,,,,,,
,,,,esch,43,6,,,,,,t1,,42,,,
,,,,hbu,41,,,,,,,,,,,,
,,no,t,esch,21,5,,,,,,1,,,,,
,,,,esch,29,6,,,,,2,t2,,23,,,
,,,,esch,34,7,,,,,t1,2,,33,,,
,,sw,t,esch,37,8,,,,,1,t2,,30,,,
,,,,esch,35,5,,,,,1,,,,,,
,,so,t,esch,36,5,,,,,t3,,,33,,,
,,,,esch,28,4,,,,,1,,,,,,
,,,,esch,27,3,,,,,,,,,,,
,,,,esch,10,2,,,,,,1,,,,,
,,,,esch,5,1,t,,,,,,,,,,
8924,,no,t,esch,8,2,,,,,,,,,,,
,,,,esch,9,1,,,,,,,,,,,
,,,,bah,15,,,,,,,,,,,,
,,so,t,esch,13,1,,,,,,,,,,,
,,,,esch,10,1,,,,,,,,,,,
,,,,esch,19,6,,,,,,,t5,17,5,,
