Plotnummer,Quadrant,Rückegasse,Baumart,Höhe,Höhe Vorjahr,Höhe Vorvorjahr,Länge,Länge Vorjahr,Länge Vorvorjahr,Gesamtanzahl Triebe,ets.abgestorben.frisch,ets.abgestorben.alt,ets.lebend,verbiss.lebend,verbiss.abgestorben,sonstiges.abgestorben,Bemerkungen,Foto
,,,hbu,370,x,x,,,,,,,,,,,abgehackt,
,,,esche,228,190,175,,,,4,,,,,,1,,
,ost,,esche,131,108,92,,,,1,,,,,,,,
,,,esche,378,310,301,,,,3,,,,,,,,
,,,esche,135,102,76,,,,1,,,,,,,,
2,nord,,hbu,100,63,46,,,,,,,,,,,stubben im norden,
,,,hbu,107,49,,,,,,,,,,,,,
,ost,,esche,135,130,106,,,,1,,,,,,,,
,,,wildkische,117,98,90,,,,,,,,,,,,
,,,esche,62,,,,,,1,,,,,,,,
,sued,,hbu,104,,,130,,,,,,,,,,,
,west,,esche,58,35,23,138,111,77,2,,,,,,,,
,,,esche,75,60,42,120,98,73,1,,,,,,,,
,,,esche,93,38,,128,71,,2,,,,,1,,,
,,,esche,181,172,123,242,240,192,4,,,,,,2,,
,,,hbu,242,118,,,,,,,,,,,,,
,,,hbu,112,,,,,,,,,,,,,,
3,,ja, ,,,,,,,,,,,,,,,
4,ost,,ulmus glabra,530,490,465,650,544,470,,,,,,,,baum 167 steht 40cm nordöstlich der no-kante,
,,,hbu,400,352,310,,,,,,,,,,,,
,,,esche,178,153,140,,,,2,,,,,,,,
,süd,,hbu,630,625,600,,,,,,,,,,,,
,,,hbu,354,329,326,387,338,322,,,,,,,,,
,,,esche,114,93,70,207,122,93,2,,,,,,,lag unter totholz,
,west,,hbu,910,875,866,1080,939,920,,,,,,,,,
,,,esche,75,66,,,,,1,,,,,,,,
,nord,, ,,,,,,,,,,,,,,,
15,süd,,esche,117,104,83,,,,1,,,,,,,unter kronenteilen und holz,
,,,esche,135,124,103,,,,1,,,,,,,,
,west,,linde,314,170,110,,,,,,,,,,,,
,nord,,ulmus glabra,290,155,133,,,,,,,,,,,,
,ost,,esche,98,80,65,,,,1,,,,,,,,
,,,hbu,1228,1085,991,,,,,,,,,,,,
16,ost,,hbu,162,138,1,,,,,,,,,,,eigentlich aelter,
,nord,,hbu,182,160,157,,,,,,,,,,,,
,,,hbu,255,251,248,,,,,,,,,,,,
,,,esche,81,69,64,,,,1,,,,,,,,
,,,esche,108,73,,,,,1,,,,,,,,
,,,esche,82,71,61,,,,1,,,,,,,,
,,,esche,38,,,,,,1,,,,,,,,
,,,esche,92,,,,,,,,,,,,,,
,sued,,hbu,160,127,100,430,254,191,,,,,,,,,
,west,,ulmus glabra,276,199,186,454,372,336,,,,,,,,,
17,sued,,hbu,465,420,400,670,510,500,,,,,,,,unter schlagabraum,
