Plotnummer,Quadrant,Rückegasse,Baumart,Höhe,Höhe Vorjahr,Höhe Vorvorjahr,Länge,Länge Vorjahr,Länge Vorvorjahr,Gesamtanzahl Triebe,ets.abgestorben.frisch,ets.abgestorben.alt,ets.lebend,verbiss.lebend,verbiss.abgestorben,sonstiges.abgestorben,Bemerkungen,Foto
6,S,,,,,,,,,,,,,,,,,
,O,,,,,,,,,,,,,,,,Keine Bäume,
,,,Pfaffe,1,1,1,290,194,135,,,,,,,,,
,,,Esche,114,70,,,,1,,,,,,,,,
,,,Esche,80,75,62,82,77,67,1,,,,,,,,
,O,,Pfaffe,1,1,1,238,165,104,,,,,,,,,
,,,Pfaffe,160,30,1,237,40,1,,,,,,,,,
,,,Pfaffe,82,43,30,281,192,141,,,,,,,,,
,,,Pfaffe,82,,,83,,,,,,,,,,,
,,,Pfaffe,244,179,121,360,277,205,,,,,,,,,
,,,Pfaffe,274,265,192,,,,,,,,,,,,
,,,Pfaffe,145,5,,175,10,,,,,,,,,,
,,,Esche,114,108,37,166,158,92,1,,,,,,,,
,N,,Esche,271,223,208,,,,4,,1,,,,1,,
,,,Esche,161,133,115,175,142,130,2,,,,,,,,
,,,Pfaffe,298,147,113,424,325,211,,,,,,,,,
,,,Pfaffe,343,295,262,348,264,262,,,,,,,,,
,,,Esche,145,140,72,178,171,104,2,,,,,,1,,
,w,,Pfaffe,143,48,1,177,48,1,,,,,,,,,
,,,Pfaffe,163,69,,211,103,,,,,,,,,,
,,,Pfaffe,129,41,1,428,334,156,,,,,,,,,
,,,Esche,123,56,30,178,111,85,1,,,,,,,,
,,,BAh,89,59,,101,67,,,,,,,,,,
,,,Pfaffe,253,240,157,384,366,283,,,,,,,,,
,,,Esche,152,115,98,150,112,95,2,,,,,,1,,
33,N,, ,,,,,,,,,,,,,,Keine Bäume,122-3848
,O,, ,,,,,,,,,,,,,,,
,S,, ,,,,,,,,,,,,,,,
,W,, ,,,,,,,,,,,,,,,
44,W,,Pfaffe,144,33,1,305,189,65,,,,,,,,,
,,,Pfaffe,153,124,115,202,175,149,,,,,,,,,
,,,Pfaffe,1,1,1,418,302,150,,,,,,,,,
,,,Pfaffe,123,104,84,170,144,114,,,,,,,,,
,,,Pfaffe,264,72,,305,104,,,,,,,,,,
,,,Pfaffe,230,122,40,403,292,192,,,,,,,,,
,,,Pfaffe,160,68,54,226,129,111,,,,,,,,,
,,,Pfaffe,178,1,1,522,322,137,,,,,,,,,
,,,Pfaffe,234,1,,298,90,,,,,,,,,,
,,,Pfaffe,537,438,387,,,,,,,,,,,,
,s,,Pfaffe,184,141,121,271,225,192,,,,,,,,,
,,,Pfaffe,128,97,45,172,108,45,,,,,,,,,
,,,Pfaffe,144,98,,180,112,,,,,,,,,,
,,,Pfaffe,124,103,,130,108,,,,,,,,,,
,,,Esche,441,423,420,514,493,489,17,0,2,,,,3,,
,o,,Pfaffe,161,58,1,210,108,1,,,,,,,,,
,,,Pfaffe,100,44,44,186,106,96,,,,,,,,,
,,,Pfaffe,196,101,78,253,127,101,,,,,,,,,
,,,Pfaffe,120,115,,,,,,,,,,,,,
,,,Pfaffe,196,62,,201,67,,,,,,,,,,
,,,Pfaffe,161,66,1,177,79,1,,,,,,,,,
,,,Pfaffe,348,339,329,387,374,363,,,,,,,,,
,,,Pfaffe,220,193,140,230,204,152,,,,,,,,,
,,,Pfaffe,269,265,262,311,305,301,,,,,,,,,
,,,Pfaffe,305,295,209,,,,,,,,,,,,
,,,Pfaffe,510,382,283,,,,,,,,,,,,
,n,,Pfaffe,518,482,477,598,555,551,,,,,,,,,
,,,Pfaffe,182,35,1,236,7,1,,,,,,,,,
,,,Pfaffe,160,1,1,473,257,210,,,,,,,,,
,,,Pfaffe,203,162,84,230,180,103,,,,,,,,,
,,,Pfaffe,212,144,84,263,185,102,,,,,,,,,
,,,Pfaffe,65,50,43,454,433,417,,,,,,,,,
,,,Pfaffe,1033,997,962,,,,,,,,,,,,
,,,Pfaffe,215,122,85,245,150,117,,,,,,,,,
,,,Pfaffe,220,149,53,,,,,,,,,,,,
,,,Pfaffe,362,322,288,369,327,293,,,,,,,,,
,,,Pfaffe,190,108,1,198,115,1,,,,,,,,,
,,,Esche,337,282,195,,,,33,,,,,,,,
53,s,,Pfaffe,321,261,153,324,264,151,,,,,,,,,
,,,Pfaffe,123,62,6,,,,,,,,,,,,
,,,Pfaffe,153,135,116,294,273,256,,,,,,,,,
,,,Pfaffe,74,59,45,268,245,229,,,,,,,,,
,,,Pfaffe,284,252,248,495,464,458,,,,,,,,,
,,,Pfaffe,84,68,35,277,245,217,,,,,,,,,
,,,Pfaffe,151,136,114,,,,,,,,,,,,
,,,Pfaffe,180,171,153,190,182,163,,,,,,,,,
,w,,Pfaffe,340,313,277,810,778,716,,,,,,,,,
,,,Pfaffe,205,198,188,629,620,608,,,,,,,,,
,,,Pfaffe,242,213,202,261,227,210,,,,,,,,,
,,,Pfaffe,130,117,48,198,181,110,,,,,,,,,
,,,Pfaffe,297,280,265,334,304,294,,,,,,,,,
,,,Pfaffe,112,79,35,203,169,121,,,,,,,,,
,,,Pfaffe,231,175,143,,,,,,,,,,,,
,,,Pfaffe,246,230,200,,,,,,,,,,,,
,,,Pfaffe,372,282,276,410,317,311,,,,,,,,,
,n,,Pfaffe,335,332,283,522,515,456,,,,,,,,,
,,,Pfaffe,242,225,211,312,287,274,,,,,,,,,
,,,Pfaffe,220,219,173,294,275,198,,,,,,,,,
,,,Pfaffe,190,135,110,309,251,222,,,,,,,,,
,,,Pfaffe,711,534,488,,,,,,,,,,,,
,,,Pfaffe,110,100,97,205,195,190,,,,,,,,,
,,,Pfaffe,157,125,98,352,315,287,,,,,,,,,
,,,Pfaffe,233,202,160,251,212,168,,,,,,,,,
,,,Pfaffe,118,105,92,145,136,124,,,,,,,,,
,,,Pfaffe,281,252,215,305,294,247,,,,,,,,,
,,,Pfaffe,250,218,203,255,223,208,,,,,,,,,
,o,,Pfaffe,225,207,190,424,402,379,,,,,,,,,
,,,Pfaffe,293,254,249,344,300,244,,,,,,,,,
,,,Pfaffe,158,133,130,368,338,329,,,,,,,,,
,,,Pfaffe,132,130,125,324,310,285,,,,,,,,,
,,,Pfaffe,668,647,638,,,,,,,,,,,,
,,,Pfaffe,127,103,64,179,153,110,,,,,,,,,
65,O,,Esche,104,90,82,197,93,85,1,,,,,,,"Neben Plot ist Baum angekippt, S&W angehoben da auf Wurzelteller",123-3349
,,,Esche,116,106,91,,,,1,,,,,,,,
,,,Esche,97,86,79,,,,1,,,,,,,,
,,,Pfaffe,280,258,237,302,288,280,,,,,,,,,
,,,Esche,120,101,92,129,111,102,1,,,,,,,,
,,,Pfaffe,70,59,55,244,230,215,,,,,,,,,
,,,Pfaffe,335,330,280,361,355,288,,,,,,,,,
,,,Esche,89,77,70,109,91,82,3,,,,,,T1,,
,,,Esche,100,91,81,102,91,81,1,,,,,,,,
,,,Esche,89,85,79,,,,1,,,,,,,,
,,,Esche,127,108,100,130,111,103,1,,,,,,,,
,S,,Pfaffe,221,1,1,237,1,1,,,,,,,,Triebaustritt aus an Boden liegendem Trieb,
,,,HBu,220,107,173,244,208,185,,,,,,,,,
,,,Esche,80,75,65,96,89,81,1,,,,,,,,
,,,HBu,199,181,158,209,188,179,,,,,,,,,
,W,,Pfaffe,270,168,155,391,275,262,,,,,,,,,
,,,Pfaffe,435,285,245,522,372,331,,,,,,,,,
,,,Pfaffe,295,265,230,412,377,328,,,,,,,,,
,,,Pfaffe,320,311,305,345,336,329,,,,,,,,,
,,,Pfaffe,214,191,170,229,205,181,,,,,,,,,
,,,Pfaffe,208,165,162,224,174,169,,,,,,,,,
,,,Esche,100,95,84,141,135,114,1,,,,,,,,
,,,Esche,110,105,91,124,118,108,2,,,,,,,,
,,,Esche,100,95,83,117,111,99,1,,,,,,,,
,,,BAh,118,110,95,134,127,114,,,,,,,,,
,,,U glabra,855,777,700,,,,,,,,,,,,
,N,,Esche,111,101,94,,,,1,,,,,,,,
,,,Pfaffe,231,175,144,382,308,270,,,,,,,,,
,,,Pfaffe,229,187,103,312,365,173,,,,,,,,,
,,,Esche,147,141,134,,,,1,,,,,,,,
,,,Esche,154,142,130,,,,1,,,,,,,,
,,,Esche,112,99,93,133,117,112,1,,,,,,,,
,,,Pfaffe,282,270,261,282,270,261,,,,,,,,,
,,,BAh,2581,2437,2008,,,,,,,,,,,,
74,N,,Esche,147,140,134,167,160,155,2,,,,,,,,
,,,BAh,450,419,403,465,435,416,,,,,,,,,
,,,BAh,265,257,250,,,,,,,,,,,,
,,,Esche,102,97,95,,,,1,,,,,,,,
,,,Esche,135,130,127,140,135,131,1,,,,,,,,
,,,Esche,119,114,110,120,115,111,1,,,,,,,,
,,,Esche,95,92,90,,,,1,,,,,,,,
