"","Plotnummer","Rueckegasse","Esche.markiert","Baumart_kurz","Hoehe","Anzahl.Triebe","Einjaehriger.Saemling","ETS.abgestorben.frisch","ETS.abgestorben.alt","ETS.lebend","Verbiss.lebend","Verbiss.tot","Sonstige.Gruende.tot","Blattflecken","Bemerkungen","Zaun","Ausgeschlossen.Rand.Zaun","Flaeche","Jahr","ETS.abgestorben.frisch.terminal","ETS.abgestorben.alt.terminal","ETS.lebend.terminal","Verbiss.lebend.terminal","Verbiss.tot.terminal","Sonstige.Gruende.tot.terminal"
"30",NA,FALSE,"SW","GEs",7,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"31",NA,FALSE,"SO","GEs",10,1,FALSE,NA,NA,NA,NA,NA,NA,3,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"32",8911,FALSE,"NO","GEs",6,1,FALSE,NA,NA,NA,NA,NA,NA,3,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"33",NA,FALSE,"SO","GEs",7,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"34",NA,FALSE,"NW","GEs",5,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"35",NA,FALSE,"MITTE","GEs",6,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"36",8913,FALSE,"SW","GEs",9,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"37",NA,FALSE,"MITTE","GEs",5,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"38",NA,FALSE,"NW","GEs",11,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"39",8914,FALSE,"NW","GEs",5,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"40",NA,FALSE,"NO","GEs",11,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"Keine Blätter",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"41",NA,FALSE,"SO","GEs",6,1,FALSE,NA,NA,NA,NA,NA,NA,3,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"42",NA,FALSE,"SW","GEs",11,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"43",8916,FALSE,"NW","GEs",7,3,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"44",NA,FALSE,"SW","GEs",3,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"45",NA,FALSE,"NO","GEs",7,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"46",8917,FALSE,"NW","GEs",12,3,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"47",NA,FALSE,"NO","GEs",7,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"48",NA,FALSE,"SO","GEs",5,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"49",NA,FALSE,"SW","GEs",6,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"50",8918,FALSE,"SO","GEs",21,1,FALSE,NA,NA,NA,NA,NA,NA,2,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"51",NA,FALSE,"NW","GEs",8,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"52",8919,FALSE,"SW","GEs",21,1,FALSE,NA,NA,NA,NA,NA,NA,1,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"53",NA,FALSE,"NW","GEs",11,1,FALSE,NA,NA,NA,NA,NA,NA,1,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
