"","Plotnummer","Rueckegasse","Esche.markiert","Baumart_kurz","Hoehe","Anzahl.Triebe","Einjaehriger.Saemling","ETS.abgestorben.frisch","ETS.abgestorben.alt","ETS.lebend","Verbiss.lebend","Verbiss.tot","Sonstige.Gruende.tot","Blattflecken","Bemerkungen","ETS.abgestorben.frisch.terminal","ETS.abgestorben.alt.terminal","ETS.lebend.terminal","Verbiss.lebend.terminal","Verbiss.tot.terminal","Sonstige.Gruende.tot.terminal","ETS"
"35",8905,FALSE,NA,"GEs",9,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"36",8906,FALSE,NA,"WLi",6,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"37",8906,FALSE,"NW","GEs",9,1,FALSE,NA,NA,NA,NA,NA,NA,0,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"38",8906,FALSE,NA,"GEs",7,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"39",8906,FALSE,NA,"GEs",9,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"40",8906,FALSE,"NO","GEs",4,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"41",8906,FALSE,NA,"GEs",7,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"42",8906,FALSE,NA,"GEs",7,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"43",8906,FALSE,"SO","GEs",5,1,FALSE,NA,NA,NA,NA,NA,NA,0,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"44",8906,FALSE,NA,"SWe",4,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"45",8907,FALSE,NA,"RBu",28,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"46",8907,FALSE,"SO","GEs",7,1,FALSE,NA,NA,NA,NA,NA,NA,0,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"47",8907,FALSE,"NO","GEs",10,1,FALSE,NA,NA,NA,NA,NA,NA,0,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"48",8907,FALSE,NA,"GEs",3,NA,FALSE,NA,NA,NA,1,NA,NA,NA,"",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"49",8907,FALSE,"NW","GEs",9,1,FALSE,NA,NA,NA,NA,NA,NA,0,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"50",8907,FALSE,NA,"GEs",17,4,FALSE,NA,1,NA,NA,NA,NA,NA,"",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"51",8907,FALSE,"SW","GEs",10,1,FALSE,NA,NA,NA,NA,NA,NA,0,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"52",8907,FALSE,NA,"GEs",12,2,FALSE,NA,NA,NA,NA,NA,1,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"53",8907,FALSE,NA,"GEs",7,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"54",8908,FALSE,"SW","GEs",5,1,FALSE,NA,NA,NA,NA,NA,NA,0,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"55",8908,FALSE,"NW","GEs",6,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"56",8908,FALSE,"SO","GEs",7,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"57",8909,FALSE,"SW","GEs",12,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"58",8909,FALSE,NA,"GEs",8,2,FALSE,NA,NA,NA,NA,NA,1,NA,"Galle/ Krebs",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"59",8909,FALSE,"MITTE","GEs",8,2,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"60",8909,FALSE,"NW","GEs",4,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"61",8910,FALSE,"NO","GEs",11,3,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"62",8910,FALSE,NA,"GEs",5,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"63",8910,FALSE,NA,"GEs",5,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"64",8910,FALSE,"NW","GEs",4,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"65",8910,FALSE,NA,"GEs",8,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"66",8910,FALSE,NA,"GEs",17,2,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"67",8910,FALSE,NA,"GEs",16,2,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"68",8910,FALSE,NA,"GEs",4,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"69",8910,FALSE,NA,"GEs",12,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"70",8910,FALSE,NA,"GEs",10,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"71",8910,FALSE,NA,"GEs",15,3,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"72",8910,FALSE,NA,"GEs",6,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"73",8910,FALSE,NA,"GEs",6,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"74",8910,FALSE,"SW","GEs",7,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"75",8910,FALSE,NA,"GEs",6,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"76",8910,FALSE,"SO","GEs",10,1,FALSE,NA,NA,NA,NA,NA,NA,3,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"77",8911,FALSE,"NO","GEs",6,1,FALSE,NA,NA,NA,NA,NA,NA,3,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"78",8911,FALSE,NA,"GEs",9,2,FALSE,NA,NA,NA,NA,NA,1,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"79",8911,FALSE,NA,"GEs",8,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"80",8911,FALSE,"SO","GEs",7,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"81",8911,FALSE,"NW","GEs",5,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"82",8911,FALSE,"MITTE","GEs",6,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"84",8913,FALSE,"SW","GEs",9,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"85",8913,FALSE,NA,"GEs",4,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"86",8913,FALSE,"MITTE","GEs",5,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"87",8913,FALSE,"NW","GEs",11,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"88",8913,FALSE,NA,"GEs",11,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"89",8914,FALSE,"NW","GEs",5,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"90",8914,FALSE,NA,"GEs",5,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"91",8914,FALSE,NA,"GEs",4,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"92",8914,FALSE,NA,"RBu",16,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"93",8914,FALSE,NA,"GEs",11,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"94",8914,FALSE,NA,"GEs",6,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"95",8914,FALSE,"NO","GEs",11,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"Keine Blätter",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"96",8914,FALSE,NA,"RBu",18,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"97",8914,FALSE,NA,"GEs",10,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"98",8914,FALSE,NA,"GEs",12,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"99",8914,FALSE,NA,"GEs",7,2,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"100",8914,FALSE,NA,"GEs",9,2,FALSE,NA,NA,NA,NA,1,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"101",8914,FALSE,NA,"GEs",5,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"102",8914,FALSE,"SO","GEs",6,1,FALSE,NA,NA,NA,NA,NA,NA,3,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"103",8914,FALSE,NA,"GEs",11,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"104",8914,FALSE,NA,"GEs",10,2,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"105",8914,FALSE,"SW","GEs",11,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"107",8916,FALSE,"NW","GEs",7,3,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"108",8916,FALSE,"SW","GEs",3,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"109",8916,FALSE,NA,"BAh",13,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"110",8916,FALSE,"NO","GEs",7,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"111",8917,FALSE,"NW","GEs",12,3,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"112",8917,FALSE,NA,"GEs",13,2,FALSE,NA,NA,NA,NA,1,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
