"","Bemerkungen","Plotnummer","Rueckegasse","Esche.markiert","Baumart_kurz","Hoehe","Anzahl.Triebe","Einjaehriger.Saemling","ETS.abgestorben.frisch","ETS.abgestorben.alt","ETS.lebend","Verbiss.lebend","Verbiss.tot","Sonstige.Gruende.tot","Blattflecken","Zaun","Ausgeschlossen.Rand.Zaun","Flaeche","Jahr","ETS.abgestorben.frisch.terminal","ETS.abgestorben.alt.terminal","ETS.lebend.terminal","Verbiss.lebend.terminal","Verbiss.tot.terminal","Sonstige.Gruende.tot.terminal","Reihenfolge","Aceria.fraxinivora","nicht.gerade","gruene.hoehe","tot","manuell.checken","mehr.ressourcen","ETS","Triebe.lebend"
"22","",8904,FALSE,NA,"GEs",7,1,FALSE,0,0,0,0,0,0,NA,FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,22,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1
"23","",8904,FALSE,NA,"GEs",9,1,FALSE,0,0,0,0,0,0,NA,FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,23,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1
"24","",8904,FALSE,NA,"GEs",11,1,FALSE,0,0,0,0,0,0,NA,FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,24,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1
"25","",8904,FALSE,NA,"GEs",7,1,FALSE,0,0,0,0,0,0,NA,FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,25,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1
"26","",8904,FALSE,NA,"GEs",7,1,FALSE,0,0,0,0,0,0,NA,FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,26,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1
"27","",8904,FALSE,NA,"GEs",5,1,FALSE,0,0,0,0,0,0,NA,FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,27,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1
"28","",8904,FALSE,"SW","GEs",7,1,FALSE,0,0,0,0,0,0,0,FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,28,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1
"29","",8905,FALSE,NA,"RBu",10,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,29,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,NA
"30","",8905,FALSE,"NO","GEs",7,1,FALSE,0,0,0,0,0,0,0,FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,30,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1
"31","",8905,FALSE,"SO","GEs",7,1,FALSE,0,0,0,0,0,0,1,FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,31,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1
"32","",8905,FALSE,NA,"GEs",4,1,FALSE,0,0,0,0,0,0,NA,FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,32,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1
"33","",8905,FALSE,"NW","GEs",8,1,FALSE,0,0,0,0,0,0,0,FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,33,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1
"34","",8905,FALSE,NA,"RBu",10,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,34,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,NA
"35","",8905,FALSE,NA,"GEs",9,1,FALSE,0,0,0,0,0,0,NA,FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,35,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1
"36","",8906,FALSE,NA,"WLi",6,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,36,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,NA
"37","",8906,FALSE,"NW","GEs",9,1,FALSE,0,0,0,0,0,0,0,FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,37,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1
"38","",8906,FALSE,NA,"GEs",7,1,FALSE,0,0,0,0,0,0,NA,FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,38,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1
"39","",8906,FALSE,NA,"GEs",9,1,FALSE,0,0,0,0,0,0,NA,FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,39,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1
"40","",8906,FALSE,"NO","GEs",4,1,FALSE,0,0,0,0,0,0,NA,FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,40,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1
"41","",8906,FALSE,NA,"GEs",7,1,FALSE,0,0,0,0,0,0,NA,FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,41,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1
"42","",8906,FALSE,NA,"GEs",7,1,FALSE,0,0,0,0,0,0,NA,FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,42,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1
"43","",8906,FALSE,"SO","GEs",5,1,FALSE,0,0,0,0,0,0,0,FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,43,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1
"44","",8906,FALSE,NA,"SWe",4,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,44,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,NA
"45","",8907,FALSE,NA,"RBu",28,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,45,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,NA
"46","",8907,FALSE,"SO","GEs",7,1,FALSE,0,0,0,0,0,0,0,FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,46,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1
"47","",8907,FALSE,"NO","GEs",10,1,FALSE,0,0,0,0,0,0,0,FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,47,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1
"48","",8907,FALSE,NA,"GEs",3,NA,FALSE,NA,NA,NA,1,NA,NA,NA,FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,48,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,NA
"49","",8907,FALSE,"NW","GEs",9,1,FALSE,0,0,0,0,0,0,0,FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,49,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1
"50","",8907,FALSE,NA,"GEs",17,4,FALSE,0,1,0,0,0,0,NA,FALSE,FALSE,"goe_pol",2021,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,50,FALSE,FALSE,NA,FALSE,FALSE,FALSE,TRUE,3
"51","",8907,FALSE,"SW","GEs",10,1,FALSE,0,0,0,0,0,0,0,FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,51,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1
"52","",8907,FALSE,NA,"GEs",12,2,FALSE,0,0,0,0,0,1,NA,FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,52,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1
"53","",8907,FALSE,NA,"GEs",7,1,FALSE,0,0,0,0,0,0,NA,FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,53,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1
"54","",8908,FALSE,"SW","GEs",5,1,FALSE,0,0,0,0,0,0,0,FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,54,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1
"55","",8908,FALSE,"NW","GEs",6,1,FALSE,0,0,0,0,0,0,NA,FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,55,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1
"56","",8908,FALSE,"SO","GEs",7,1,FALSE,0,0,0,0,0,0,NA,FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,56,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1
"57","",8909,FALSE,"SW","GEs",12,1,FALSE,0,0,0,0,0,0,NA,FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,57,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1
"14409","Galle/ Krebs",8909,FALSE,NA,"GEs",8,2,FALSE,0,0,0,0,0,1,NA,FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,58,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1
"59","",8909,FALSE,"MITTE","GEs",8,2,FALSE,0,0,0,0,0,0,NA,FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,59,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,2
"60","",8909,FALSE,"NW","GEs",4,1,FALSE,0,0,0,0,0,0,NA,FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,60,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1
