"","Plotnummer","n_trees","n_species","n_ash","n_bah","location","height_mean","height_median","height_max","height_min","n_ets_new","n_ets_old","n_ets_total","Verbiss","comment","Rueckegasse"
"65",8965,11,1,11,0,"goe_pol",8.91,8,14,4,0,0,0,0,"",FALSE
"66",8966,6,2,4,2,"goe_pol",6.33,6.5,8,4,0,0,0,0,"tot",FALSE
"67",8967,16,2,15,0,"goe_pol",10.38,10,20,5,0,0,0,1,"",FALSE
"68",8968,4,1,4,0,"goe_pol",7.5,7.5,11,4,0,0,0,0,"",FALSE
"69",8969,7,2,6,0,"goe_pol",8.71,9,12,5,0,0,0,1,"",FALSE
"70",8970,19,1,19,0,"goe_pol",11.58,11,22,6,0,0,0,2,"",FALSE
"71",8971,7,2,6,1,"goe_pol",15.14,14,28,8,0,0,0,1,"",FALSE
"72",8972,30,2,29,1,"goe_pol",8.77,9,13,6,0,0,0,2,"",FALSE
"73",8973,17,3,15,1,"goe_pol",10.29,8,38,4,0,0,0,0,"",FALSE
"74",8974,24,3,21,2,"goe_pol",8.83,8,30,5,0,0,0,1,"",FALSE
"75",8975,10,3,7,2,"goe_pol",8.2,7,17,4,0,0,0,0,"tot",FALSE
"76",8976,41,4,36,2,"goe_pol",16.61,14,40,6,1,0,1,1,"",FALSE
"77",8977,21,3,12,0,"goe_pol",14.14,9,89,3,0,0,0,1,"",FALSE
"78",8978,19,3,16,2,"goe_pol",11.16,10,24,2,0,0,0,0,"tot",FALSE
"79",8979,30,3,24,2,"goe_pol",11.97,10.5,28,5,0,0,0,0,"",FALSE
"80",8980,27,5,19,4,"goe_pol",15.59,11,47,1,0,0,0,0,"",FALSE
"81",8981,7,1,7,0,"goe_pol",10.29,11,14,4,0,0,0,0,"",FALSE
"82",8982,24,2,23,1,"goe_pol",6.96,7,12,3,0,0,0,0,"",FALSE
"83",8983,14,2,12,0,"goe_pol",9,9.5,13,5,0,0,0,0,"",FALSE
"84",8984,6,1,6,0,"goe_pol",7.17,7.5,9,5,0,0,0,0,"",FALSE
"85",8985,5,1,5,0,"goe_pol",7.6,8,9,6,0,0,0,0,"",FALSE
"86",8986,8,3,6,0,"goe_pol",9.88,10,14,4,0,0,0,0,"",FALSE
"87",8987,10,2,9,0,"goe_pol",11,11,15,8,0,0,0,0,"",FALSE
"88",8988,18,1,18,0,"goe_pol",9.56,7,24,5,0,0,0,0,"",FALSE
"89",8989,12,1,12,0,"goe_pol",8.33,7.5,15,6,1,0,1,0,"",FALSE
"90",8990,21,2,17,4,"goe_pol",8.43,8,20,4,0,0,0,0,"",FALSE
"91",8991,19,3,17,1,"goe_pol",7.74,7,14,5,0,0,0,0,"tot",FALSE
"92",8992,24,3,22,1,"goe_pol",5.79,6,9,4,0,0,0,0,"",FALSE
"93",8993,24,4,18,2,"goe_pol",14.21,9,119,6,0,0,0,1,"",FALSE
"94",8994,27,3,24,0,"goe_pol",32,32,70,5,0,0,0,1,"",FALSE
"95",8995,48,6,33,2,"goe_pol",19.02,18,50,4,1,0,1,6,"",FALSE
"96",8996,18,4,11,1,"goe_pol",41.78,9,600,3,0,0,0,1,"",FALSE
"97",8997,36,4,30,2,"goe_pol",8.56,8,16,4,0,1,1,0,"",FALSE
"98",8998,13,3,11,0,"goe_pol",9.85,7,21,4,0,0,0,0,"",FALSE
"99",8999,24,4,17,1,"goe_pol",17.04,16,35,9,0,0,0,0,"",FALSE
"100",9000,18,4,10,2,"goe_pol",19.94,15,62,5,0,0,0,0,"",FALSE
"101",9001,23,4,14,4,"goe_pol",27.04,25,51,8,0,0,0,1,"",FALSE
"102",9002,20,4,17,1,"goe_pol",13.55,12,27,6,0,0,0,0,"",FALSE
"103",9003,17,3,15,0,"goe_pol",6.47,6,11,5,0,0,0,1,"",FALSE
