"","aufid","id","baumid","edvid","auf.x","nr","nralt","art","anzahl","repfl","alt","r","zf","ou","schicht","sonder","vdfv","kraft","dkrz1","dkrz2","ddauer","dmess","mh","d","a","e","h","hkschicht","hmod","hmodm","k","status","hbr","g0","g5","g10","g15","g20","g25","g30","g35","hmaxkb","hastfrei","sfg","sfe","bi","bemerk.baum","datum","Stempel","baumid.stammv","edvid.stammv","nr.stammv","art.stammv","auf.stammv","x","y","z","bemerk","datum.stammv","Stempel.stammv","auf.y","saison","monat","jahr","flha","flha_alt","qualitat","typ","umfang","dop","bstand","messh","repfac","dfmonat","dfjahr","bemerk.auf","pz","schluss","schichtung","schaft","krone","astig","bluemast","schaeden","vegetation"
"11","309313011","30931301112342",3045722,30931301,1,"   12 ",NA,342,1,1,64,NA,NA,"U",-1,NA,4,50,119,0,0,119,13,119,"D",NA,0,-1,15.26,15.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"Krbr.!",2021-03-22,2021-03-22 06:49:21,3045722,30931301,"   12",342,1,28.36,55.37,0.05,NA,2021-03-22,2021-03-22 06:49:21,1,NA,11,2020,0.097,NA,1,"H","V","nein",2,NA,NA,NA,NA,NA,0,"<div>geschlossen mit Lücken</div>","<div>Zweischichtig</div>","<div>Bu tlw. gerade, tlw. (bo) oder (sä), kurzschaftig; WLi &nbsp;überw. sä oder bo, kurzschaftig; Es überw. gerade, langschaftig</div>","<div>Bu Bkl. 1 und 2 großkronig, Bkl. 3 schmalkronig, Bkl. 4 mit geringen Kronen; WLi schmalkronig; Es mit starken Feinreisig-verlusten durch ETS</div>","<div>Bu in der Krone starkastig, WLi und Es normalastig</div>","<div>--</div>","<div>einzelne niederge-bogene oder angeschobene Stangen, ETS</div>","<div>überw. Laubstreu; Dornfarn, Waldmeister, Taubnessel, Waldbürstenmoos, wellenblättriges Katharinenmoos, vereinzelt Bu-NV; Humusform: F-Mull</div>"
"12","309313011","30931301113211",3045723,30931301,1,"   13 ",NA,211,1,1,73,NA,NA,"O",-1,NA,2,20,416,0,0,416,13,416,"D",NA,0,-1,28.16,28.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"",2021-03-22,2021-03-22 06:49:21,3045723,30931301,"   13",211,1,28.6,53.88,0.16,NA,2021-03-22,2021-03-22 06:49:21,1,NA,11,2020,0.097,NA,1,"H","V","nein",2,NA,NA,NA,NA,NA,0,"<div>geschlossen mit Lücken</div>","<div>Zweischichtig</div>","<div>Bu tlw. gerade, tlw. (bo) oder (sä), kurzschaftig; WLi &nbsp;überw. sä oder bo, kurzschaftig; Es überw. gerade, langschaftig</div>","<div>Bu Bkl. 1 und 2 großkronig, Bkl. 3 schmalkronig, Bkl. 4 mit geringen Kronen; WLi schmalkronig; Es mit starken Feinreisig-verlusten durch ETS</div>","<div>Bu in der Krone starkastig, WLi und Es normalastig</div>","<div>--</div>","<div>einzelne niederge-bogene oder angeschobene Stangen, ETS</div>","<div>überw. Laubstreu; Dornfarn, Waldmeister, Taubnessel, Waldbürstenmoos, wellenblättriges Katharinenmoos, vereinzelt Bu-NV; Humusform: F-Mull</div>"
"13","309313011","30931301118211",3045728,30931301,1,"   18 ",NA,211,1,1,73,NA,NA,"U",-1,NA,4,50,104,0,0,104,13,104,"",NA,0,-1,14.7,14.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"zopftr.!",2021-03-22,2021-03-22 06:49:21,3045728,30931301,"   18",211,1,28.32,48.21,-0.12,NA,2021-03-22,2021-03-22 06:49:21,1,NA,11,2020,0.097,NA,1,"H","V","nein",2,NA,NA,NA,NA,NA,0,"<div>geschlossen mit Lücken</div>","<div>Zweischichtig</div>","<div>Bu tlw. gerade, tlw. (bo) oder (sä), kurzschaftig; WLi &nbsp;überw. sä oder bo, kurzschaftig; Es überw. gerade, langschaftig</div>","<div>Bu Bkl. 1 und 2 großkronig, Bkl. 3 schmalkronig, Bkl. 4 mit geringen Kronen; WLi schmalkronig; Es mit starken Feinreisig-verlusten durch ETS</div>","<div>Bu in der Krone starkastig, WLi und Es normalastig</div>","<div>--</div>","<div>einzelne niederge-bogene oder angeschobene Stangen, ETS</div>","<div>überw. Laubstreu; Dornfarn, Waldmeister, Taubnessel, Waldbürstenmoos, wellenblättriges Katharinenmoos, vereinzelt Bu-NV; Humusform: F-Mull</div>"
"14","309313011","30931301142211",3045752,30931301,1,"   42 ",NA,211,1,1,73,NA,NA,"U",-1,NA,4,50,78,0,0,78,13,78,"",NA,0,-1,12.32,12.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"",2021-03-22,2021-03-22 06:49:21,3045752,30931301,"   42",211,1,9.91,60.35,0.05,NA,2021-03-22,2021-03-22 06:49:21,1,NA,11,2020,0.097,NA,1,"H","V","nein",2,NA,NA,NA,NA,NA,0,"<div>geschlossen mit Lücken</div>","<div>Zweischichtig</div>","<div>Bu tlw. gerade, tlw. (bo) oder (sä), kurzschaftig; WLi &nbsp;überw. sä oder bo, kurzschaftig; Es überw. gerade, langschaftig</div>","<div>Bu Bkl. 1 und 2 großkronig, Bkl. 3 schmalkronig, Bkl. 4 mit geringen Kronen; WLi schmalkronig; Es mit starken Feinreisig-verlusten durch ETS</div>","<div>Bu in der Krone starkastig, WLi und Es normalastig</div>","<div>--</div>","<div>einzelne niederge-bogene oder angeschobene Stangen, ETS</div>","<div>überw. Laubstreu; Dornfarn, Waldmeister, Taubnessel, Waldbürstenmoos, wellenblättriges Katharinenmoos, vereinzelt Bu-NV; Humusform: F-Mull</div>"
"15","309313011","30931301143211",3045753,30931301,1,"   43 ",NA,211,1,1,73,NA,NA,"O",-1,NA,1,20,368,0,0,368,13,368,"",NA,273,-1,27.21,27.21,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"",2021-03-22,2021-03-22 06:49:21,3045753,30931301,"   43",211,1,10.36,57.84,0.1,NA,2021-03-22,2021-03-22 06:49:21,1,NA,11,2020,0.097,NA,1,"H","V","nein",2,NA,NA,NA,NA,NA,0,"<div>geschlossen mit Lücken</div>","<div>Zweischichtig</div>","<div>Bu tlw. gerade, tlw. (bo) oder (sä), kurzschaftig; WLi &nbsp;überw. sä oder bo, kurzschaftig; Es überw. gerade, langschaftig</div>","<div>Bu Bkl. 1 und 2 großkronig, Bkl. 3 schmalkronig, Bkl. 4 mit geringen Kronen; WLi schmalkronig; Es mit starken Feinreisig-verlusten durch ETS</div>","<div>Bu in der Krone starkastig, WLi und Es normalastig</div>","<div>--</div>","<div>einzelne niederge-bogene oder angeschobene Stangen, ETS</div>","<div>überw. Laubstreu; Dornfarn, Waldmeister, Taubnessel, Waldbürstenmoos, wellenblättriges Katharinenmoos, vereinzelt Bu-NV; Humusform: F-Mull</div>"
"16","309313011","30931301117211",3045727,30931301,1,"   17 ",NA,211,1,1,73,NA,NA,"U",-1,NA,4,50,171,0,0,171,13,171,"D",NA,171,-1,19.68,19.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"",2021-03-22,2021-03-22 06:49:21,3045727,30931301,"   17",211,1,41.25,50.08,0,NA,2021-03-22,2021-03-22 06:49:21,1,NA,11,2020,0.097,NA,1,"H","V","nein",2,NA,NA,NA,NA,NA,0,"<div>geschlossen mit Lücken</div>","<div>Zweischichtig</div>","<div>Bu tlw. gerade, tlw. (bo) oder (sä), kurzschaftig; WLi &nbsp;überw. sä oder bo, kurzschaftig; Es überw. gerade, langschaftig</div>","<div>Bu Bkl. 1 und 2 großkronig, Bkl. 3 schmalkronig, Bkl. 4 mit geringen Kronen; WLi schmalkronig; Es mit starken Feinreisig-verlusten durch ETS</div>","<div>Bu in der Krone starkastig, WLi und Es normalastig</div>","<div>--</div>","<div>einzelne niederge-bogene oder angeschobene Stangen, ETS</div>","<div>überw. Laubstreu; Dornfarn, Waldmeister, Taubnessel, Waldbürstenmoos, wellenblättriges Katharinenmoos, vereinzelt Bu-NV; Humusform: F-Mull</div>"
"17","309313011","30931301145211",3045755,30931301,1,"   45 ",NA,211,1,1,73,NA,NA,"U",-1,NA,4,50,77,0,0,77,13,77,"D",NA,0,-1,12.22,12.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"Krbr.!",2021-03-22,2021-03-22 06:49:21,3045755,30931301,"   45",211,1,15.06,52.25,-0.07,NA,2021-03-22,2021-03-22 06:49:21,1,NA,11,2020,0.097,NA,1,"H","V","nein",2,NA,NA,NA,NA,NA,0,"<div>geschlossen mit Lücken</div>","<div>Zweischichtig</div>","<div>Bu tlw. gerade, tlw. (bo) oder (sä), kurzschaftig; WLi &nbsp;überw. sä oder bo, kurzschaftig; Es überw. gerade, langschaftig</div>","<div>Bu Bkl. 1 und 2 großkronig, Bkl. 3 schmalkronig, Bkl. 4 mit geringen Kronen; WLi schmalkronig; Es mit starken Feinreisig-verlusten durch ETS</div>","<div>Bu in der Krone starkastig, WLi und Es normalastig</div>","<div>--</div>","<div>einzelne niederge-bogene oder angeschobene Stangen, ETS</div>","<div>überw. Laubstreu; Dornfarn, Waldmeister, Taubnessel, Waldbürstenmoos, wellenblättriges Katharinenmoos, vereinzelt Bu-NV; Humusform: F-Mull</div>"
"18","309313011","30931301146211",3045756,30931301,1,"   46 ",NA,211,1,1,73,NA,NA,"O",-1,NA,1,20,319,0,0,319,13,319,"D",NA,249,-1,25.99,25.99,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"",2021-03-22,2021-03-22 06:49:21,3045756,30931301,"   46",211,1,13.5,53.1,-0.02,NA,2021-03-22,2021-03-22 06:49:21,1,NA,11,2020,0.097,NA,1,"H","V","nein",2,NA,NA,NA,NA,NA,0,"<div>geschlossen mit Lücken</div>","<div>Zweischichtig</div>","<div>Bu tlw. gerade, tlw. (bo) oder (sä), kurzschaftig; WLi &nbsp;überw. sä oder bo, kurzschaftig; Es überw. gerade, langschaftig</div>","<div>Bu Bkl. 1 und 2 großkronig, Bkl. 3 schmalkronig, Bkl. 4 mit geringen Kronen; WLi schmalkronig; Es mit starken Feinreisig-verlusten durch ETS</div>","<div>Bu in der Krone starkastig, WLi und Es normalastig</div>","<div>--</div>","<div>einzelne niederge-bogene oder angeschobene Stangen, ETS</div>","<div>überw. Laubstreu; Dornfarn, Waldmeister, Taubnessel, Waldbürstenmoos, wellenblättriges Katharinenmoos, vereinzelt Bu-NV; Humusform: F-Mull</div>"
"19","309313011","30931301147211",3045757,30931301,1,"   47 ",NA,211,1,1,73,NA,NA,"U",-1,NA,4,50,157,0,0,157,13,157,"D",NA,196,-1,18.77,18.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"",2021-03-22,2021-03-22 06:49:21,3045757,30931301,"   47",211,1,12.29,50.27,-0.14,NA,2021-03-22,2021-03-22 06:49:21,1,NA,11,2020,0.097,NA,1,"H","V","nein",2,NA,NA,NA,NA,NA,0,"<div>geschlossen mit Lücken</div>","<div>Zweischichtig</div>","<div>Bu tlw. gerade, tlw. (bo) oder (sä), kurzschaftig; WLi &nbsp;überw. sä oder bo, kurzschaftig; Es überw. gerade, langschaftig</div>","<div>Bu Bkl. 1 und 2 großkronig, Bkl. 3 schmalkronig, Bkl. 4 mit geringen Kronen; WLi schmalkronig; Es mit starken Feinreisig-verlusten durch ETS</div>","<div>Bu in der Krone starkastig, WLi und Es normalastig</div>","<div>--</div>","<div>einzelne niederge-bogene oder angeschobene Stangen, ETS</div>","<div>überw. Laubstreu; Dornfarn, Waldmeister, Taubnessel, Waldbürstenmoos, wellenblättriges Katharinenmoos, vereinzelt Bu-NV; Humusform: F-Mull</div>"
"20","309313011","30931301144211",3045754,30931301,1,"   44 ",NA,211,1,1,73,NA,NA,"O",-1,NA,3,41,156,0,0,156,13,156,"D",NA,241,-1,18.71,18.71,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"",2021-03-22,2021-03-22 06:49:21,3045754,30931301,"   44",211,1,14.87,55.94,-0.02,NA,2021-03-22,2021-03-22 06:49:21,1,NA,11,2020,0.097,NA,1,"H","V","nein",2,NA,NA,NA,NA,NA,0,"<div>geschlossen mit Lücken</div>","<div>Zweischichtig</div>","<div>Bu tlw. gerade, tlw. (bo) oder (sä), kurzschaftig; WLi &nbsp;überw. sä oder bo, kurzschaftig; Es überw. gerade, langschaftig</div>","<div>Bu Bkl. 1 und 2 großkronig, Bkl. 3 schmalkronig, Bkl. 4 mit geringen Kronen; WLi schmalkronig; Es mit starken Feinreisig-verlusten durch ETS</div>","<div>Bu in der Krone starkastig, WLi und Es normalastig</div>","<div>--</div>","<div>einzelne niederge-bogene oder angeschobene Stangen, ETS</div>","<div>überw. Laubstreu; Dornfarn, Waldmeister, Taubnessel, Waldbürstenmoos, wellenblättriges Katharinenmoos, vereinzelt Bu-NV; Humusform: F-Mull</div>"
