"","Bemerkungen","Plotnummer","Rueckegasse","Esche.markiert","Gefunden","Baumart_kurz","Hoehe","Anzahl.Triebe","Einjaehriger.Saemling","ETS.abgestorben.frisch","ETS.abgestorben.alt","ETS.lebend","Verbiss.lebend","Verbiss.tot","Sonstige.Gruende.tot","Gruene.Hoehe","Aceria.fraxinivora","Nicht.gerade","Flaeche","Jahr","ETS.abgestorben.frisch.terminal","ETS.abgestorben.alt.terminal","ETS.lebend.terminal","Verbiss.lebend.terminal","Verbiss.tot.terminal","Sonstige.Gruende.tot.terminal","Aceria.fraxinivora.terminal","Tot_22","mehr.ressourcen","nochmal.checken","ETS","Triebe.lebend"
"24","",8904,FALSE,"NO",TRUE,"GEs",19,1,FALSE,0,0,0,0,0,0,NA,0,FALSE,"goe_pol",2022,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"25","",8904,FALSE,NA,NA,"SaWei",8,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"goe_pol",2022,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
"26","",8904,FALSE,NA,NA,"GEs",8,1,FALSE,0,0,0,0,0,0,NA,0,FALSE,"goe_pol",2022,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"27","",8904,FALSE,"SO",TRUE,"GEs",12,5,FALSE,0,0,0,1,2,0,NA,0,FALSE,"goe_pol",2022,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3
"28","",8904,FALSE,NA,NA,"GEs",9,3,FALSE,0,0,0,0,1,0,NA,0,FALSE,"goe_pol",2022,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
"29","",8904,FALSE,NA,NA,"GEs",6,1,TRUE,0,0,0,0,0,0,NA,0,FALSE,"goe_pol",2022,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"30","",8904,FALSE,"SW",TRUE,"GEs",11,1,FALSE,0,0,0,0,0,0,NA,0,FALSE,"goe_pol",2022,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"31","",8904,FALSE,NA,NA,"GEs",11,2,FALSE,0,0,0,1,0,0,7,0,FALSE,"goe_pol",2022,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
"32","",8904,FALSE,NA,NA,"GEs",9,1,FALSE,0,0,0,0,0,0,NA,0,FALSE,"goe_pol",2022,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"33","",8904,FALSE,NA,NA,"GEs",9,2,FALSE,0,0,0,0,0,1,NA,0,FALSE,"goe_pol",2022,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"34","",8904,FALSE,NA,NA,"GEs",14,1,FALSE,0,0,0,0,0,0,NA,0,FALSE,"goe_pol",2022,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"35","",8904,FALSE,NA,NA,"GEs",15,3,FALSE,0,0,0,0,1,1,NA,0,FALSE,"goe_pol",2022,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"36","",8905,FALSE,"NO",TRUE,"GEs",10,1,FALSE,0,0,0,0,0,0,NA,0,FALSE,"goe_pol",2022,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"37","",8905,FALSE,NA,NA,"RBu",18,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"goe_pol",2022,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
"38","",8905,FALSE,"SO",TRUE,"GEs",7,1,FALSE,0,0,0,0,0,0,NA,0,FALSE,"goe_pol",2022,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
