"","Plotnummer","n_trees_2021","n_species_2021","n_ash_2021","n_bah_2021","height_mean_2021","height_median_2021","height_max_2021","height_min_2021","n_ets_new_2021","n_ets_old_2021","n_ets_total_2021","Verbiss_2021","comment_2021","Zaun_2021","Ausschluss_2021","Rueckegasse_2021","n_trees_2022","n_species_2022","n_ash_2022","n_bah_2022","location","height_mean_2022","height_median_2022","height_max_2022","height_min_2022","n_ets_new_2022","n_ets_old_2022","n_ets_total_2022","Verbiss_2022","comment_2022","Rueckegasse_2022","x","y","TSF","DSF","ISF","ets_2021_ratio","ets_2022_ratio","ETS_ratio","n_ash","n_bah","n_trees","Zuwachs","ZuwachsBAh","ZuwachsGEs"
"18",8918,5,2,3,0,19.4,17,35,8,0,0,0,0,"",FALSE,FALSE,FALSE,5,2,3,0,"goe_pol",29.4,26,62,10,0,0,0,1,"",FALSE,14.6394802643472,59.3062144381705,0.3,0.35,0.22,0,0,0,3,0,5,17,NA,7
"19",8919,21,2,18,0,11.33,8,22,4,1,0,1,0,"",FALSE,FALSE,FALSE,13,2,10,0,"goe_pol",12.38,10,21,7,0,0,0,1,"",FALSE,9.74336621123842,58.3328354204592,0.25,0.31,0.16,0.0555555555555556,0,0.0277777777777778,14,0,17,-3,NA,-3
"20",8920,17,3,15,1,17.88,12,80,4,1,0,1,4,"",FALSE,FALSE,FALSE,13,3,11,1,"goe_pol",21.92,14,100,6,1,0,1,0,"",FALSE,4.84725215812959,57.359456402748,0.3,0.39,0.16,0.0666666666666667,0.0909090909090909,0.0787878787878788,13,1,15,1,1,1
"21",8921,5,3,3,1,16.4,14,25,5,0,0,0,1,"",FALSE,FALSE,FALSE,4,3,2,1,"goe_pol",18.75,17,27,14,0,0,0,1,"",FALSE,5.86118863491215,52.6591869117635,0.28,0.28,0.27,0,0,0,2.5,1,4.5,-1.5,5,3
"22",8922,14,2,12,0,12.5,9,29,3,0,0,0,1,"",FALSE,FALSE,FALSE,9,1,9,0,"goe_pol",17,16,30,6,0,0,0,1,"",FALSE,10.757302688021,53.6325659294748,0.25,0.25,0.25,0,0,0,10.5,0,11.5,3,NA,2
"23",8923,15,2,14,0,21.93,22,36,8,0,0,0,2,"",FALSE,FALSE,FALSE,13,2,12,0,"goe_pol",27.77,29,43,5,0,0,0,9,"",FALSE,15.6534167411298,54.605944947186,0.3,0.34,0.25,0,0,0,13,0,14,7,NA,7
"24",8924,14,2,13,1,8.93,7,16,5,1,0,1,1,"",FALSE,FALSE,FALSE,12,2,10,2,"goe_pol",10.83,10,19,7,0,0,0,0,"",FALSE,20.5495307942386,55.5793239648973,0.28,0.33,0.21,0.0769230769230769,0,0.0384615384615385,11.5,1.5,13,1,3,0.5
"25",8925,10,2,9,1,8.8,8,14,5,0,0,0,0,"",FALSE,FALSE,FALSE,7,1,7,0,"goe_pol",10.43,9,17,8,0,0,0,1,"",FALSE,25.4456448473475,56.5527029826085,0.32,0.39,0.22,0,0,0,8,0.5,8.5,0,NA,2
"26",8926,1,1,1,0,7,7,7,7,0,0,0,0,"",FALSE,FALSE,FALSE,1,1,1,0,"goe_pol",9,9,9,9,0,0,0,0,"",FALSE,30.3417589004563,57.5260820003198,0.07,0.08,0.05,0,0,0,1,0,1,2,NA,2
"27",8927,8,4,5,1,9.25,5.5,20,3,0,0,0,0,"",FALSE,FALSE,FALSE,6,3,4,1,"goe_pol",12.17,10.5,25,4,0,0,0,1,"",FALSE,35.2378729535651,58.4994610180311,0.25,0.31,0.16,0,0,0,4.5,1,7,3,3,-1
"28",8928,23,2,21,0,13.09,14,21,6,0,2,2,6,"",FALSE,FALSE,FALSE,21,3,19,0,"goe_pol",16.38,15,26,9,1,1,2,3,"",FALSE,36.2518094303477,53.7991915270466,0.32,0.4,0.21,0.0952380952380952,0.105263157894737,0.100250626566416,20,0,22,5,NA,3
"29",8929,13,3,11,0,16.77,14,28,10,0,1,1,4,"",FALSE,FALSE,FALSE,11,2,10,0,"goe_pol",20.27,18,32,12,1,2,3,1,"",FALSE,31.3556953772389,52.8258125093353,0.3,0.36,0.22,0.0909090909090909,0.3,0.195454545454545,10.5,0,12,3.5,NA,4
"30",8930,26,3,20,1,16.31,14.5,56,6,2,3,5,1,"",FALSE,FALSE,FALSE,25,3,19,1,"goe_pol",19.52,19,49,10,0,4,4,2,"",FALSE,26.45958132413,51.8524334916241,0.23,0.25,0.21,0.25,0.210526315789474,0.230263157894737,19.5,1,25.5,3.5,1,3.5
"31",8931,10,2,9,0,13.2,10.5,27,6,0,0,0,1,"",FALSE,FALSE,FALSE,9,2,8,0,"goe_pol",14.56,12,23,6,0,0,0,2,"",FALSE,21.5634672710212,50.8790544739128,0.13,0.11,0.15,0,0,0,8.5,0,9.5,0,NA,0
"32",8932,15,2,13,2,10.6,9,30,4,0,0,0,0,"",FALSE,FALSE,FALSE,15,2,13,2,"goe_pol",11.67,11,34,5,0,1,1,0,"",FALSE,16.6673532179124,49.9056754562015,0.11,0.08,0.15,0,0.0769230769230769,0.0384615384615385,13,2,15,0,4,0
"33",8933,5,1,5,0,8.2,7,10,7,0,0,0,0,"",FALSE,FALSE,FALSE,7,1,7,0,"goe_pol",13.29,14,19,7,0,0,0,0,"",FALSE,11.7712391648035,48.9322964384903,0.23,0.24,0.22,0,0,0,6,0,6,9,NA,9
"34",8934,12,3,9,1,12.58,13,22,5,0,0,0,0,"",FALSE,FALSE,FALSE,12,3,9,1,"goe_pol",19.83,20.5,29,12,1,0,1,4,"",FALSE,6.87512511169471,47.958917420779,0.22,0.22,0.21,0,0.111111111111111,0.0555555555555556,9,1,12,6,7,6
"35",8935,8,2,1,0,6,5.5,11,3,0,0,0,0,"",FALSE,FALSE,TRUE,6,2,1,0,"goe_pol",22.33,20,42,13,0,0,0,0,"",TRUE,7.88906158847727,43.2586479297946,0.26,0.25,0.27,0,0,0,1,0,7,14,NA,2
"36",8936,16,2,13,0,6.31,5,15,2,0,0,0,1,"",FALSE,FALSE,TRUE,14,1,14,0,"goe_pol",8.79,9,14,4,0,0,0,1,"",TRUE,12.7851756415861,44.2320269475058,0.2,0.22,0.18,0,0,0,13.5,0,15,2,NA,1
"37",8937,11,3,9,0,9.09,6,36,2,0,0,0,0,"",FALSE,FALSE,TRUE,10,2,9,0,"goe_pol",11.5,8.5,40,6,0,0,0,0,"",TRUE,17.6812896946949,45.2054059652171,0.18,0.2,0.14,0,0,0,9,0,10.5,1.5,NA,1
"38",8938,11,2,10,0,8.55,6,19,2,0,0,0,0,"",FALSE,FALSE,TRUE,8,1,8,0,"goe_pol",9.38,8,21,4,1,1,2,1,"",TRUE,22.5774037478038,46.1787849829283,0.05,0.05,0.04,0,0.25,0.125,9,0,9.5,-3,NA,-6
"39",8939,12,4,9,1,11.67,10,26,3,0,0,0,0,"",FALSE,FALSE,FALSE,13,4,10,1,"goe_pol",20.31,19,37,11,0,0,0,2,"",TRUE,27.4735178009126,47.1521640006396,0.19,0.22,0.15,0,0,0,9.5,1,12.5,11,11,10
"40",8940,12,3,9,0,28.25,11,109,4,0,1,1,0,"",FALSE,FALSE,FALSE,10,3,7,0,"goe_pol",36,17.5,127,4,0,0,0,0,"wird von linde domeniert",TRUE,32.3696318540214,48.1255430183508,0.24,0.23,0.26,0.111111111111111,0,0.0555555555555556,8,0,11,9,NA,5
"41",8941,16,3,13,1,11.62,8,27,4,2,0,2,1,"",FALSE,FALSE,FALSE,15,2,13,0,"goe_pol",14.2,12,29,5,0,0,0,2,"",TRUE,37.2657459071302,49.0989220360621,0.24,0.22,0.27,0.153846153846154,0,0.0769230769230769,13,0.5,15.5,3,NA,2.5
"42",8942,12,4,6,2,7.33,7,14,3,0,0,0,0,"",TRUE,FALSE,FALSE,8,3,5,1,"goe_pol",16.38,17.5,25,9,0,0,0,0,"",FALSE,28.4874542776951,42.4518945096551,0.09,0.07,0.12,0,0,0,5.5,1.5,10,10.5,9,13
"43",8943,18,2,17,0,7.17,6,14,3,0,0,0,0,"",TRUE,FALSE,FALSE,14,2,13,0,"goe_pol",10.07,9,16,6,0,1,1,0,"der Plot hat am Rand eine Bodengrube. Aber nicht groß und der größte Teil des Plots tut noch",FALSE,23.5913402245863,41.4785154919439,0.17,0.18,0.16,0,0.0769230769230769,0.0384615384615385,15,0,16,3,NA,2.5
"44",8944,25,3,18,3,15.48,9,92,4,0,0,0,0,"",TRUE,FALSE,FALSE,23,4,18,1,"goe_pol",20.43,15,107,7,0,0,0,0,"",FALSE,18.6952261714775,40.5051364742326,0.21,0.23,0.18,0,0,0,18,2,24,4,3,4.5
