"","Plotnummer","n_trees","n_species","n_ash","n_bah","location","height_mean","height_median","height_max","height_min","n_ets_new","n_ets_old","n_ets_total","Verbiss","comment","Zaun","Ausschluss","Rueckegasse"
"56",8956,31,4,26,1,"goe_pol",7.74,7,15,3,0,0,0,1,"",TRUE,FALSE,FALSE
"57",8957,8,2,7,0,"goe_pol",6.38,6.5,9,3,0,0,0,0,"Teil des Buchenstammes verdeckt den Plot",TRUE,FALSE,FALSE
"58",8958,29,4,20,1,"goe_pol",8.59,7,37,3,0,0,0,0,"",TRUE,FALSE,FALSE
"59",8959,14,1,14,0,"goe_pol",6.64,7,9,4,0,0,0,0,"",TRUE,FALSE,FALSE
"60",8960,8,3,6,1,"goe_pol",5.12,5,10,2,0,0,0,0,"",TRUE,FALSE,FALSE
"61",8961,7,2,6,0,"goe_pol",5,5,7,4,0,0,0,0,"",TRUE,FALSE,FALSE
"62",8962,19,3,17,1,"goe_pol",6.53,6,11,3,0,0,0,0,"",TRUE,FALSE,FALSE
"63",8963,35,4,23,3,"goe_pol",7.03,7,13,1,1,0,1,0,"",TRUE,FALSE,FALSE
"64",8964,27,4,22,2,"goe_pol",7.48,7,19,1,0,1,1,0,"",TRUE,FALSE,FALSE
"65",8965,14,2,13,0,"goe_pol",8.07,7.5,16,1,0,0,0,0,"",TRUE,FALSE,FALSE
"66",8966,5,2,4,1,"goe_pol",6.8,6,10,5,0,0,0,1,"",TRUE,FALSE,FALSE
"67",8967,24,2,23,0,"goe_pol",7.46,7.5,16,2,0,0,0,0,"",TRUE,FALSE,FALSE
"68",8968,4,1,4,0,"goe_pol",4.75,4.5,7,3,1,0,1,0,"",TRUE,FALSE,FALSE
"69",8969,11,2,8,0,"goe_pol",5.27,4,13,2,0,0,0,0,"",TRUE,FALSE,FALSE
"70",8970,18,1,18,0,"goe_pol",10.83,9.5,22,5,0,0,0,1,"",TRUE,FALSE,FALSE
"71",8971,10,3,8,1,"goe_pol",7.8,8,16,3,0,0,0,0,"",TRUE,FALSE,FALSE
"72",8972,29,1,29,0,"goe_pol",7.59,7,15,4,2,0,2,1,"",TRUE,FALSE,FALSE
"73",8973,19,3,17,1,"goe_pol",8.63,6,33,4,1,0,1,0,"",TRUE,FALSE,FALSE
"74",8974,31,4,26,3,"goe_pol",7.81,6,25,4,4,0,4,1,"",TRUE,FALSE,FALSE
"75",8975,13,2,12,1,"goe_pol",6.69,5,17,3,0,0,0,0,"",TRUE,FALSE,FALSE
"76",8976,35,5,29,2,"goe_pol",11.34,10,24,6,0,1,1,1,"",TRUE,FALSE,FALSE
"77",8977,18,3,13,0,"goe_pol",12.94,7,84,4,1,0,1,1,"",TRUE,FALSE,FALSE
"78",8978,44,4,25,2,"goe_pol",5.52,5.5,14,1,2,0,2,0,"",TRUE,FALSE,FALSE
"79",8979,45,4,30,5,"goe_pol",7.71,8,17,2,0,0,0,0,"",TRUE,FALSE,FALSE
