"","location","Plotnummer","n_trees","ash_ratio","n_ash"
"247","Goe_Ansitz",8751,123,0.585365853658537,72
"248","Goe_Ansitz",8767,54,0.592592592592593,32
"249","Lau_Steinhorst",71,32,0.59375,19
"250","Goe_Ansitz",8770,47,0.595744680851064,28
"251","Lau_Steinhorst",37,25,0.6,15
"252","Lau_Steinhorst",72,30,0.6,18
"253","Lau_Steinhorst",233,5,0.6,3
"254","Goe_Ansitz",8805,50,0.6,30
"255","Goe_Polter",8918,5,0.6,3
"256","Goe_Polter",8921,5,0.6,3
"257","Goe_Ansitz",8757,68,0.602941176470588,41
"258","Lau_Steinhorst",29,53,0.60377358490566,32
"259","Goe_Ansitz",8791,33,0.606060606060606,20
"260","Lau_Steinhorst",90,28,0.607142857142857,17
"261","Lau_Steinhorst",155,18,0.611111111111111,11
"262","Goe_Ansitz",8753,36,0.611111111111111,22
"263","Lau_Steinhorst",263,26,0.615384615384615,16
"264","Goe_Ansitz",8727,92,0.619565217391304,57
"265","Goe_Ansitz",8774,37,0.621621621621622,23
"266","Lau_Steinhorst",35,8,0.625,5
"267","Goe_Polter",8927,8,0.625,5
"268","Goe_Ansitz",8708,35,0.628571428571429,22
"269","Goe_Ansitz",8737,30,0.633333333333333,19
"270","Goe_Ansitz",8743,101,0.633663366336634,64
"271","Goe_Ansitz",8720,85,0.635294117647059,54
"272","Lau_Steinhorst",147,11,0.636363636363636,7
"273","Lau_Steinhorst",178,11,0.636363636363636,7
"274","Lau_Steinhorst",225,55,0.636363636363636,35
"275","Goe_Ansitz",8758,33,0.636363636363636,21
"276","Goe_Ansitz",8722,25,0.64,16
"277","Goe_Ansitz",8714,53,0.641509433962264,34
"278","Goe_Polter",8999,45,0.644444444444444,29
"279","Lau_Steinhorst",70,31,0.645161290322581,20
"280","Goe_Ansitz",8747,52,0.653846153846154,34
"281","Lau_Steinhorst",269,29,0.655172413793103,19
"282","Goe_Ansitz",8752,61,0.655737704918033,40
"283","Goe_Ansitz",8773,32,0.65625,21
"284","Lau_Steinhorst",30,35,0.657142857142857,23
"285","Goe_Polter",8963,35,0.657142857142857,23
"286","Lau_Steinhorst",131,3,0.666666666666667,2
"287","Lau_Steinhorst",198,42,0.666666666666667,28
"288","Lau_Steinhorst",275,3,0.666666666666667,2
"289","Lau_Steinhorst",294,3,0.666666666666667,2
"290","Goe_Ansitz",8710,18,0.666666666666667,12
"291","Goe_Ansitz",8724,60,0.666666666666667,40
