Plotnummer,Quadrant,Rueckegasse,Esche markiert,Baumart,Hoehe,Hoehe Vorjahr,Hoehe Vorvorjahr,Anzahl Triebe,ETS abgestorben frisch,ETS abgestorben alt,ETS lebend,Verbiss lebend,Verbiss tot,Sonstige Gruende tot,Bemerkungen,Rand,Zaun
,sw,,,Bah,260,245,215,,,,,,,,,FALSE,FALSE
,,,,esch,209,172,131,1,1,,,,,,Pflanze tot,FALSE,FALSE
,,,,esch,194,185,164,3,,,,1,,,"Zwiesel, dieses jahr der andere Trieb höher als letztes Jahr. Dieser Trieb war letztes Jahr 180 hoch. Davor beide gleich.",FALSE,FALSE
,,,,BAh,174,145,129,,,,,,,,,FALSE,FALSE
,nw,,,Hbu,69,61,,,,,,,,,,FALSE,FALSE
,,,,esch,186,176,154,2,,,,,,,,FALSE,FALSE
,no,,,Bah,87,74,65,,,,,,,,,FALSE,FALSE
,,,,Bah,140,96,85,,,,,,,,,FALSE,FALSE
,nw,,nw,esch,55,47,,,,,,,,,,FALSE,FALSE
24,no,,,Bah,59,53,50,,,,,,,,Plot befindet sich exakt zwischen den Bäumen 278 und 279,FALSE,FALSE
,,,,Hbu,92,64,50,,,,,,,,,FALSE,FALSE
,,,no,esch,85,80,76,1,,,,,,,,FALSE,FALSE
,,,,Bah,73,63,54,,,,,,,,,FALSE,FALSE
,so,,,Rbu,273,225,199,,,,,,,,,FALSE,FALSE
,sw,,sw,esch,71,57,,1,,,,,,,,FALSE,FALSE
,,,,esch,62,51,,,,,,,,,,FALSE,FALSE
,,,,Rbu,215,195,187,,,,,,,,,FALSE,FALSE
,,,,esch,60,48,45,2,,,,,,T1,,FALSE,FALSE
27,no,,no,esch,86,57,54,1,,,,,,,,FALSE,FALSE
,no,,,esch,216,212,191,3,,,,,,T1,,FALSE,FALSE
,so,,,bah,281,234,231,,,,,,,,,FALSE,FALSE
,nw,,,Bah,135,,,,,,,,,,,FALSE,FALSE
28,no,,no,esch,253,214,180,2,,,,,,,,FALSE,FALSE
,no,,,esch,385,342,324,8,,,,,,2,,FALSE,FALSE
,no,,,esch,406,399,235,5,,,,1,,,,FALSE,FALSE
,sw,,,esch,262,164,84,1,,,,,,,,FALSE,FALSE
,no,,,Bah,193,156,91,,,,,,,,,FALSE,FALSE
,sw,,,esch,475,432,428,9,1,,,,,1,T3: potentiell von Nekroser betroffenme Triebe,FALSE,FALSE
,no,,,esch,281,243,187,8,,,,,,1,,FALSE,FALSE
,sw,,,Bah,376,374,348,,,,,,,,,FALSE,FALSE
,no,,,esch,272,247,234,4,,,1,,,1,,FALSE,FALSE
,sw,,sw,esch,405,386,343,8,2,,,,t1,2,lebendig bis 282,FALSE,FALSE
,so,,so,esch,256,239,197,4,,,,,,,,FALSE,FALSE
,nw,,nw,esch,346,329,304,6,1,2,,,,t1,,FALSE,FALSE
,so,,,esch,318,281,239,5,,,,,,3,,FALSE,FALSE
