"","Bemerkungen_21","Plotnummer","Rueckegasse_21","Esche.markiert","Hoehe_21","Anzahl.Triebe_21","Einjaehriger.Saemling_21","ETS.abgestorben.frisch_21","ETS.abgestorben.alt_21","ETS.lebend_21","Verbiss.lebend_21","Verbiss.tot_21","Sonstige.Gruende.tot_21","Blattflecken_21","Zaun","Flaeche","ETS.abgestorben.frisch.terminal_21","ETS.abgestorben.alt.terminal_21","ETS.lebend.terminal_21","Verbiss.lebend.terminal_21","Verbiss.tot.terminal_21","Sonstige.Gruende.tot.terminal_21","Aceria.fraxinivora_21","nicht.gerade_21","gruene.hoehe_21","tot_21","manuell.checken","mehr.ressourcen_21","ETS_21","Triebe.lebend_21","ID","Bemerkungen_22","Gefunden","Hoehe_22","Anzahl.Triebe_22","Einjaehriger.Saemling_22","ETS.abgestorben.frisch_22","ETS.abgestorben.alt_22","ETS.lebend_22","Verbiss.lebend_22","Verbiss.tot_22","Sonstige.Gruende.tot_22","Gruene.Hoehe_22","Aceria.fraxinivora_22","Nicht.gerade_22","ETS.abgestorben.frisch.terminal_22","ETS.abgestorben.alt.terminal_22","ETS.lebend.terminal_22","Verbiss.lebend.terminal_22","Verbiss.tot.terminal_22","Sonstige.Gruende.tot.terminal_22","Aceria.fraxinivora.terminal_22","Tot_22","mehr.ressourcen_22","nochmal.checken","ETS_22","Triebe.lebend_22","TSF","DSF","ISF","Zuwachs","ETS","ETS_terminal"
"305","",212,FALSE,"SW",11,1,FALSE,0,0,0,0,0,0,0,TRUE,"lau",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1,"212SW","Baum nummer 88 steht 20 cm östlich der Ostkante",TRUE,11,1,FALSE,0,0,0,0,0,0,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0.04,0.03,0.05,0,FALSE,FALSE
"306","",217,FALSE,"NW",12,1,FALSE,0,0,0,0,0,0,1,TRUE,"lau",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1,"217NW","",TRUE,12,1,FALSE,0,0,0,0,0,0,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0.05,0.01,0.1,0,FALSE,FALSE
"307","",218,FALSE,"SW",14,1,FALSE,0,0,0,0,0,0,3,TRUE,"lau",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1,"218SW","",TRUE,14,1,FALSE,0,0,0,0,0,0,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0.09,0.03,0.17,0,FALSE,FALSE
"308","",219,FALSE,"NW",5,1,TRUE,0,0,0,0,0,0,1,TRUE,"lau",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1,"219NW","komplet Tot",TRUE,5,1,FALSE,0,0,0,0,0,1,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0.1,0.04,0.2,0,FALSE,FALSE
"309","",221,FALSE,"NO",21,1,FALSE,0,0,0,0,0,0,0,TRUE,"lau",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1,"221NO","",TRUE,23,2,FALSE,1,0,0,0,0,0,15,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,0.06,0.04,0.08,-6,TRUE,TRUE
"310","",222,FALSE,"SW",18,1,FALSE,0,0,0,0,0,0,1,TRUE,"lau",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1,"222SW","komplett tot",TRUE,18,1,FALSE,0,0,0,0,0,1,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0.1,0.09,0.12,0,FALSE,FALSE
"311","",226,FALSE,"SW",12,3,FALSE,1,0,0,0,0,0,1,TRUE,"lau",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,TRUE,2,"226SW","",TRUE,12,3,FALSE,0,0,0,0,0,1,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0.15,0.19,0.1,0,TRUE,TRUE
"312","",230,FALSE,"NW",14,2,FALSE,0,0,1,0,0,0,1,TRUE,"lau",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,TRUE,2,"230NW","",TRUE,14,3,FALSE,0,0,0,0,0,1,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0.09,0.07,0.11,0,TRUE,FALSE
"313","",235,FALSE,"SW",20,3,FALSE,0,0,0,0,1,0,1,TRUE,"lau",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,2,"235SW","",TRUE,20,1,FALSE,0,0,0,0,0,0,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0.08,0.08,0.08,0,FALSE,FALSE
"314","KREBS",236,FALSE,"SW",20,5,FALSE,0,0,0,0,1,3,1,TRUE,"lau",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1,"236SW","komplet Tot",TRUE,20,5,FALSE,0,0,0,0,0,5,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0.09,0.07,0.11,0,FALSE,FALSE
