nr,x,y
ref96,660722.78,5654678.46
ref13,660606.5,5654725.51
ref26,660624.59,5654714.35
ref30,660635.7,5654722.86
ref39,660645.55,5654701.51
ref45,660655.65,5654712.3
ref57,660664.66,5654711.36
ref86,660714.75,5654709.16
ref91,660711.77,5654659.28
ref23,660623.47,5654684.29
