row,begin,end
0,13,1
1,1,13
2,13,1
3,1,13
4,13,1
5,1,14
6,14,1
7,1,14
8,13,1
9,1,13
10,12,1
11,1,11
12,10,1
13,1,10
14,9,1
15,1,9
16,10,1
17,1,11
18,13,1
19,1,14
20,14,1
21,1,13
22,12,1
23,1,11
24,9,1
25,3,8
26,6,4
