Plotnummer,Quadrant,Rückegasse,Baumart,Höhe,Höhe Vorjahr,Höhe Vorvorjahr,Länge,Länge Vorjahr,Länge Vorvorjahr,Gesamtanzahl Triebe,ets.abgestorben.frisch,ets.abgestorben.alt,ets.lebend,verbiss.lebend,verbiss.abgestorben,sonstiges.abgestorben,Bemerkungen,Foto
,O,, ,,,,,,,,,,,,,,Keine Bäume,
,S,, ,,,,,,,,,,,,,,Keine Bäume,
,W,, ,,,,,,,,,,,,,,Keine Bäume,
30,O,,BAh,1141,390,366,,,,,,,,,,,,120-3303
,S,,BAh,209,174,134,304,179,139,,,,,,,,,
,,,Esche,103,99,85,105,101,86,1,0,0,0,0,0,0,,
,,,BAh,183,173,159,202,189,175,,,,,,,,,
,N,,BAh,444,409,388,447,414,398,,,,,,,,,
,,,BAh,203,178,142,210,190,151,,,,,,,,,
,,,Esche,140,126,105,144,131,110,1,0,0,0,0,0,0,,
,,,Esche,70,64,54,118,112,98,1,0,0,0,0,0,0,,
,,,Esche,159,133,110,,,,1,0,0,0,0,0,0,,
,,,Esche,101,93,76,104,95,79,1,0,0,0,0,0,0,,
,,,Esche,184,172,135,186,175,135,2,0,0,0,0,0,0,,
,W,,Esche,91,85,67,110,105,87,1,,,,,,,,
,,,Esche,123,119,106,126,123,108,2,,,,1,,,,
,,,Esche,211,182,129,,,,1,,,,,,,,
,,,BAh,203,177,128,,,,,,,,,,,,
,,,Esche,102,98,71,122,114,65,2,,,,,1,,,
,,,Esche,156,135,108,158,135,110,3,,,,,,,,
,,,Esche,126,117,83,,,,1,,,,,,,,
,,,Esche,165,139,90,166,140,91,1,,,,,,,,
,,,Esche,97,50,10,131,75,44,1,,,,,,,,
,,,Esche,228,186,149,231,190,152,3,1,1,1,,,,,
11,N,, ,,,,,,,,,,,,,,"Keine Bäume, Girsch etc.",120-3304
,O,, ,,,,,,,,,,,,,,Keine Bäume,
,S,, ,,,,,,,,,,,,,,Keine Bäume,
,W,, ,,,,,,,,,,,,,,Keine Bäume,
10,O,,BAh,767,327,310,767,327,310,,,,,,,,"Umgestürzte Esche (40cm Durchmesser) hängt 50cm über Plot. Rechts über Plot abgesägt da dort der Zaun ist. Noch bewurzelt, treibt auf der Oberseite wieder aus.",120-3305
,,,BAh,116,77,49,116,77,49,,,,,,,,,
,,,BAh,154,113,100,163,119,104,,,,,,,,,
,,,BAh,245,145,112,248,148,113,,,,,,,,,
,S,,BAh,1008,468,449,,,,,,,,,,,,
,,,BAh,243,219,171,246,219,172,,,,,,,,,
,W,, ,,,,,,,,,,,,,,Keine Bäume,
,N,,SAh,182,133,103,,,,,,,,,,,,
,,,BAh,192,171,155,,,,,,,,,,,,
,,,BAh,124,107,100,,,,,,,,,,,,
,,,BAh,210,168,145,215,173,145,,,,,,,,,
,,,SAh,183,136,112,190,141,114,,,,,,,,,
70,,, ,,,,,,,,,,,,,,Direkt auf Zaun,
69,W,,Esche,64,,,84,,,1,0,0,0,0,0,0,"im NW in 2m Entfernung steht die Buche 175 (Höchstwahrscheinlich, scheiß Farbe zur Markierung verwendet…)",
,,,Esche,65,,,66,,,1,,,,,,,,
,O,, ,,,,,,,,,,,,,,Keine Bäume,
,S,, ,,,,,,,,,,,,,,Keine Bäume,
,,,Esche,56,45,20,172,151,112,1,,,,,,,,
,,,Esche,78,64,54,80,64,54,,,,,,,,,
,,,Esche,82,71,51,85,73,52,1,,,,,,,,
67,S,, ,,,,,,,,,,,,,,abgebrochener Stubben (Esche) füllt N und O-Quadrant aus,
,W,, ,,,,,,,,,,,,,,,
,N,, ,,,,,,,,,,,,,,,
,O,, ,,,,,,,,,,,,,,,
54,N,, ,,,,,,,,,,,,,,"Keine Bäume, Girsch etc.",
,O,, ,,,,,,,,,,,,,,Keine Bäume,
,S,, ,,,,,,,,,,,,,,Keine Bäume,
,W,, ,,,,,,,,,,,,,,Keine Bäume,
46,N,, ,,,,,,,,,,,,,,"Keine Bäume, Girsch etc.",
,O,, ,,,,,,,,,,,,,,Keine Bäume,
,S,, ,,,,,,,,,,,,,,Keine Bäume,
,W,, ,,,,,,,,,,,,,,Keine Bäume,
35,N,,Esche,172,152,124,,,,5,,1,,,,1,,
,W,, ,,,,,,,,,,,,,,Keine Bäume,
,S,,Esche,12,5,5,133,108,72,1,,,,T1,,,,
,O,, ,,,,,,,,,,,,,,Keine Bäume,
26,S,,BAh,496,219,185,,,,,,,,,,,,
,,,Esche,152,111,59,,,,1,,,,,,,,
,,,BAh,156,123,99,,,,,,,,,,,,
,W,,SAh,171,156,142,183,169,153,,,,,,,,,
,N,, ,,,,,,,,,,,,,,keine Bäume,
,O,,SAh,170,151,121,194,176,144,,,,,,,,,
,,,SAh,136,125,108,150,137,108,,,,,,,,,
,,,Bah,256,204,171,,,,,,,,,,,,
15,W,,Esche,906,805,778,909,808,781,17,1,1,,,3,6,,120-3306 - 08
,N,, ,,,,,,,,,,,,,,,
,O,, ,,,,,,,,,,,,,,,
,S,,Esche,609,523,448,,,,2,,,,,,,,
6,W,,Esche,513,512,508,516,514,511,8,1,1,1,,,2,,
,,,Esche,601,589,593,951,940,923,19,,8,,,1,,"Unter Totast frisch begraben, darum negativer Zuwachs",
,,,BAh,161,150,138,161,150,138,,,,,,,,,
,S,,Esche,387,342,260,387,342,260,3,,1,,,,,,
,,,Esche,540,501,499,713,664,659,20,,,,,,4,,
,O,, ,,,,,,,,,,,,,,Keine Bäume,
,N,,Esche,514,490,478,524,500,488,11,,1,,,,5,,
5,W,,SAh,181,177,174,,,,,,,,,,,,
,,,BAh,440,249,163,,,,,,,,,,,,
,,,BAh,143,136,123,,,,,,,,,,,,
,,,BAh,100,94,65,,,,,,,,,,,,
,,,BAh,105,95,73,111,103,78,,,,,,,,,
,S,,Esche,140,129,104,246,237,209,2,,,,,,,,
,O,, ,,,,,,,,,,,,,,Keine Bäume,
,N,,SAh,146,108,93,166,128,113,,,,,,,,,
,,,BAh,199,133,87,,,,,,,,,,,,
,,,BAh,310,263,237,322,265,238,,,,,,,,,
16,O,,SAh,93,74,62,103,82,71,,,,,,,,,
,N,,SAh,149,142,113,160,154,124,,,,,,,,,
,,,SAh,71,67,65,99,93,86,,,,,,,,,
,,,BAh,107,90,80,111,106,86,,,,,,,,,
,,,SAh,125,118,103,130,123,104,,,,,,,,,
,,,SAh,83,67,57,117,100,90,,,,,,,,,
,,,"Nuss, Hasel",639,621,568,,,,,,,,,,,,
,W,,SAh,110,106,101,,,,,,,,,,,,
,,,BAh,104,111,82,,,,,,,,,,,,
,,,BAh,88,70,50,,,,,,,,,,,,
,,,SAh,141,120,105,,,,,,,,,,,,
,,,BAh,139,132,116,142,135,119,,,,,,,,,
,,,SAh,118,110,100,,,,,,,,,,,,
,S,, ,,,,,,,,,,,,,,Baum 202 füllt Quadrant Süd ganz und Ost zur hälfte,
25,O,, ,,,,,,,,,,,,,,Keine Bäume,
,S,, ,,,,,,,,,,,,,,Keine Bäume,
,W,, ,,,,,,,,,,,,,,Keine Bäume,
,N,, ,,,,,,,,,,,,,,Keine Bäume,
36,O,, ,,,,,,,,,,,,,,Keine Bäume,
,S,, ,,,,,,,,,,,,,,Keine Bäume,
,W,, ,,,,,,,,,,,,,,Keine Bäume,
,N,, ,,,,,,,,,,,,,,Keine Bäume,
66,O,, ,,,,,,,,,,,,,,Keine Bäume,
,S,, ,,,,,,,,,,,,,,Keine Bäume,
,W,, ,,,,,,,,,,,,,,Keine Bäume,
,N,, ,,,,,,,,,,,,,,Keine Bäume,
1,O,,Esche,190,138,82,331,280,115,5,,T1,,,,,Neuaustrieb aus stärkerem Trieb.,2*Handy
,N,, ,,,,,,,,,,,,,,Keine Bäume,
,W,,BAh,275,259,159,335,294,168,,,,,,,,,
,S,, ,,,,,,,,,,,,,,Keine Bäume,
2,N,, ,,,,,,,,,,,,,,"Keine Bäume, unter Hasel",120-3311
,O,, ,,,,,,,,,,,,,,Keine Bäume,
,S,, ,,,,,,,,,,,,,,Keine Bäume,
,W,, ,,,,,,,,,,,,,,Keine Bäume,
3, ,, ,,,,,,,,,,,,,,Rand,
18,,, ,,,,,,,,,,,,,,Rand,
19,N,, ,,,,,,,,,,,,,,Keine Bäume,
,O,, ,,,,,,,,,,,,,,Keine Bäume,
,S,, ,,,,,,,,,,,,,,Keine Bäume,
,W,, ,,,,,,,,,,,,,,Keine Bäume,
20,O,,SAh,193,181,143,207,191,153,,,,,,,,,
,N,,SAh,281,271,266,301,288,282,,,,,,,,,
,S,, ,,,,,,,,,,,,,,Keine Bäume,
,W,, ,,,,,,,,,,,,,,Keine Bäume,
21,N,, ,,,,,,,,,,,,,,,
,W,,BAh,1121,1159,1113,,,,,,,,,,,,
,,,BAh,428,410,271,,,,,,,,,,,,
,S,,Esche,519,470,444,540,477,451,6,,,,,1,1,,
,O,, ,,,,,,,,,,,,,,,
22,N,, ,,,,,,,,,,,,,,Keine Bäume,
,O,, ,,,,,,,,,,,,,,Keine Bäume,
,S,, ,,,,,,,,,,,,,,Keine Bäume,
,W,, ,,,,,,,,,,,,,,"Keine Bäume, Wurzelalsatz von 226 ragt schon in Westen hinein, Baumzentrum also ca. 30cm  westlich der Plotmitte.",
23,N,, ,,,,,,,,,,,,,,Keine Bäume,
,O,, ,,,,,,,,,,,,,,Keine Bäume,
,S,, ,,,,,,,,,,,,,,Keine Bäume,
,W,, ,,,,,,,,,,,,,,Keine Bäume,
38,N,, ,,,,,,,,,,,,,,Keine Bäume,
,O,, ,,,,,,,,,,,,,,Keine Bäume,
,S,, ,,,,,,,,,,,,,,Keine Bäume,
,W,, ,,,,,,,,,,,,,,Keine Bäume,
39,O,, ,,,,,,,,,,,,,,Keine Bäume,
,S,, ,,,,,,,,,,,,,,Keine Bäume,
,W,, ,,,,,,,,,,,,,,Keine Bäume,
,N,, ,,,,,,,,,,,,,,Keine Bäume,
40,O,, ,,,,,,,,,,,,,,Keine Bäume,
,S,, ,,,,,,,,,,,,,,Keine Bäume,
,W,, ,,,,,,,,,,,,,,Keine Bäume,
,N,, ,,,,,,,,,,,,,,Keine Bäume,
41,N,,BAh,355,343,333,,,,,,,,,,,,
,S,, ,,,,,,,,,,,,,,Keine Bäume,
,W,, ,,,,,,,,,,,,,,Keine Bäume,
,O,,Esche,196,171,158,206,180,167,,,,,T1,,1,,
60,O,, ,,,,,,,,,,,,,,"Keine Bäume, Plott zur gänze vom mittig wachsendem 155 ausgefüllt.",
,S,, ,,,,,,,,,,,,,,Keine Bäume,
,W,, ,,,,,,,,,,,,,,Keine Bäume,
,N,, ,,,,,,,,,,,,,,Keine Bäume,
42,O,, ,,,,,,,,,,,,,,Keine Bäume,
,S,, ,,,,,,,,,,,,,,Keine Bäume,
,W,, ,,,,,,,,,,,,,,Keine Bäume,
,N,, ,,,,,,,,,,,,,,Keine Bäume,
43,N,, ,,,,,,,,,,,,,,Keine Bäume,
,O,, ,,,,,,,,,,,,,,Keine Bäume,
,S,, ,,,,,,,,,,,,,,Keine Bäume,
,W,, ,,,,,,,,,,,,,,Keine Bäume,
57,N,, ,,,,,,,,,,,,,,Keine Bäume,
,O,, ,,,,,,,,,,,,,,Keine Bäume,
,S,, ,,,,,,,,,,,,,,Keine Bäume,
,W,, ,,,,,,,,,,,,,,Keine Bäume,
58,N,, ,,,,,,,,,,,,,,Keine Bäume,
