Plotnummer,Quadrant,Rueckegasse,Esche markiert,Baumart,Hoehe,Hoehe Vorjahr,Hoehe Vorvorjahr,Anzahl Triebe,ETS abgestorben frisch,ETS abgestorben alt,ETS lebend,Verbiss lebend,Verbiss tot,Sonstige Gruende tot,Bemerkungen,Rand,Zaun
,,,,sah,65,58,,,,,,,,,,FALSE,FALSE
,,,,eiche,68,65,30,,,,,,,,,FALSE,FALSE
,,,,esch,70,45,,1,,,,,,,,FALSE,FALSE
,ost,,,hbu,635,388,375,,,,,,,,,FALSE,FALSE
,,,,hbu,52,,,,,,,,,,,FALSE,FALSE
,,,ost,esch,374,345,320,3,T3,,,,,,grüne Höhe: 170,FALSE,FALSE
,,,,hbu,461,398,370,,,,,,,,,FALSE,FALSE
,west,,,eiche,174,117,,,,,,,,,,FALSE,FALSE
,,,,sah,52,39,,,,,,,,,,FALSE,FALSE
,,,,hbu,63,,,,,,,,,,,FALSE,FALSE
,,,,sah,92,75,61,,,,,,,,,FALSE,FALSE
,,,,hbu,59,,,,,,,,,,,FALSE,FALSE
,,,,hbu,64,60,,,,,,,,,,FALSE,FALSE
,,,,sah,93,80,65,,,,,,,,,FALSE,FALSE
,,,,eiche,164,112,,,,,,,,,,FALSE,FALSE
,,,,hbu,375,301,296,,,,,,,,,FALSE,FALSE
,,,ost,esch,66,47,,2,,,,,,,,FALSE,FALSE
,,,,sah,81,70,56,,,,,,,,,FALSE,FALSE
,nord,,nord,esch,54,,,1,,,,,,,,FALSE,FALSE
,,,,sah,44,42,35,,,,,,,,,FALSE,FALSE
,,,,hbu,50,,,,,,,,,,,FALSE,FALSE
,,,,eiche,102,30,,,,,,,,,,FALSE,FALSE
,,,,sah,299,292,235,,,,,,,,,FALSE,FALSE
,,,,hbu,210,202,100,,,,,,,,,FALSE,FALSE
,,,,hbu,170,162,158,,,,,,,,,FALSE,FALSE
,,,,sah,53,50,48,,,,,,,,,FALSE,FALSE
,,,,sah,80,72,,,,,,,,,,FALSE,FALSE
,,,,hbu,185,178,157,,,,,,,,,FALSE,FALSE
,,,,sah,87,75,60,,,,,,,,,FALSE,FALSE
,,,,hbu,48,,,,,,,,,,,FALSE,FALSE
12,nord,,,eiche,113,,,,,,,,,,,FALSE,FALSE
,,,,sah,97,91,85,,,,,,,,,FALSE,FALSE
,,,,eiche,164,152,,,,,,,,,,FALSE,FALSE
,,,,sah,69,61,55,,,,,,,,,FALSE,FALSE
,,,,eiche,122,,,,,,,,,,,FALSE,FALSE
,,,,hbu,76,64,,,,,,,,,,FALSE,FALSE
,,,,eiche,90,85,16,,,,,,,,,FALSE,FALSE
,,,,sah,62,60,53,,,,,,,,,FALSE,FALSE
,,,,eiche,202,136,,,,,,,,,,FALSE,FALSE
,,,,sah,108,82,,,,,,,,,,FALSE,FALSE
,,,,sah,93,90,75,,,,,,,,,FALSE,FALSE
,,,,eiche,70,,,,,,,,,,,FALSE,FALSE
,,,,sah,70,64,46,,,,,,,,,FALSE,FALSE
,,,nord,esch,315,308,300,3,,,,,,,steht schief,FALSE,FALSE
,ost,,,hbu,838,568,562,,,,,,,,,FALSE,FALSE
,,,,eiche,145,98,,,,,,,,,,FALSE,FALSE
,,,,eiche,140,,,,,,,,,,,FALSE,FALSE
,,,,sah,77,71,59,,,,,,,,,FALSE,FALSE
,,,,eiche,180,172,,,,,,,,,,FALSE,FALSE
,,,,sah,75,65,,,,,,,,,,FALSE,FALSE
,,,,sah,101,90,,,,,,,,,,FALSE,FALSE
,,,,hbu,422,405,391,,,,,,,,,FALSE,FALSE
,,,,sah,71,62,46,,,,,,,,,FALSE,FALSE
,,,,sah,34,21,,,,,,,,,,FALSE,FALSE
,,,,sah,63,51,40,,,,,,,,,FALSE,FALSE
,,,,sah,59,51,34,,,,,,,,,FALSE,FALSE
,süd,,,sah,75,70,59,,,,,,,,,FALSE,FALSE
,,,,sah,84,77,62,,,,,,,,,FALSE,FALSE
,,,,sah,119,95,75,,,,,,,,,FALSE,FALSE
,,,,eiche,43,,,,,,,,,,,FALSE,FALSE
,,,,sah,90,83,61,,,,,,,,,FALSE,FALSE
,,,,sah,77,71,55,,,,,,,,,FALSE,FALSE
,,,,hbu,330,286,255,,,,,,,,,FALSE,FALSE
,,,,hbu,874,571,563,,,,,,,,,FALSE,FALSE
,,,,hbu,728,645,630,,,,,,,,,FALSE,FALSE
,,,,sah,104,93,82,,,,,,,,,FALSE,FALSE
,,,,hbu,251,229,207,,,,,,,,,FALSE,FALSE
,,,,sah,143,130,95,,,,,,,,,FALSE,FALSE
,,,,sah,126,105,74,,,,,,,,,FALSE,FALSE
,,,,sah,90,87,75,,,,,,,,,FALSE,FALSE
,west,,,eiche,154,,,,,,,,,,,FALSE,FALSE
,,,,eiche,123,,,,,,,,,,,FALSE,FALSE
,,,,eiche,186,,,,,,,,,,,FALSE,FALSE
,,,,sah,118,103,97,,,,,,,,,FALSE,FALSE
,,,,sah,102,88,65,,,,,,,,,FALSE,FALSE
,,,,sah,62,55,45,,,,,,,,,FALSE,FALSE
,,,,sah,102,93,68,,,,,,,,,FALSE,FALSE
,,,,sah,112,107,85,,,,,,,,,FALSE,FALSE
,,,,sah,135,114,88,,,,,,,,,FALSE,FALSE
,,,,sah,97,86,72,,,,,,,,,FALSE,FALSE
,,,,sah,97,80,56,,,,,,,,,FALSE,FALSE
,,,,eiche,160,154,,,,,,,,,,FALSE,FALSE
,,,,sah,112,100,87,,,,,,,,,FALSE,FALSE
30,nord,,,sah,158,93,65,,,,,,,,,FALSE,FALSE
,,,,hbu,4365,3210,3720,,,,,,,,,FALSE,FALSE
,west,,,hbu,112,645,582,,,,,,,,,FALSE,FALSE
33,nord,,,bah,68,,,,,,,,,,,FALSE,FALSE
,,,,eiche,148,140,123,,,,,,,,,FALSE,FALSE
,,,,eiche,53,,,,,,,,,,,FALSE,FALSE
,,,,eiche,128,,,,,,,,,,,FALSE,FALSE
,,,,sah,88,84,75,,,,,,,,,FALSE,FALSE
,,,,sah,69,,,,,,,,,,,FALSE,FALSE
,,,,sah,81,77,60,,,,,,,,,FALSE,FALSE
,,,,sah,113,110,70,,,,,,,,,FALSE,FALSE
,,,,sah,70,66,,,,,,,,,,FALSE,FALSE
,,,,sah,92,85,80,,,,,,,,,FALSE,FALSE
,,,,sah,62,55,,,,,,,,,,FALSE,FALSE
,west,,,eiche,123,119,,,,,,,,,,FALSE,FALSE
,,,,eiche,61,,,,,,,,,,,FALSE,FALSE
,,,,sah,89,75,,,,,,,,,,FALSE,FALSE
,,,,eiche,75,60,,,,,,,,,,FALSE,FALSE
,,,,eiche,203,113,62,,,,,,,,,FALSE,FALSE
,,,,hbu,53,50,,,,,,,,,,FALSE,FALSE
,,,,hbu,29,,,,,,,,,,,FALSE,FALSE
,,,,eiche,120,102,,,,,,,,,,FALSE,FALSE
,,,,hbu,44,,,,,,,,,,,FALSE,FALSE
,süd,,süd,esch,171,15,,2,,,,,,1,austrieb aus älterem ,FALSE,FALSE
,,,,hbu,43,,,,,,,,,,,FALSE,FALSE
,ost,,,sah,81,78,65,,,,,,,,,FALSE,FALSE
,,,,eiche,84,40,,,,,,,,,,FALSE,FALSE
,,,,eiche,77,68,50,,,,,,,,,FALSE,FALSE
,,,,esch,58,,,1,,,T1,,,,,FALSE,FALSE
4,Norden,Ja,Nord,Esche,189,159,136,1,,,,,,,,FALSE,FALSE
,,,,HBu,342,340,330,,,,,,,,,FALSE,FALSE
,,,,HBu,290,283,242,,,,,,,,,FALSE,FALSE
,,,,HBu,200,191,184,,,,,,,,,FALSE,FALSE
,,,,HBu,230,222,205,,,,,,,,,FALSE,FALSE
,,,,Esche,223,184,167,1,,,,,,,,FALSE,FALSE
,,,,SAh,287,285,270,,,,,,,,,FALSE,FALSE
,,,,SAh,293,285,277,,,,,,,,,FALSE,FALSE
,,,,BAh,102,95,86,,,,,,,,,FALSE,FALSE
,,,,SAh,196,192,188,,,,,,,,,FALSE,FALSE
,,,,SAh,257,252,223,,,,,,,,,FALSE,FALSE
,,,,BAh,98,84,67,,,,,,,,,FALSE,FALSE
,Westen,,West,Esche,728,564,502,10,T1,3,,,,,,FALSE,FALSE
,,,,Esche,403,348,293,9,T2,2,,,,,,FALSE,FALSE
,,,,SAh,187,174,156,,,,,,,,,FALSE,FALSE
,,,,Esche,395,338,283,2,,,,,,,,FALSE,FALSE
,,,,HBu,433,422,418,,,,,,,,,FALSE,FALSE
,,,,SAh,280,267,255,,,,,,,,,FALSE,FALSE
,,,,SAh,119,116,99,,,,,,,,,FALSE,FALSE
,,,,SAh,200,192,188,,,,,,,,,FALSE,FALSE
,,,,SAh,147,123,112,,,,,,,,,FALSE,FALSE
,,,,SAh,114,110,102,,,,,,,,,FALSE,FALSE
,,,,SAh,133,116,99,,,,,,,,,FALSE,FALSE
,,,,SAh,95,87,65,,,,,,,,,FALSE,FALSE
,,,,Esche,62,53,,1,,,,,,,,FALSE,FALSE
,,,,Esche,67,45,,1,,,,,,,,FALSE,FALSE
,,,,Esche,82,53,,1,,,,,,,,FALSE,FALSE
,Osten,,,Weißdorn spec.,1544,1428,1139,,,,,,,,,FALSE,FALSE
,,,Ost,Esche,163,153,144,3,,,,,,2,"129-2142 - 2144 Sieht aus, als hätte sie mal einen Seitentrieb gehabt, der angewurzelt und danach abebrochen ist, aber noch lebt. Frisch abgebissen(?), treibt im Frühjahr womöglich aus.",FALSE,FALSE
,,,,SAh,190,185,175,,,,,,,,,FALSE,FALSE
,,,,Esche,142,140,137,1,,,,,,,,FALSE,FALSE
,,,,SAh,234,227,210,,,,,,,,,FALSE,FALSE
,,,,SAh,130,119,102,,,,,,,,,FALSE,FALSE
,,,,SAh,117,104,88,,,,,,,,,FALSE,FALSE
,,,,SAh,245,232,223,,,,,,,,,FALSE,FALSE
,,,,BAh,86,80,73,,,,,,,,,FALSE,FALSE
,,,,SAh,103,95,81,,,,,,,,,FALSE,FALSE
,,,,SAh,201,193,188,,,,,,,,,FALSE,FALSE
,,,,Esche,189,165,141,1,,,,,,,,FALSE,FALSE
,,,,BAh,349,336,282,,,,,,,,,FALSE,FALSE
,,,,SAh,265,260,241,,,,,,,,,FALSE,FALSE
,,,,SAh,233,230,225,,,,,,,,,FALSE,FALSE
,,,,SAh,251,235,225,,,,,,,,,FALSE,FALSE
,,,,SAh,235,227,224,,,,,,,,,FALSE,FALSE
,,,,SAh,202,198,195,,,,,,,,,FALSE,FALSE
,,,,SAh,88,78,60,,,,,,,,,FALSE,FALSE
,,,,Esche,53,,,1,,,,,,,,FALSE,FALSE
,,,,Esche,54,,,1,,,,,,,,FALSE,FALSE
,,,,Esche,40,,,1,,,,,,,45°,FALSE,FALSE
,,,,SAh,99,88,76,,,,,,,,,FALSE,FALSE
,Süden,,,Esche,444,410,389,3,,,,,,1,,FALSE,FALSE
,,,,SAh,315,310,303,,,,,,,,,FALSE,FALSE
,,,,SAh,252,237,224,,,,,,,,,FALSE,FALSE
,,,,SAh,232,119,100,,,,,,,,,FALSE,FALSE
,,,,SAh,79,69,58,,,,,,,,,FALSE,FALSE
,,,,SAh,263,254,233,,,,,,,,,FALSE,FALSE
,,,,SAh,99,90,80,,,,,,,,,FALSE,FALSE
,,,,SAh,225,217,210,,,,,,,,,FALSE,FALSE
,,,,SAh,260,258,250,,,,,,,,,FALSE,FALSE
,,,,SAh,252,244,219,,,,,,,,,FALSE,FALSE
,,,Süd,Esche,452,410,340,1,,,,,,,,FALSE,FALSE
,,,,SAh,296,287,279,,,,,,,,,FALSE,FALSE
,,,,BAh,214,211,210,,,,,,,,,FALSE,FALSE
,,,,SAh,337,331,325,,,,,,,,,FALSE,FALSE
,,,,SAh,354,350,310,,,,,,,,,FALSE,FALSE
8,Nord,,,SAh,105,83,56,,,,,,,,,FALSE,FALSE
,,,,SAh,231,211,193,,,,,,,,,FALSE,FALSE
,,,,SAh,115,105,90,,,,,,,,,FALSE,FALSE
,,,,BAh,93,,,,,,,,,,,FALSE,FALSE
,,,,Quercus spec,143,,,,,,,,,,,FALSE,FALSE
,,,,Esche,74,,,,,,,,,,,FALSE,FALSE
,,,,Esche,65,,,,,,,,,,,FALSE,FALSE
,,,,BAh,94,,,,,,,,,,,FALSE,FALSE
,,,Nord,Esche,217,179,154,1,,,,,,,,FALSE,FALSE
,,,,HBu,179,161,128,,,,,,,,,FALSE,FALSE
,,,,SAh,317,260,193,,,,,,,,,FALSE,FALSE
,,,,SAh,229,224,220,,,,,,,,,FALSE,FALSE
,,,,Daphne,344,324,303,,,,,,,,,FALSE,FALSE
,,,,Esche,90,86,82,1,,,,,,,,FALSE,FALSE
,,,,Quercus spec,157,146,,,,,,,,,,FALSE,FALSE
,,,,SAh,88,79,70,,,,,,,,,FALSE,FALSE
,,,,SAh,247,203,145,,,,,,,,,FALSE,FALSE
,,,,Esche,35,,,1,,,,,,,45°,FALSE,FALSE
,,,,SAh,79,67,55,,,,,,,,,FALSE,FALSE
,,,,SAh,101,97,83,,,,,,,,,FALSE,FALSE
,,,,Quercus spec,146,,,,,,,,,,,FALSE,FALSE
,,,,Quercus spec,187,,,,,,,,,,,FALSE,FALSE
,,,,Quercus spec,172,,,,,,,,,,,FALSE,FALSE
,,,,Esche,211,190,174,,,,,,,,,FALSE,FALSE
