"","aufid","id","baumid","edvid","auf.x","nr","nralt","art","anzahl","repfl","alt","r","zf","ou","schicht","sonder","vdfv","kraft","dkrz1","dkrz2","ddauer","dmess","mh","d","a","e","h","hkschicht","hmod","hmodm","k","status","hbr","g0","g5","g10","g15","g20","g25","g30","g35","hmaxkb","hastfrei","sfg","sfe","bi","bemerk.baum","datum","Stempel","baumid.stammv","edvid.stammv","nr.stammv","art.stammv","auf.stammv","x","y","z","bemerk","datum.stammv","Stempel.stammv","auf.y","saison","monat","jahr","flha","flha_alt","qualitat","typ","umfang","dop","bstand","messh","repfac","dfmonat","dfjahr","bemerk.auf","pz","schluss","schichtung","schaft","krone","astig","bluemast","schaeden","vegetation"
"175","316313021","316313021106211",4634709,31631302,1,"106",NA,211,1,1,131,"",NA,"U",-1,NA,4,50,358,0,0,358,13,358,"",NA,0,1,28.77,28.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",2023-04-11,2023-04-11 11:12:29,4634709,31631302,"106",211,1,2.485,-25.485,-0.82,"",2023-04-11,2023-04-11 11:12:30,1,NA,3,2022,0.47,NA,1,"H","V","nein",2,NA,NA,4,2021,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"176","316313021","316313021107211",4634710,31631302,1,"107",NA,211,1,1,131,"",NA,"U",-1,NA,4,50,207,0,0,207,13,207,"",NA,252,1,22.79,22.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",2023-04-11,2023-04-11 11:12:29,4634710,31631302,"107",211,1,3.585,-33.885,-0.8,"",2023-04-11,2023-04-11 11:12:30,1,NA,3,2022,0.47,NA,1,"H","V","nein",2,NA,NA,4,2021,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"177","316313021","316313021108112",4634711,31631302,1,"108",NA,112,1,1,131,"",NA,"O",-1,NA,2,20,545,0,0,545,13,545,"",NA,345,1,32.67,32.67,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",2023-04-11,2023-04-11 11:12:29,4634711,31631302,"108",112,1,6.665,-35.025,-0.63,"",2023-04-11,2023-04-11 11:12:30,1,NA,3,2022,0.47,NA,1,"H","V","nein",2,NA,NA,4,2021,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"178","316313021","316313021109211",4634712,31631302,1,"109",NA,211,1,1,131,"",NA,"U",-1,NA,4,50,240,0,0,240,13,240,"",NA,0,1,24.52,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",2023-04-11,2023-04-11 11:12:29,4634712,31631302,"109",211,1,3.855,-38.075,-0.83,"",2023-04-11,2023-04-11 11:12:30,1,NA,3,2022,0.47,NA,1,"H","V","nein",2,NA,NA,4,2021,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"179","316313021","316313021110211",4634713,31631302,1,"110",NA,211,1,1,131,"",NA,"U",-1,NA,4,50,154,0,0,154,13,154,"",NA,232,1,19.29,19.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",2023-04-11,2023-04-11 11:12:29,4634713,31631302,"110",211,1,8.665,-36.935,-0.61,"",2023-04-11,2023-04-11 11:12:30,1,NA,3,2022,0.47,NA,1,"H","V","nein",2,NA,NA,4,2021,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"180","316313021","316313021111321",4634714,31631302,1,"111",NA,321,1,1,131,"",NA,"O",-1,NA,2,20,527,0,0,527,13,527,"",NA,309,1,30.69,30.69,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",2023-04-11,2023-04-11 11:12:29,4634714,31631302,"111",321,1,12.545,-40.135,-0.28,"",2023-04-11,2023-04-11 11:12:30,1,NA,3,2022,0.47,NA,1,"H","V","nein",2,NA,NA,4,2021,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"181","316313021","316313021112321",4634715,31631302,1,"112",NA,321,1,1,131,"",NA,"U",-1,NA,4,50,193,0,0,193,13,193,"",NA,0,1,21.84,21.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","stammfaul!",2023-04-11,2023-04-11 11:12:29,4634715,31631302,"112",321,1,15.225,-44.815,-0.39,"",2023-04-11,2023-04-11 11:12:30,1,NA,3,2022,0.47,NA,1,"H","V","nein",2,NA,NA,4,2021,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"182","316313021","316313021113112",4634716,31631302,1,"113",NA,112,1,1,131,"",NA,"O",-1,NA,2,20,580,0,0,580,13,580,"",NA,322,1,33.08,33.08,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",2023-04-11,2023-04-11 11:12:29,4634716,31631302,"113",112,1,16.315,-46.125,-0.31,"",2023-04-11,2023-04-11 11:12:30,1,NA,3,2022,0.47,NA,1,"H","V","nein",2,NA,NA,4,2021,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"183","316313021","316313021101321",4634704,31631302,1,"101",NA,321,1,1,131,"",NA,"O",-1,NA,2,20,529,0,0,529,13,529,"",NA,0,1,30.71,30.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",2023-04-11,2023-04-11 11:12:29,4634704,31631302,"101",321,1,15.075,-34.165,-0.24,"",2023-04-11,2023-04-11 11:12:30,1,NA,3,2022,0.47,NA,1,"H","V","nein",2,NA,NA,4,2021,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"184","316313021","3163130211017211",4634739,31631302,1,"1017",NA,211,1,1,131,"",NA,"",-1,NA,0,0,505,0,0,505,3,434,"D",NA,0,1,30.46,30.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",2023-04-11,2023-04-11 11:12:29,4634739,31631302,"1017",211,1,43.995,4.22499999999999,0.53,"",2023-04-11,2023-04-11 11:12:30,1,NA,3,2022,0.47,NA,1,"H","V","nein",2,NA,NA,4,2021,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
