"OBJECTID,N,10,0","Species,C,80","Height,N,19,11","Spread,N,19,11","Condition,C,80","Illness,C,1","Photo,C,80","TrunkDiam,N,19,11","MV_NR,C,10","zdztfzzt_T,C,254","zdztfzzt_1,C,254","zdztfzzt_2,C,254","zdztfzzt_3,C,254","zdztfzzt_4,C,254","zdztfzzt_5,N,19,11","zdztfzzt_6,C,254","zdztfzzt_7,C,254","zdztfzzt_8,C,254","zdztfzzt_9,C,254","x,N,19,11","y,N,19,11","BA_Gruppe,C,10","RASTERVALU,N,13,11","BHD,N,19,11","Bemerkunge,C,50"
205,Oak,200,0,,F,,0,200,Gem. Esche,,F,,,206.1,,,,,33398639.28,5992165.639,Es,50.2209,66.1,
206,Oak,201,0,,F,,0,201,Gem. Esche,,F,,,70.6,,,,,33398640.74,5992158.613,Es,44.6112,21,
207,Oak,202,0,,F,,3,202,Gem. Esche,,F,3,,245,,,,,33398641.64,5992152.48,Es,49.7195,78.3,
208,Apple,203,0,,F,,0,203,Bergahorn,,F,,,0,,,,,33398649.94,5992151.491,Ah,37.7042,44.5,
209,Apple,204,0,,F,,0,204,Bergahorn,,F,,,0,,,,,33398654.81,5992156.236,Ah,45.9827,72,
210,Oak,205,0,,F,,0,205,Gem. Esche,,F,,,222,,,,,33398651.2,5992159.756,Es,53.3377,71,
211,Oak,206,0,,F,,0,206,Gem. Esche,,F,,,216.6,,,,,33398647.76,5992163.895,Es,51.9075,69.6,
212,Oak,207,0,,F,,0,207,Gem. Esche,,F,,,198.8,,,,,33398644.66,5992169.459,Es,51.3255,63.6,
213,Apple,208,0,,F,,0,208,Bergahorn,,F,,,0,,,,,33398660.87,5992161.348,Ah,43.6928,32,
214,Oak,209,0,,F,,0,209,Gem. Esche,,F,,,256.5,,,,,33398659.52,5992168.124,Es,51.2295,82.4,
215,Apple,210,0,,F,,0,210,Bergahorn,,F,,,0,,,,,33398663.39,5992167.956,Ah,51.5854,46,
216,Apple,211,0,,F,,0,211,Bergahorn,,F,,,0,,,,,33398666.73,5992171.292,Ah,48.973,36.5,
217,Oak,212,0,,F,,0,212,Gem. Esche,,F,,,248,,,,,33398666.13,5992175.23,Es,49.1587,79.1,
218,Oak,214,0,,F,,0,214,Gem. Esche,,F,,,83.2,,,,,33398661.63,5992175.197,Es,50.3532,26.8,
219,Oak,213,0,,F,,0,213,Gem. Esche,,F,,,199.9,,,,,33398661.05,5992178.857,Es,49.0305,63.8,
220,Oak,215,0,,F,,0,215,Gem. Esche,,F,,,81,,,,,33398654.85,5992171.873,Es,49.7394,26,
221,Oak,216,0,,F,,0,216,Gem. Esche,,F,,,158.2,,,,,33398653.58,5992175.844,Es,47.6699,50.9,
222,Oak,217,0,,F,,0,217,Gem. Esche,,F,,,223.2,,,,,33398647.49,5992189.9,Es,48.8702,71.4,
223,Oak,218,0,,F,,0,218,Gem. Esche,,F,,,94.7,,,,,33398646.78,5992196.054,Es,45.6772,30.7,geworfen Sommer 2021
224,Oak,219,0,,F,,0,219,Gem. Esche,,F,,,257.2,,,,,33398639.47,5992199.959,Es,47.4016,82,
225,Oak,220,0,,F,,0,220,Gem. Esche,,F,,,229.7,,,,,33398634.17,5992186.678,Es,42.2155,73.4,
226,,0,0,,F,,0,,,,,,,0,,,,,33398638.31,5992181.251,,46.9928,0,
227,Oak,221,0,,F,,0,221,Gem. Esche,,F,,,176.4,,,,,33398642.6,5992178.698,Es,48.0401,56.7,
228,Oak,222,0,,F,,0,222,Gem. Esche,,F,,,70.3,,,,,33398633.81,5992177.652,Es,45.6446,22.9,
229,Oak,223,0,,F,,0,223,Gem. Esche,,F,,,205,,,,,33398625.97,5992187.304,Es,47.7829,65.8,
230,Oak,224,0,,F,,0,224,Gem. Esche,,F,,,47,,,,,33398622.3,5992175.008,Es,25.0297,15.5,
231,Oak,225,0,,F,,0,225,Gem. Esche,,F,,,154.8,,,,,33398610.11,5992171.314,Es,47.9478,50.1,
232,Oak,226,0,,F,,0,226,Gem. Esche,,F,,,221.5,,,,,33398611.2,5992163.677,Es,13.3075,70.4,
233,Oak,227,0,,F,,0,227,Gem. Esche,,F,,,185.8,,,,,33398605.56,5992174.163,Es,49.6108,59.2,geworfen Sommer 2021
234,,0,12,,F,,0,Kaetzel-12,Gem. Esche,12,F,,,180.7,,,,,33398513.58,5992162.633,Es,51.0145,60.4,
235,,0,13,,F,,0,Kaetzel-13,Gem. Esche,13,F,,,0,,,,liegt,33398517.84,5992180.631,Es,47.7745,0,geworfen vor 2021
236,,0,14,,F,,0,Kaetzel-14,Gem. Esche,14,F,,,183.5,,,,,33398523.15,5992210.236,Es,49.5715,58.7,angeschoben Jan. 2022
237,,0,15,,F,,0,Kaetzel-15,Gem. Esche,15,F,,,241.7,,,,,33398562.55,5992221.164,Es,49.6841,77.4,geworfen Jan. 2022
238,,0,1,,F,,0,Kaetzel-1,Gem. Esche,1,F,,,220,,,,,33398697.86,5992089.214,Es,50.4485,70.8,
239,,0,3,,F,,0,Kaetzel-3,Gem. Esche,3,F,,,192.2,,,,,33398712.54,5992103.41,Es,49.2511,61.8,
240,,0,2,,F,,0,Kaetzel-2,Gem. Esche,2,F,,,153.3,,,,,33398699.29,5992097.964,Es,50.4084,49.7,
