"OBJECTID,N,10,0","Species,C,80","Height,N,19,11","Spread,N,19,11","Condition,C,80","Illness,C,1","Photo,C,80","TrunkDiam,N,19,11","MV_NR,C,10","zdztfzzt_T,C,254","zdztfzzt_1,C,254","zdztfzzt_2,C,254","zdztfzzt_3,C,254","zdztfzzt_4,C,254","zdztfzzt_5,N,19,11","zdztfzzt_6,C,254","zdztfzzt_7,C,254","zdztfzzt_8,C,254","zdztfzzt_9,C,254","x,N,19,11","y,N,19,11","BA_Gruppe,C,10","RASTERVALU,N,13,11","BHD,N,19,11","Bemerkunge,C,50"
107,Oak,104,0,,F,,0,104,Gem. Esche,,F,,,247,,,,,33398551.06,5992107.126,Es,51.239,78.6,
108,Cherry,105,0,,F,,0,105,Rotbuche,,F,,,0,,,,,33398548.52,5992105.814,Bu,51.154,28,
109,Apple,106,0,,F,,0,106,Bergahorn,,F,,,0,,,,,33398548.47,5992089.819,Ah,54.4725,42.5,
110,Oak,107,0,,F,,0,107,Gem. Esche,,F,,,231.1,,,,,33398551.67,5992092.578,Es,54.4357,74.2,
111,Oak,108,0,,F,,0,108,Gem. Esche,,F,,,219,,,,,33398552.38,5992082.729,Es,53.5772,70.3,
112,Birch,109,0,,F,,0,109,EIche,,F,,,0,,,,,33398554.78,5992078.568,Ei,52.3439,27.5,
113,Oak,110,0,,F,,102.25,110,Gem. Esche,,F,10.2.25,,209.6,,,,,33398564.33,5992085.191,Es,52.6336,67.2,
114,Cherry,111,0,,F,,0,111,Rotbuche,,F,,,0,,,,,33398571,5992078.175,Bu,51.7977,36,
115,Cherry,112,0,,F,,0,112,Rotbuche,,F,,,0,,,,,33398573.05,5992071.882,Bu,50.6832,63,
116,Oak,114,0,,F,,0,114,Gem. Esche,,F,,,194.8,,,,,33398576.08,5992083.582,Es,52.1412,62.2,
117,Oak,115,0,,F,,0,115,Gem. Esche,,F,,,148.2,,,,,33398575.93,5992088.828,Es,49.6165,47.3,
118,Elm,116,0,,F,,0,116,Hainbuche,,F,,,0,,,,,33398574.3,5992089.99,Hbu,50.3211,32,
119,Oak,117,0,,F,,26,117,Gem. Esche,,F,26,,210.2,,,,,33398563.65,5992091.67,Es,52.6338,67.4,abgebrochen Jan. 2022
120,Oak,118,0,,F,,28,118,Gem. Esche,,F,28,,187.3,,,,,33398559.61,5992097.223,Es,53.1803,59.6,
121,Oak,119,11,,F,,27,119,Gem. Esche,11,F,10.2.27,,222.6,,,,,33398565.11,5992100.594,Es,52.1875,71.5,
122,Oak,120,0,,F,,0,120,Gem. Esche,,F,,,161.3,,,,,33398576.68,5992094.934,Es,51.5032,51.7,
123,Oak,121,0,,F,,0,121,Gem. Esche,,F,,,201.6,,,,,33398586.05,5992087.64,Es,50.5704,64.3,
124,Oak,122,0,,F,,0,122,Gem. Esche,,F,,,157.9,,,,,33398591.98,5992088.299,Es,49.0315,50.7,
125,Oak,123,0,,F,,0,123,Gem. Esche,,F,,,151.4,,,,,33398597.43,5992095.044,Es,49.7165,48.5,angeschoben Jan. 2022
126,Pine,124,0,,F,,0,124,Spitzahorn,,F,,,0,,,,,33398593.29,5992104.035,Ah,53.6983,62,
127,Pine,125,0,,F,,0,125,Spitzahorn,,F,,,0,,,,,33398588.73,5992100.135,Ah,51.0231,50,
128,Oak,126,0,,F,,0,126,Gem. Esche,,F,,,85.3,,,,,33398585.79,5992096.461,Es,50.5544,26.5,
129,Pine,127,0,,F,,0,127,Spitzahorn,,F,,,0,,,,,33398583.19,5992101.341,Ah,50.6531,48.5,
130,Pine,128,0,,F,,0,128,Spitzahorn,,F,,,0,,,,,33398586.79,5992105.35,Ah,52.3546,68,
131,Pine,129,0,,F,,0,129,Spitzahorn,,F,,,0,,,,,33398580.35,5992105.344,Ah,51.223,62,
132,Oak,130,0,,F,,0,130,Gem. Esche,,F,,,196.7,,,,,33398580.07,5992109.092,Es,49.7716,62.8,
133,Oak,131,0,,F,,0,131,Gem. Esche,,F,,,251.2,,,,,33398572.62,5992113.213,Es,48.4466,80.2,
134,Pine,132,0,,F,,0,132,Spitzahorn,,F,,,0,,,,,33398573.54,5992115.239,Ah,47.5762,35,
135,Pine,133,0,,F,,0,133,Spitzahorn,,F,,,0,,,,,33398560.27,5992124.381,Ah,49.3335,65.5,
136,Cherry,134,0,,F,,0,134,Rotbuche,,F,,,0,,,,,33398552.42,5992118.62,Bu,49.2416,49.5,
137,Pine,135,0,,F,,0,135,Spitzahorn,,F,,,0,,,,,33398564.12,5992130.636,Ah,48.2467,37,
138,Pine,136,0,,F,,0,136,Spitzahorn,,F,,,0,,,,,33398566.45,5992133.801,Ah,48.2643,60,
139,Oak,137,0,,T,,0,137,Gem. Esche,,T,,,276.5,,,,,33398572.86,5992133.014,Es,49.8369,87.6,
140,Pine,138,0,,F,,0,138,Spitzahorn,,F,,,0,,,,,33398570.41,5992125.486,Ah,48.4781,58,
141,Oak,139,0,,T,,0,139,Gem. Esche,,T,,,245,,,,,33398580.41,5992119.297,Es,46.8072,78,
142,Birch,140,0,,F,,0,140,EIche,,F,,,0,,,,,33398582.54,5992122.234,Ei,48.3026,37,
143,Oak,141,0,,F,,0,141,Gem. Esche,,F,,,159,,,,,33398586.16,5992120.043,Es,49.8498,50.9,
144,Oak,142,0,,F,,0,142,Gem. Esche,,F,,,233.5,,,,,33398592.66,5992122.77,Es,52.0239,74.7,
145,Pine,143,0,,F,,0,143,Spitzahorn,,F,,,0,,,,,33398593.65,5992114.402,Ah,50.2365,25,
146,Pine,144,0,,F,,0,144,Spitzahorn,,F,,,0,,,,,33398590.41,5992110.506,Ah,51.436,52,
147,Pine,145,0,,F,,0,145,Spitzahorn,,F,,,0,,,,,33398596.53,5992107.827,Ah,54.1788,39,
148,Pine,146,0,,F,,0,146,Spitzahorn,,F,,,0,,,,,33398600.72,5992112.56,Ah,53.7216,47.5,
149,Oak,147,0,,F,,0,147,Gem. Esche,,F,,,146.1,,,,,33398601.6,5992122.228,Es,50.3611,46.3,
150,Cherry,148,0,,F,,0,148,Rotbuche,,F,,,0,,,,,33398603.66,5992124.446,Bu,49.372,50.5,
151,Pine,149,0,,F,,0,149,Spitzahorn,,F,,,0,,,,,33398584.56,5992129.789,Ah,48.6981,60.5,
152,Cherry,150,0,,F,,0,150,Rotbuche,,F,,,0,,,,,33398588.9,5992133.183,Bu,49.71,32.5,
153,Pine,151,0,,F,,0,151,Spitzahorn,,F,,,0,,,,,33398583.45,5992136.93,Ah,49.8753,67.5,
154,Pine,152,0,,F,,0,152,Spitzahorn,,F,,,0,,,,,33398574.77,5992141.431,Ah,49.3658,55,
155,Pine,153,0,,F,,0,153,Spitzahorn,,F,,,0,,,,,33398579.01,5992144.836,Ah,43.0449,39.5,
156,Pine,154,0,,F,,0,154,Spitzahorn,,F,,,0,,,,,33398585.14,5992151.087,Ah,44.3441,30,
157,Oak,155,0,,F,,0,155,Gem. Esche,,F,,,241.5,,,,,33398580.5,5992151.338,Es,49.7434,77.7,
158,Pine,156,0,,F,,0,156,Spitzahorn,,F,,,0,,,,,33398590.58,5992158.096,Ah,38.6448,24.5,
