"Species,C,80","Height,N,31,3","Spread,N,31,3","Condition,C,80","Illness,C,1","Photo,C,80","TrunkDiam,N,31,3","MV-NR,C,10","zdztfzzt T,C,254","zdztfzzt_1,C,254","zdztfzzt_2,C,254","zdztfzzt_3,C,254","zdztfzzt_4,C,254","zdztfzzt_5,N,24,15","zdztfzzt_6,C,254","zdztfzzt_7,C,254","zdztfzzt_8,C,254","zdztfzzt_9,C,254","x,N,11,3","y,N,11,3"
Oak,94,0,,F,,102.29,94,Gem. Esche,,F,10.2.29,,190.2,,,,,33398542.3,5992081.47
Oak,95,0,,F,,102.3,95,Gem. Esche,,F,10.2.30,,171.7,,,,,33398534.2,5992077.44
Oak,96,0,,F,,0,96,Gem. Esche,,F,,,241.2,,,,,33398525.42,5992078.056
Oak,97,0,,F,,0,97,Gem. Esche,,F,,,204,,,,,33398516.4,5992083.829
Cherry,98,0,,F,,0,98,Rotbuche,,F,,,0,,,,,33398524.22,5992091.003
,0,0,,F,,0,,,,,,,0,,,,,33398523.53,5992066.625
,0,0,,F,,0,,,,,,,0,,,,,33398668.63,5992061.688
Oak,99,0,,F,,0,99,Gem. Esche,,F,,,194.3,,,,,33398636.44,5992148.405
Cherry,100,0,,F,,0,100,Rotbuche,,F,,,0,,,,,33398540.55,5992099.304
Oak,101,0,,F,,0,101,Gem. Esche,,F,,,192.5,,,,,33398542.8,5992104.655
Cherry,102,0,,F,,0,102,Rotbuche,,F,,,0,,,,,33398546.95,5992109.241
Cherry,103,0,,F,,0,103,Rotbuche,,F,,,0,,,,,33398552.34,5992110.317
Oak,104,0,,F,,0,104,Gem. Esche,,F,,,247,,,,,33398551.06,5992107.126
Cherry,105,0,,F,,0,105,Rotbuche,,F,,,0,,,,,33398548.52,5992105.814
Apple,106,0,,F,,0,106,Bergahorn,,F,,,0,,,,,33398548.47,5992089.819
Oak,107,0,,F,,0,107,Gem. Esche,,F,,,231.1,,,,,33398551.67,5992092.578
Oak,108,0,,F,,0,108,Gem. Esche,,F,,,219,,,,,33398552.38,5992082.729
Birch,109,0,,F,,0,109,EIche,,F,,,0,,,,,33398554.78,5992078.568
Oak,110,0,,F,,102.25,110,Gem. Esche,,F,10.2.25,,209.6,,,,,33398564.33,5992085.191
Cherry,111,0,,F,,0,111,Rotbuche,,F,,,0,,,,,33398571,5992078.175
Cherry,112,0,,F,,0,112,Rotbuche,,F,,,0,,,,,33398573.05,5992071.882
Oak,114,0,,F,,0,114,Gem. Esche,,F,,,194.8,,,,,33398576.08,5992083.582
Oak,115,0,,F,,0,115,Gem. Esche,,F,,,148.2,,,,,33398575.93,5992088.828
Elm,116,0,,F,,0,116,Hainbuche,,F,,,0,,,,,33398574.3,5992089.99
Oak,117,0,,F,,26,117,Gem. Esche,,F,26,,210.2,,,,,33398563.65,5992091.67
Oak,118,0,,F,,28,118,Gem. Esche,,F,28,,187.3,,,,,33398559.61,5992097.223
Oak,119,11,,F,,27,119,Gem. Esche,11,F,10.2.27,,222.6,,,,,33398565.11,5992100.594
Oak,120,0,,F,,0,120,Gem. Esche,,F,,,161.3,,,,,33398576.68,5992094.934
Oak,121,0,,F,,0,121,Gem. Esche,,F,,,201.6,,,,,33398586.05,5992087.64
Oak,122,0,,F,,0,122,Gem. Esche,,F,,,157.9,,,,,33398591.98,5992088.299
Oak,123,0,,F,,0,123,Gem. Esche,,F,,,151.4,,,,,33398597.43,5992095.044
Pine,124,0,,F,,0,124,Spitzahorn,,F,,,0,,,,,33398593.29,5992104.035
Pine,125,0,,F,,0,125,Spitzahorn,,F,,,0,,,,,33398588.73,5992100.135
