Plotnummer,Quadrant,Rückegasse,Baumart,Höhe,Höhe Vorjahr,Höhe Vorvorjahr,Länge,Länge Vorjahr,Länge Vorvorjahr,Gesamtanzahl Triebe,ets.abgestorben.frisch,ets.abgestorben.alt,ets.lebend,verbiss.lebend,verbiss.abgestorben,sonstiges.abgestorben,Bemerkungen,Foto
,,,Esche,73,71,64,75,72,65,2,,,,,1,,,
,,,Esche,106,101,93,116,112,101,2,,,,,,,,
,,,BAh,109,104,99,116,111,105,,,,,,,,,
,,,Esche,102,98,91,117,111,100,1,,,,,,,,
47,SW,,Esche,117,102,76,123,107,80,1,,,,,,,,
,,,BAh,98,94,88,106,100,95,,,,,,,,,
,,,SAh,131,125,117,138,131,123,,,,,,,,,
,,,BAh,104,92,78,,,,,,,,,,,,
,,,Esche,70,55,35,77,61,41,1,,,,T1,,,GH 62,
,,,Esche,87,82,60,95,88,66,1,,,,,,,,
,,,Esche,74,63,51,83,71,58,1,,,,,,,,
,,,Esche,107,99,86,112,101,87,1,,,,,,,,
,,,Esche,85,79,67,,,,1,,,,,,,,
,,,Esche,67,64,62,84,80,77,1,,,,,,,,
,,,BAh,115,104,96,117,105,98,,,,,,,,,
,,,Esche,88,82,,91,83,,1,,,,,,,,
,NW,,Esche,74,68,,79,70,,1,,,,,,,,
,,,Esche,74,67,53,92,86,71,1,,,,,,,,
,,,Esche,70,67,61,,,,1,,,,,,,,
,,,SAh,62,58,56,110,105,102,,,,,,,,,
,,,Esche,153,144,135,158,149,140,1,,,,,,,,
,,,BAh,74,69,,92,85,,,,,,,,,,
,,,Esche,59,52,46,106,100,94,1,,,,,,,,
,,,Esche,90,85,79,96,87,79,2,,,,,,T1,,
,,,Esche,82,81,72,,,,1,,,,,,,,
,,,Esche,95,93,80,103,100,87,1,,,,,,,,
,,,BAh,73,69,30,97,93,50,,,,,,,,,
,,,Esche,88,77,65,98,85,66,1,,,,,,,,
,,,BAh,76,69,30,111,101,65,,,,,,,,,
,,,BAh,93,85,74,138,131,116,,,,,,,,,
,,,Esche,109,104,97,132,126,115,2,,,,,,,,
,,,Esche,80,72,60,90,82,64,1,,,T1,,,,,
,NO,,Esche,94,83,,94,83,,1,,,,,,,,
,,,Esche,75,64,,81,69,,1,,,,,,,,
,,,Esche,74,60,50,100,88,78,1,,,,,,,,
,,,Esche,75,61,54,89,67,60,1,,,,,,,,
,,,Esche,122,113,95,159,132,111,1,,,,,,,,
,,,Esche,78,72,,78,72,,1,,,,,,,,
,,,Esche,140,131,120,163,152,141,1,,,,,,,,
,,,Esche,158,148,136,184,173,162,1,,,,,,,,
,,,BAh,78,69,63,100,91,85,,,,,,,,,
,SO,,Esche,103,98,75,115,111,85,1,,,,,,,"Alter, stark verrotteter Stubben bedeckt den gesamten Quadranten.",
46,NO,, ,,,,,,,,,,,,,,"Komplett unter alter, schon verrotteter Krone begraben.",108-3821
,NW,, ,,,,,,,,,,,,,,,
,SO,, ,,,,,,,,,,,,,,,
,SW,, ,,,,,,,,,,,,,,,
45,NO,,Esche,49,40,,51,43,,1,,,,,,,Referenzbaum Esche 301,
,SW,,Esche,60,54,47,68,61,54,1,,,,,,,Quadrant mit großer toten Esche,108-3822 - 24
,SO,,Esche,56,53,48,63,59,53,1,,,,,,,,
,,,Esche,58,55,50,76,73,67,1,,,,,,,,
,,,Esche,44,41,36,63,60,53,1,,,,,,,,
,NO,,BAh,88,64,,127,101,,,,,,,,,,
,SW,, ,,,,,,,,,,,,,,,
44,NO,,Quercus,434,432,422,523,517,502,,,,,,,,,108-3825 - 27
,SO,, ,,,,,,,,,,,,,,keine Bäume,
,SW,, ,,,,,,,,,,,,,,,
,NW,, ,,,,,,,,,,,,,,,
41,SO,,Esche,51,46,,52,47,,1,,,,,,,,
,,,Esche,67,60,53,73,65,59,1,,,,,,,,
,,,Esche,69,65,,72,67,,1,,,,,,,,
,,,Esche,57,54,,59,56,,1,,,,,,,,
,,,Esche,,,,,,,,,,,,,,,
,,,Esche,63,61,,70,68,,1,,,,,,,,
,,,Esche,67,63,,74,69,,1,,,,,,,,
,,,Esche,65,55,,69,57,,1,,,,,,,,
,,,Esche,57,53,,60,57,,2,,,,,,,,
,,,Esche,58,55,,64,60,,1,,,,,,,,
,NO,,Esche,64,,,72,,,1,,,,,,,,
,,,Esche,60,53,,62,54,,1,,,,,,,,
,,,Esche,77,65,,82,69,,1,,,,,,,,
,,,Esche,55,,,56,,,1,,,,,,,,
,SW,,Esche,42,,,76,,,1,,,,,,,,
,,,Esche,56,51,,71,66,,1,,,,,,,,
,,,Quercus,91,80,,102,89,,,,,,,,,,
,NW,,Esche,40,37,,,,,1,,,,,,,,
,,,Esche,53,,,55,,,1,,,,,,,,
,,,Esche,58,53,,60,54,,1,,,,,,,,
,,,Esche,95,89,,,,,1,,,,,,,,
,,,BAh,55,,,78,,,,,,,,,,,
,,,Esche,53,,,55,,,1,,,,,,,,
,,,Esche,89,80,,,,,1,,,,,,,,
,,,Esche,85,81,,92,88,,1,,,,,,,,
,,,Esche,50,47,,,,,1,,,,,,,,
,,,Esche,70,67,,71,68,,1,,,,,,,,
,,,Esche,30,,,42,,,1,,,,,,,,
40,NO,,GBirke,95,93,83,105,102,91,,,,,,,,,
,,,HBu,75,60,57,98,77,73,,,,,,,,,
,,,HBu,84,56,,101,68,,,,,,,,,,
,,,HBu,70,53,,96,72,,,,,,,,,,
,SO,,BAh,59,59,56,97,96,86,,,,,,,,,
,SW,,BAh,140,89,63,152,100,75,,,,,,,,,
,,,Esche,60,56,50,69,64,56,1,,,,,,,,
,,,HBu,60,53,,64,55,,,,,,,,,,
,,,HBu,61,56,48,,,,,,,,,,,,
,NW,,BAh,214,167,128,,,,,,,,,,,,
,,,Esche,58,50,,69,60,,1,,,,,,,,
,,,Esche,53,45,,62,52,,1,,,,,,,,
,,,BAh,122,94,,122,94,,,,,,,,,,
,,,Esche,87,77,63,94,83,68,1,,,,,,,,
,,,HBu,89,67,,93,79,,,,,,,,,,
39,SO,,Esche,78,70,60,,,,1,,,,T1,,,Referenzbaum 226 20cm nördlich der Nordkante,
,,,Esche,58,54,48,66,61,56,1,,,,,,,,
,SW,,BAh,111,98,,117,103,,,,,,,,,,
,NW,,BAh,105,95,,106,95,,,,,,,,,,
,NO,,Esche,75,72,62,,,,1,,,,,,,,
34,NW,,BAh,124,120,113,152,146,138,,,,,,,,,
,,,Esche,73,71,,73,71,,1,,,,,,,,
,SW,, ,,,,,,,,,,,,,,Keine Bäume,
,NO,,BAh,155,148,136,159,152,139,,,,,,,,,
,SO,,SAh,128,124,112,165,160,152,,,,,,,,,
,,,BAh,90,80,68,101,91,78,,,,,,,,,
35,NO,, ,,,,,,,,,,,,,,Keine Bäume,
,NW,, ,,,,,,,,,,,,,,Keine Bäume,
,SO,, ,,,,,,,,,,,,,,Keine Bäume,
,SW,, ,,,,,,,,,,,,,,Keine Bäume,
33,SO,, ,,,,,,,,,,,,,,Keine Bäume,
,NW,, ,,,,,,,,,,,,,,Keine Bäume,
,SW,, ,,,,,,,,,,,,,,Keine Bäume,
,NO,,SAh,110,92,81,113,95,82,,,,,,,,,
32,NO,,BAh,142,131,116,156,141,123,,,,,,,,,
,,,Esche,60,57,53,,,,1,,,,,,,,
,NW,,BAh,114,92,72,,,,,,,,,,,,
,,,BAh,67,61,56,83,76,68,,,,,,,,,
,SW,, ,,,,,,,,,,,,,,Keine Bäume,
,SO,,Esche,63,58,49,65,60,50,1,,,,,,,,
31,SO,,Esche,75,72,,75,72,,1,,,,,,,"Baum 279 grenzt an NO Plot an, ist aber nicht drin",
,,,Esche,77,60,,77,60,,1,,,,,,,,
,,,Esche,66,62,59,66,62,59,1,,,,,,,,
,,,Esche,55,51,,64,59,,1,,,,,,,,
,,,Esche,46,41,,46,41,,1,,,,,,,,
,,,Esche,66,64,,66,64,,1,,,,,,,,
,,,Esche,41,33,,47,37,,1,,,,,,,,
,,,Esche,75,68,,75,68,,1,,,,,,,,
,,,Esche,70,53,,79,57,,1,,,,,,,,
,SW,,Esche,64,54,,64,54,,1,,,,,,,,
,,,Esche,59,53,,62,55,,1,,,,,,,,
,,,Esche,67,62,,72,65,,1,,,,,,,,
,,,BAh,86,75,,,,,,,,,,,,,
,,,BAh,85,80,73,88,82,73,,,,,,,,,
,,,BAh,118,110,97,122,113,102,,,,,,,,,
,,,Esche,89,85,,,,,1,,,,,,,,
,,,Esche,63,60,,73,69,,1,,,,,,,,
,,,Esche,57,54,,80,72,,1,,,,,,,,
,,,Esche,71,69,,76,74,,1,,,,,,,,
,,,Esche,56,,,59,,,1,,,,,,,,
,,,Esche,59,,,62,,,1,,,,,,,,
,,,BAh,40,34,28,98,94,85,,,,,,,,,
,,,Esche,70,38,,103,69,,1,,,,,,,,
,NW,,Esche,65,57,46,74,65,51,1,,,,,,,,
,,,Esche,73,72,70,,,,1,,,,,,,,
,,,Esche,75,69,,,,,1,,,,,,,,
,,,Esche,76,72,,,,,1,,,,,,,,
,,,Esche,56,49,,74,66,,1,,,,,,,,
,,,Esche,64,57,,,,,1,,,,,,,,
,,,Esche,61,45,,72,49,,2,,,,,,T1,,
,,,Esche,78,66,,,,,1,,,,,,,,
,,,Esche,61,56,,,,,1,,,,,,,,
,,,Esche,75,54,,,,,1,,,,,,,,
,NO,,Esche,70,62,,,,,1,,,,,,,,
,,,Esche,83,73,64,86,76,68,2,,,,,,,,
,,,Esche,80,76,,89,84,,1,,,,,,,,
,,,Esche,70,67,,,,,1,,,,,,,,
,,,BAh,113,89,72,138,115,96,,,,,,,,,
,,,Esche,70,58,,84,58,,1,,,,,,,,
,,,Esche,76,73,,,,,2,,,,,T1,,,
,,,SAh,93,76,44,104,87,50,,,,,,,,,
30,SO,,Esche,59,54,48,99,87,75,1,,,,,,,Die 318 Birke ist ca. 10cm im Süden des SW-Quadranten,
,,,Esche,85,80,,,,,2,,,,,,,,
,,,Esche,60,52,,69,60,,1,,,,,,,,
,,,Esche,57,46,,64,54,,1,,,,,,,,
,,,HBu,64,57,,64,57,,,,,,,,,,
,NO,,Esche,108,102,92,,,,1,,,,,,,,
,,,Esche,63,61,,,,,1,,,,,,,,
,,,Esche,64,57,52,85,79,74,1,,,,,,,,
,,,Esche,111,77,,,,,1,,,,,,,,
,,,Esche,85,78,,,,,1,,,,,,,,
,,,Esche,93,81,73,124,112,103,1,,,,,,,,
,,,Esche,60,58,57,94,91,88,1,,,,,,,,
,NW,,Esche,92,86,82,97,90,84,1,,,,,,,,
,,,Esche,66,59,,,,,1,,,,,,,,
,,,Esche,52,45,,59,51,,2,,,,1,,,,
,,,Esche,86,67,,99,74,,1,,,,,,,,
,,,Esche,87,68,,95,71,,1,,,,,,,,
,,,Esche,67,,,100,,,1,,,,,,,,
,SW,,Esche,66,58,,,,,1,,,,,,,,
,,,Esche,60,46,,61,47,,1,,,,,,,,
,,,Esche,78,67,,83,72,,1,,,,,,,,
,,,Esche,69,,,,,,1,,,,,,,,
,,,Esche,54,43,,,,,1,,,,,,,,
,,,Esche,57,45,,,,,1,,,,,,,,
,,,Esche,68,60,,,,,1,,,,,,,,
,,,Esche,61,49,,,,,1,,,,,,,,
,,,Esche,78,68,59,89,78,66,1,,,,,,,,
,,,Esche,59,52,,61,53,,1,,,,,,,,
,,,Esche,72,67,,,,,1,,,,,,,,
,,,Esche,72,66,,,,,1,,,,,,,,
,,,Esche,60,57,,62,58,,1,,,,,,,,
