Plotnummer,Quadrant,Rückegasse,Baumart,Höhe,Höhe Vorjahr,Höhe Vorvorjahr,Länge,Länge Vorjahr,Länge Vorvorjahr,Gesamtanzahl Triebe,ets.abgestorben.frisch,ets.abgestorben.alt,ets.lebend,verbiss.lebend,verbiss.abgestorben,sonstiges.abgestorben,Bemerkungen,Foto
,,,BAh,175,157,136,,,,,,,,,,,,
,,,Esche,88,72,53,,,,1,,,,,,,,
11,SO,,Esche,101,77,65,,,,1,,,,,,,,
,SW,, ,,,,,,,,,,,,,,keine Bäume,
,NO,,Esche,2041,1728,1130,,,,14,1,2,,,,3,,
,NW,,BAh,174,153,135,181,161,143,,,,,,,,,
,,,Esche,86,72,49,91,75,55,,,,,,,,,
,,,Alnus Frangula,348,166,155,551,355,344,,,,,,,,,
,,,Alnus Frangula,2061,1450,955,,,,,,,,,,,,
12,NW,,Esche,702,574,531,,,,10,T3,1,,,,6,,
,,,"minor, Ulmus",143,40,32,168,58,51,,,,,,,,aus Wurzelbrut,
,,,Esche,1011,834,638,,,,10,,,,,,5,,
,NO,,Esche,485,318,261,540,358,271,9,t2,6,,,,,,
,,,BAh,146,136,121,,,,,,,,,,,,
,,,Esche,62,54,37,86,72,50,1,,,,,,,,
,,,Esche,763,608,380,,,,6,,,1,,,3,,
,,,Esche,963,818,634,,,,8,,1,,,,2,,
,,,Esche,645,603,497,,,,11,,2,t8,,,,,
,,,Esche,460,420,318,477,438,339,7,,,,,,4,,
,,,Esche,424,377,312,468,438,369,10,,1,1,,,8,,
,,,BAh,394,345,244,392,340,240,,,,,,,,,
,,,BAh,295,278,203,,,,,,,,,,,,
,,,BAh,227,186,143,,,,,,,,,,,,
,,,BAh,372,340,201,,,,,,,,,,,,
,SW,,Esche,567,511,467,,,,14,1,,,,,8,,
,,,Esche,646,594,406,,,,7,,3,,,,,,
,,,Esche,650,604,551,,,,12,,3,,,,7,,
,,,Esche,1451,1090,714,,,,26,T8,,,,,12,,
,SO,,Esche,72,56,,75,53,,1,,,,,,,,
,,,BAh,213,174,142,215,176,144,,,,,,,,,
,,,Esche,106,89,65,114,93,69,1,,,,,,,,
,,,Esche,264,204,167,370,310,270,,4,,,,,3,,
,,,Esche,836,698,480,,,,6,,,,,,4,,
13,SO,,Esche,1253,999,594,,,,7,T4,,,,,3,Komplett tot,
,,,BAh,92,74,58,,,,,,,,,,,,
,,,BAh,457,250,145,,,,,,,,,,,,
,,,BAh,285,210,153,,,,,,,,,,,,
,,,BAh,172,133,118,190,149,120,,,,,,,,,
,,,BAh,260,191,140,272,203,143,,,,,,,,,
,,,BAh,310,262,184,,,,,,,,,,,,
,,,BAh,273,213,172,285,226,182,,,,,,,,,
,,,BAh,388,275,153,,,,,,,,,,,,
,,,BAh,228,174,123,,,,,,,,,,,,
,,,BAh,261,205,146,265,207,148,,,,,,,,,
,,,Esche,1267,764,450,,,,,,,2,,,,,
,NO,,Esche,1098,709,652,,,,14,T3,7,1,,,1,,
,,,BAh,370,332,217,,,,,,,,,,,,
,,,BAh,355,292,229,376,301,230,,,,,,,,,
,,,BAh,330,225,151,,,,,,,,,,,,
,,,BAh,228,182,147,233,188,147,,,,,,,,,
,,,Esche,67,50,34,,,,1,,,,,,,,
