Plotnummer,Quadrant,Rückegasse,Baumart,Höhe,Höhe Vorjahr,Höhe Vorvorjahr,Länge,Länge Vorjahr,Länge Vorvorjahr,Gesamtanzahl Triebe,ets.abgestorben.frisch,ets.abgestorben.alt,ets.lebend,verbiss.lebend,verbiss.abgestorben,sonstiges.abgestorben,Bemerkungen,Foto
,nw,,esche,151,84,81,,,,2,,,,,,1,,
,,,bah,146,126,105,,,,,,,,,,,,
,,,bah,167,135,118,,,,,,,,,,,,
,,,esche,91,89,49,159,106,49,1,,,,,,,,
,,,bah,141,128,108,163,142,124,,,,,,,,,
,,,esche,89,74,,104,91,,1,,,,,,,,
,,,bah,114,95,82,,,,,,,,,,,,
,,,bah,180,142,136,206,170,163,,,,,,,,,
,,,bah,130,115,,,,,,,,,,,,,
,,,bah,119,108,99,,,,,,,,,,,,
,,,bah,139,113,93,,,,,,,,,,,,
,,,bah,150,137,111,,,,,,,,,,,,
,,,esche,57,,,76,,,1,,,,,,,,
,,,bah,215,178,125,,,,,,,,,,,,
,sw,,bah,219,187,171,260,209,168,,,,,,,,,
,,,bah,249,208,188,,,,,,,,,,,,
,,,bah,150,125,99,216,173,140,,,,,,,,,
,,,bah,130,125,110,169,159,140,,,,,,,,,
,,,bah,95,88,68,,,,,,,,,,,,
,,,bah,142,112,106,,,,,,,,,,,,
,,,esche,55,,,107,,,1,,,,,,,,
,,,bah,178,130,115,202,194,153,,,,,,,,,
,,,esche,112,76,72,139,80,73,1,,,,,,,,
,,,bah,225,203,159,,,,,,,,,,,,
,,,bah,154,146,135,,,,,,,,,,,,
,so,,esche,78,60,,,,,1,,,,,,,,
,,,esche,129,71,,,,,,,,,,,,aceria fraxinivora,
,,,bah,160,141,135,214,193,150,,,,,,,,,
,,,bah,134,136,110,154,140,110,,,,,,,,hat einen knick,
,,,bah,190,168,122,204,191,144,,,,,,,,,
,,,bah,192,174,135,214,180,165,,,,,,,,,
,,,bah,198,178,172,,,,,,,,,,,,
,,,esche,110,45,,126,56,,1,,,,,,,,
,,,bah,170,135,118,189,153,118,,,,,,,,,
,,,esche,104,78,,,,,1,,,,,,,,
20,nw,,bah,250,229,130,,,,,,,,,,,,
,no,,bah,180,168,130,217,175,120,,,,,,,,,
,so,, ,,,,,,,,,,,,,,,
,sw,, ,,,,,,,,,,,,,,,
19,so,,bah,215,175,133,,,,,,,,,,,,
,,,bah,107,96,,,,,,,,,,,,,
,,,bah,102,92,63,,,,,,,,,,,,
,,,bah,180,151,136,,,,,,,,,,,,
,,,bah,153,132,120,,,,,,,,,,,,
,,,bah,138,116,,170,147,,,,,,,,,,
,,,esche,101,96,75,,,,1,,,,,,,,
,,,kirsche,340,230,142,,,,,,,,,,,,
,,,bah,152,140,130,,,,,,,,,,,,
,,,bah,213,177,152,,,,,,,,,,,,
,,,bah,159,140,108,,,,,,,,,,,,
