lfdNR.,Baumart,BHD,Kraftsche Klasse,Zwiesel,X,Y,Ost (UTM Z33 N),Nord (UTM Z33 N)
447,GES,26.5,1,0,39,55.7,426351.746878442,5629771.09317881
448,GES,10,5,0,38,53.2,426350.508477739,5629768.69091758
449,GES,8,5,0,41.5,50.7,426353.766386277,5629765.85805878
450,GES,30.5,1,0,37.2,46.5,426349.068021938,5629762.07296339
451,GES,16,5,0,39.3,42.7,426350.802683858,5629758.0751345
452,GES,35,1,0,42.4,44.7,426354.091518033,5629759.77686028
453,GBI,24,1,0,49.6,34.6,426360.319160496,5629748.99618787
454,GBI,21.5,2,0,52,30.5,426362.324869861,5629744.66989853
455,GBI,25.5,1,0,54.3,28.6,426364.441175611,5629742.55137364
456,GES,31,1,0,55.9,17.3,426364.958585,5629731.10754019
457,GES,8,5,0,56.3,16,426365.233862079,5629729.77033107
458,GES,11,4,0,54.1,14.9,426362.930409267,5629728.88174763
459,GES,17,3,0,49.1,14.4,426357.886665936,5629728.86059945
460,GES,10,5,0,50.4,18.3,426359.558784277,5629732.63300594
461,GBI,20,2,0,47.4,18.6,426356.589951288,5629733.21982494
462,GBI,21,1,0,49.9,21.8,426359.394103582,5629736.17797953
463,GBI,20,1,0,47.1,21.9,426356.605968889,5629736.54582489
464,GBI,16,3,0,48.9,25.4,426358.739401806,5629739.87071527
465,GBI,21.5,1,0,46.2,27.7,426356.261699463,5629742.42718742
466,GBI,16,2,0,42.5,31.8,426352.957056317,5629746.87787162
467,GES,30,1,0,39.3,34.5,426350.018039399,5629749.88185988
468,GBI,14.5,4,0,39.7,32.1,426350.188059294,5629747.44555295
469,GES,36,1,0,33,46.9,426344.909741986,5629762.87452638
470,GES,20,3,0,29.4,55.2,426342.106907888,5629771.51219704
471,GES,25,1,0,31.5,55.7,426344.253029708,5629771.81084142
472,GES,29.5,NA,0,29.6,58.7,426342.641653074,5629774.99018878
473,GES,26,2,0,28.6,62,426341.958244794,5629778.38317057
474,GES,16.5,4,0,32,63.6,426345.508557578,5629779.65651792
475,GES,31,1,0,30.1,65.5,426343.791923761,5629781.73676746
476,GES,12.5,5,0,28.9,65,426342.545063789,5629781.35200356
477,GES,11,5,0,31.1,67.3,426344.96334262,5629783.43960281
478,GES,22,1,0,26.3,71.2,426340.54046399,5629787.79570822
479,GES,15,5,0,24.7,67.9,426338.626004709,5629784.65151614
480,GES,15,2,0,23.7,67.3,426337.569411869,5629784.14769659
481,GES,11.5,5,0,23.4,66.8,426337.221813745,5629783.67681317
482,GES,9,5,0,23.1,62.6,426336.520168731,5629779.50896439
483,GES,28,1,0,24.1,62,426337.461935553,5629778.81376814
484,GES,12,5,0,26,54.9,426338.680989957,5629771.53778348
485,GES,25.5,1,0,25.5,53.7,426338.066574022,5629770.38661185
486,GES,17,3,0,29.3,51.9,426341.691218354,5629768.22447243
487,GES,24.5,1,0,29.1,48.2,426341.137335497,5629764.54664472
488,GES,31,1,0,29.2,43.3,426340.768380572,5629759.64109472
489,GES,36,1,0,31.6,34.5,426342.324354698,5629750.61866016
490,GES,16,5,0,30.7,29.7,426340.965788776,5629745.90871649
491,GBI,23,1,0,33.8,28.5,426343.948420235,5629744.41306681
492,GBI,23,1,0,34.8,26.7,426344.775361038,5629742.51885477
493,GBI,19.5,2,0,37.6,23,426347.219017676,5629738.55396201
494,GBI,28.5,1,0,42.4,25.3,426352.235164068,5629740.39277155
495,GBI,16,2,0,40.1,20.9,426349.516021722,5629736.2164635
496,GBI,20.5,2,0,42.8,21.4,426352.26165144,5629736.45769487
497,GBI,12.5,5,0,44.4,23.7,426354.080422372,5629738.60270712
498,GES,23,1,0,45.1,14.7,426353.918653116,5629729.5431068
499,GES,20.5,2,0,43.6,14.4,426352.391176864,5629729.38688537
500,GES,22.5,3,0,45.4,8.3,426353.606001634,5629723.11964937
501,GES,18.5,2,0,40.7,6.3,426348.718479729,5629721.57102495
502,GES,13,4,0,40.6,9.6,426348.934333297,5629724.87788723
503,GES,18.5,2,0,37.7,10.3,426346.10369363,5629725.85480932
504,GES,7.5,5,0,38.2,7.3,426346.3162185,5629722.80942565
505,GBI,18.5,1,0,38,13.4,426346.700081461,5629728.92356029
506,GES,21,2,0,33.8,12.6,426342.42697549,5629728.52610749
507,GES,15,2,0,33.2,15.4,426342.095394968,5629731.38122403
508,GES,19.5,3,0,34.7,18.9,426343.929073935,5629734.73482092
509,GBI,32,1,0,30.1,20.1,426339.44767273,5629736.37400312
510,GBI,26.5,2,0,29.9,23.7,426339.592314819,5629739.99018818
511,GBI,26.5,2,0,27.1,26,426337.014694493,5629742.55622917
512,GES,24,1,0,24.4,29.6,426334.661387004,5629746.4116351
513,GES,25,1,0,23.2,39.6,426334.419254694,5629756.51825943
514,GES,21.5,2,0,22.7,43.6,426334.302418173,5629760.56282293
515,GES,12,5,0,20.4,42.9,426331.937322717,5629760.08348025
516,GES,15.5,5,0,18.8,42.3,426330.281221978,5629759.63707371
517,GES,21.5,2,0,19.1,43,426330.647957771,5629760.30779309
518,GES,9,5,0,17.9,44.6,426329.602043332,5629762.02130684
519,GES,21,2,0,19.3,44.7,426331.01046393,5629761.98726113
520,GES,25.5,1,0,21.9,46.2,426333.751864015,5629763.23724117
521,GES,22,2,0,22.2,49.8,426334.396096019,5629766.80558206
522,GES,31.5,1,0,18,48.6,426330.08471471,5629766.00845733
523,GES,23,2,0,16.9,52.9,426329.397076795,5629770.41018779
524,GES,30,1,0,18.6,57.3,426331.516711242,5629774.64390885
525,GES,20,3,0,16.6,57.6,426329.547058084,5629775.1350395
526,GES,20,3,0,14.8,55.4,426327.538020021,5629773.1090829
527,GES,30,1,0,18.3,65.8,426332.030308257,5629783.16564392
528,GES,32,1,0,13.1,65.6,426326.815435464,5629783.46338737
529,GES,21.5,3,0,12.7,62.1,426326.080854311,5629780.0045333
530,GES,18,4,0,9.2,63.1,426322.679413251,5629781.33862235
531,GES,14,5,0,8.6,62.6,426322.032061177,5629780.89644544
532,GES,12,5,0,7,62.3,426320.404666943,5629780.74979285
533,GES,27,1,0,5.4,59.7,426318.557189506,5629778.30502665
534,GES,23.5,2,0,2.7,59.5,426315.840266292,5629778.36354922
535,GES,17,2,0,3,57.9,426315.986918883,5629776.73615499
536,GES,15,4,0,7.6,58.3,426320.621421447,5629776.69566052
537,GES,24,1,0,9.2,57.8,426322.172265002,5629776.04296924
538,GES,16,4,0,10,58.4,426323.029021877,5629776.56592646
539,GES,18,2,0,10.6,56.3,426323.427584243,5629774.41023581
540,GES,21,3,0,13,53.1,426325.519413122,5629770.98320831
541,GES,10.5,5,0,11.9,52.5,426324.362902299,5629770.4889576
542,GES,8.5,5,0,12.4,48.7,426324.498876489,5629766.64423006
543,GES,70,1,0,11.6,48.1,426323.642119615,5629766.12127284
544,GES,16,4,0,14.5,48.1,426326.539741126,5629765.84377663
545,GES,21,2,0,14.1,43.5,426325.699902789,5629761.28582475
546,GES,23,3,0,12.2,41.9,426323.648359752,5629759.86894488
547,GES,11.5,5,0,14.9,42.4,426326.393989471,5629760.11017625
548,GES,7.5,5,0,15.3,41.3,426326.68840422,5629758.9728031
549,GES,26,1,0,18.4,39.5,426329.613622669,5629756.87764552
550,GES,30.5,1,0,14.1,36.4,426325.020515513,5629754.19164795
551,GES,38,1,0,17.9,29.4,426328.147580431,5629746.8337734
552,GES,32,1,0,23.8,23.8,426333.506886683,5629740.67380509
553,GBI,20.5,2,0,25.9,19.2,426335.164997925,5629735.87663233
554,GES,18,2,0,27.3,17,426336.353335321,5629733.54447302
555,GBI,27.5,1,0,24.7,15.6,426333.621504072,5629732.39441096
556,GES,9,5,0,29.5,13.8,426338.245328234,5629730.13658319
557,GBI,9,5,0,27.3,11,426335.779205229,5629727.54939403
558,GES,9,5,0,28.3,9.7,426336.653990207,5629726.1547719
559,GBI,13,4,0,28.9,10.1,426337.291773445,5629726.49703082
560,GES,21.5,1,0,32,10,426340.379662087,5629726.10047896
561,GES,8.5,5,0,30.1,7.6,426338.251568371,5629723.88425523
562,GES,14,3,0,31,6.3,426339.026435366,5629722.49920193
563,GES,14.5,3,0,33.8,7,426341.891120737,5629722.93070044
564,GES,11,5,0,32.5,1.9,426340.104176378,5629717.95927815
565,GBI,26,2,0,116.8,99.2,426433.645512484,5629807.11294794
