lfdNR.,Baumart,BHD,Kraftsche Klasse,Zwiesel,X,Y,Ost (UTM Z33 N),Nord (UTM Z33 N)
178,BAH,8.5,5,0,104.6,95.7,426421.120609322,5629804.78321638
179,GBI,22,1,0,104.2,95.3,426420.68266205,5629804.42181979
180,SEI,17.5,4,0,109.8,92.5,426426.010141728,5629801.08826151
181,SEI,13,5,0,110.2,91.8,426426.342831817,5629800.35056029
182,BAH,18,4,0,108.6,82.9,426423.892517783,5629791.61096115
183,GBI,20,3,0,112.6,86.1,426428.195439824,5629794.42558321
184,WLI,15.5,5,0,114.1,85.6,426429.646365397,5629793.78246077
185,BAH,24,3,0,113.2,82.2,426428.421763163,5629790.47136886
186,BAH,29.5,1,0,111.7,76,426426.329725654,5629784.41998643
187,BAH,23.5,2,0,116.9,75.3,426431.458478933,5629783.22298114
188,SEI,19,2,0,115.1,68.3,426428.990136796,5629776.40096135
189,BAH,17.5,3,0,118.8,69.5,426432.80192819,5629777.24593025
190,BAH,31.5,1,0,115.9,67,426429.665085807,5629775.02547689
191,BAH,11,5,0,116.9,63.1,426430.291081079,5629771.0329872
192,BAH,18,4,0,118.1,59.6,426431.155187656,5629767.42103177
193,BAH,26,1,0,118.9,58.9,426431.887549677,5629766.64505521
194,BAH,37,1,0,122.1,53.5,426434.568208054,5629760.9432814
195,GES,36,2,0,124.6,50.4,426436.769523751,5629757.60660305
196,BAH,36,2,0,127.1,42.2,426438.48282887,5629749.17410756
197,GES,40.5,1,0,126.6,37.9,426437.571779055,5629744.92547846
198,GES,37,1,1,120.9,39.3,426432.010417704,5629746.86975382
199,BAH,34.5,1,0,117.3,47,426429.150170597,5629754.90791657
200,BAH,30,2,0,114.7,43.1,426426.179118476,5629751.25990494
201,BAH,29,1,0,112.4,47.8,426424.330740103,5629756.17613335
202,BAH,16.5,4,0,118.6,52,426430.927546121,5629759.77942088
203,WLI,16,5,0,111.4,56.4,426424.15448007,5629764.86476824
204,GBI,28,2,0,108.8,55.5,426421.470492995,5629764.2142961
205,BAH,41,1,0,112.8,59.2,426425.82125921,5629767.52850808
206,BAH,7.5,5,0,111.5,61.2,426424.713702127,5629769.6512626
207,BAH,10,5,0,107.3,59.1,426420.316201304,5629767.95487602
208,GBI,33,2,0,105.4,70.4,426419.499037965,5629779.42741597
209,sonst RKA,11,5,0,108.2,65.6,426421.837437418,5629774.36342541
210,BAH,34.5,1,0,109.2,65.9,426422.865323754,5629774.56749101
211,BAH,30,1,0,112.1,68.9,426426.050010311,5629777.28753429
212,BAH,10,5,0,108.5,67.5,426422.31899923,5629776.23316058
213,BAH,7,5,0,106.8,72.9,426421.1371106,5629781.79140186
214,BAH,31.5,1,0,109.3,73.1,426423.654197848,5629781.75201696
215,BAH,11,5,0,104.7,75.6,426419.297191496,5629784.69013294
216,BAH,17,5,0,102.7,72.9,426417.040473292,5629782.18372409
217,BAH,10,5,0,102.1,75.3,426416.67061743,5629784.6391687
218,GBI,34,1,0,103.8,80.1,426418.828527217,5629789.27256169
219,WLI,13.5,5,0,106.4,83,426421.703890989,5629791.9213935
220,BAH,34,1,0,105.2,85.1,426420.705820724,5629794.13449716
221,GBI,15.5,4,0,104.6,87.3,426420.316827193,5629796.3901058
222,BAH,8,5,0,103.6,87.8,426419.365491536,5629796.98538406
223,WLI,8.5,5,0,103.2,86.2,426418.812718245,5629795.42497167
224,BAH,7.5,5,0,101.7,86.1,426417.304379663,5629795.46858621
225,BAH,10,5,0,102.3,84.7,426417.769923874,5629794.01232144
226,WLI,9,5,0,102.2,84.5,426417.650868221,5629793.82205431
227,WLI,10.5,5,0,100.3,84,426415.704582367,5629793.50427226
228,WLI,12.5,5,0,99.7,81.6,426414.875422432,5629791.16365367
229,sonst SAH,29.5,1,1,101.8,88.4,426417.624380849,5629797.75713099
230,BAH,21,3,0,99.3,94.1,426415.671854858,5629803.6916769
231,GBI,10,5,0,97.7,93.5,426414.015754119,5629803.24527036
232,GBI,23.5,1,0,97.6,93.3,426413.896698466,5629803.05500323
233,BAH,15,4,0,97.7,91.1,426413.786102082,5629800.84723877
234,GBI,19.5,1,0,100.2,99.3,426417.068696119,5629808.80129251
235,GBI,29.5,1,0,92.1,97.5,426408.803100458,5629807.77784444
236,BAH,24,2,0,93.7,91.1,426409.789382757,5629801.22999216
237,BAH,22.5,2,0,95.5,87.4,426411.233859563,5629797.36078776
238,WLI,9.5,5,0,98.2,82.8,426413.491478703,5629792.50620199
239,BAH,16.5,4,0,97.5,82.6,426412.772915152,5629792.37334787
240,GBI,27,1,0,97.8,80.3,426412.852585899,5629790.04652775
241,WLI,9.5,5,0,96.3,78.3,426411.162439455,5629788.19170061
242,WLI,12.5,5,0,97.8,75.9,426412.431557165,5629785.6501365
243,BAH,9.5,5,0,98.8,72.8,426413.134103115,5629782.45699067
244,GBI,36,1,0,99.3,70,426413.365765654,5629779.61144297
245,BAH,16,4,0,99.2,68.8,426413.151021653,5629778.421996
246,BAH,7.5,5,0,100.7,66.3,426414.410570528,5629775.7805139
247,BAH,14,4,0,101.7,65.2,426415.304493176,5629774.58572774
248,WLI,8,5,0,99.6,63.5,426413.043545337,5629773.08806756
249,GBI,33,1,1,100.6,62.7,426413.966174489,5629772.19303535
250,BAH,38,1,1,103.4,54.9,426416.017508897,5629764.13150529
251,BAH,27,2,0,105.6,50.6,426417.804244626,5629759.62451764
252,BAH,18,2,0,108.5,49,426420.548764779,5629757.7483337
253,BAH,20.5,4,0,108.7,47.8,426420.633774727,5629756.53018024
254,BAH,27,3,0,110.4,40.9,426421.672130834,5629749.47316921
255,BAH,7.5,5,0,108.7,41,426419.983093956,5629749.73575738
256,GES,37,1,0,110.4,31.1,426420.734385017,5629739.68120686
257,GES,37.5,1,1,107.4,38,426418.397095129,5629746.86261274
258,BAH,22,5,0,103.9,42.8,426415.359269793,5629751.99358515
259,BAH,20,3,0,105,45.8,426416.745432654,5629754.88586746
260,BAH,22.5,2,0,100.7,50.3,426412.879556949,5629759.7936366
261,BAH,35,1,0,98.2,52.4,426410.582552903,5629762.13113512
262,BAH,9,5,0,100,57.2,426412.840380673,5629766.75495928
263,GBI,30.5,1,0,95.9,60,426409.011670741,5629769.94498504
264,BAH,30,2,0,94.3,63.9,426407.786167571,5629773.99488774
265,BAH,10,5,0,95.6,65.7,426409.257340379,5629775.66901658
266,GBI,23,2,0,96.8,66.3,426410.513769186,5629776.15369846
267,GBI,38,1,0,94.6,71,426408.765308796,5629781.06035804
268,BAH,20.5,4,0,92.7,72.2,426406.981693135,5629782.4411817
269,BAH,7.5,5,0,93.3,76.2,426407.963954429,5629786.38048801
270,WLI,8.5,5,0,89.6,76.4,426404.286126723,5629786.93437087
271,BAH,28.5,2,0,89,76.2,426403.667481154,5629786.79194791
272,BAH,12,5,0,87.6,80.1,426402.64181395,5629790.82271294
273,GBI,30,1,0,93.3,78.4,426408.174468796,5629788.57868364
274,BAH,25.5,3,0,94.2,82.2,426409.437346369,5629792.28944749
275,GBI,36,1,0,92.1,83.7,426407.482601246,5629793.98916277
276,WLI,17,4,0,89.8,81.6,426404.983542102,5629792.11096832
277,BAH,31.5,2,0,87.4,84.2,426402.834300214,5629794.93848792
278,BAH,14,5,0,92.2,87.1,426407.907859615,5629797.37680536
279,BAH,26,2,0,91,88.2,426406.814101001,5629798.59072919
280,BAH,20.5,2,0,88.3,89.2,426404.212003805,5629799.84826756
281,GBI,25,1,0,88.7,93.2,426404.994429133,5629803.80671155
282,BAH,31,1,0,85.7,94.3,426402.102146822,5629805.19287441
283,BAH,8.5,5,0,86,93.6,426402.334918928,5629804.46474202
284,BAH,25,2,0,81.3,92.3,426397.514378867,5629803.61554348
285,BAH,7.5,5,0,79.3,92.4,426395.52558804,5629803.90683816
286,BAH,13.5,5,0,80.6,90.2,426396.614007453,5629801.58424768
287,SEI,29,1,0,82.9,82.9,426398.21359612,5629794.07015171
288,BAH,35,1,0,83,78.1,426397.854210029,5629789.26451968
289,GBI,27.5,1,0,87.3,72.8,426401.643535055,5629783.55740668
290,BAH,13.5,4,0,88.7,71.7,426402.937129636,5629782.32434518
291,GBI,34,1,0,89.8,69.2,426403.797006578,5629779.72113841
292,BAH,32,1,0,91.1,61.6,426404.368708909,5629772.00297684
293,BAH,30,3,1,93.1,55.1,426405.745094305,5629765.31693124
294,BAH,12.5,5,0,95,48.9,426407.050268222,5629758.94020843
295,BAH,16,4,0,97,47.2,426408.885957692,5629757.05022602
296,GBI,15.5,4,0,97.2,45.7,426408.942261135,5629755.5323186
297,BAH,33,1,0,95,45.3,426406.705790167,5629755.34316103
298,BAH,9.5,5,0,97.9,45.5,426409.622549347,5629755.26550079
299,BAH,27.5,2,0,100.3,45.8,426412.049287447,5629755.3356027
300,BAH,10,5,0,98.6,42.9,426410.073185522,5629752.60065138
301,GES,38.5,1,0,99.2,39.1,426410.309077696,5629748.74635502
302,BAH,8.5,5,0,100.4,38.6,426411.460249319,5629748.13193908
303,BAH,8.5,5,0,101.1,38.4,426412.140537531,5629747.86512127
304,GES,19,4,0,101.8,37.8,426412.782550404,5629747.19863153
305,GES,18.5,2,0,99.4,34,426410.020903084,5629743.63140021
306,sonst EBE,7,5,0,98.8,33.6,426409.383119846,5629743.28914128
307,BAH,21,4,0,97.8,32.6,426408.288251666,5629742.3856498
308,BAH,29,3,0,100.3,28,426410.34603484,5629737.55020171
309,BAH,8.5,5,0,101,26.9,426410.940203538,5629736.38412205
310,GES,19.5,1,0,96.4,28.9,426406.535353012,5629738.82264811
311,GES,21,1,0,94.4,34.3,426405.053710432,5629744.4095959
312,GES,23.5,1,0,92.2,34.6,426402.884221308,5629744.91986422
313,BAH,33,2,0,93.8,42.8,426405.267553497,5629752.96003747
314,BAH,32.5,1,0,88.8,40.6,426400.061139974,5629751.24028359
315,BAH,29.5,2,0,88.4,45.4,426400.120772115,5629756.07462212
316,BAH,37.5,2,0,87.6,49.6,426399.723319315,5629760.34772809
317,BAH,12.5,5,0,84.7,47.2,426396.596045767,5629758.22719271
318,BAH,30,2,0,84.8,52.9,426397.241387338,5629763.91294891
319,BAH,9.5,5,0,86.4,56.2,426399.155846619,5629767.05714099
320,BAH,29,1,0,85.4,56.7,426398.204510962,5629767.65241926
321,BAH,26.5,2,0,83.3,59.4,426396.364591858,5629770.55115034
322,BAH,27,2,0,85.9,65.5,426399.546158346,5629776.3973576
323,GBI,24,1,0,83,67.9,426396.878188872,5629779.07288541
324,WLI,13.5,5,0,80.8,75,426395.359380519,5629786.37757657
325,BAH,14.5,4,0,79.2,76.9,426393.942500652,5629788.42911961
326,BAH,20.5,4,0,78.3,74.3,426392.794449097,5629785.91737156
327,GBI,40,1,0,77.9,72.3,426392.203400467,5629783.95728724
328,GBI,22,1,0,75.5,78.7,426390.417774304,5629790.5816902
329,sonst RBU,15.5,5,0,73.8,82.1,426389.044508976,5629794.14157182
330,BAH,13.5,5,0,75.7,86.6,426391.373548225,5629798.4560732
331,GBI,13.5,2,0,76.9,87.7,426392.677821206,5629799.44034499
332,BAH,10.5,5,0,77.2,90.2,426393.216796027,5629801.90958807
333,GBI,28,1,0,78,89.3,426393.930020378,5629800.93377554
334,BAH,16,4,0,74.7,88.2,426390.527469751,5629800.15044928
335,BAH,30.5,2,0,71.8,86.9,426387.505453387,5629799.12901171
336,GBI,22,1,0,71.7,82.3,426386.965369,5629794.54235332
337,GBI,23,1,0,69,82.8,426384.31542763,5629795.30030177
338,BAH,8.5,5,0,69.3,82.2,426384.55776857,5629794.67208737
339,BAH,31,3,0,71.9,77.6,426386.715469728,5629789.82707044
340,GBI,14,3,0,72.1,75.8,426386.743066666,5629788.00940907
341,BAH,17.5,4,0,73.1,74.3,426387.598713974,5629786.41495098
342,GES,38.5,1,0,73.6,70.4,426387.72511933,5629782.47030546
343,BAH,31,2,0,70.4,70,426384.48946853,5629782.37683624
344,BAH,9.5,5,0,72.6,67,426386.400599113,5629779.16878238
345,BAH,20,4,0,74.8,66.4,426388.541381733,5629778.35876012
346,BAH,40,1,0,74.1,64.2,426387.631441484,5629776.22754633
347,BAH,42.5,1,0,80.8,59.9,426393.914486454,5629771.28996112
348,BAH,22.5,2,0,75.9,55.8,426388.626183051,5629767.66219672
349,BAH,22,2,0,78.5,53.2,426390.975260906,5629764.81553946
350,BAH,23,2,0,81.3,53.4,426393.792102103,5629764.74744804
351,BAH,11.5,5,0,80,50.5,426392.215672111,5629761.97422139
352,BAH,27.5,1,0,82.4,49.3,426394.498877688,5629760.54555355
353,BAH,33.5,1,0,84,44.7,426395.657399014,5629755.79622497
354,BAH,11,5,0,84.6,44.1,426396.199493903,5629755.13930406
355,GES,30,1,0,75.5,45.3,426387.221783457,5629757.20908383
356,GES,20.5,3,0,78.4,43.1,426389.9088906,5629754.73339199
