Time,Seconds,FlachT  ,FlachW1 ,FlachW2 ,FlachW3 ,TiefT   ,TiefW1  ,TiefW2  ,TiefW3  
Logger3Halbschat,TempC,FlachT  ,Wtrmark,FlachW1 ,Wtrmark,FlachW2 ,Wtrmark,FlachW3 ,TempC,TiefT   ,Wtrmark,TiefW1  ,Wtrmark,TiefW2  ,Wtrmark,TiefW3  ,00/00/00,00:00A,01H,2477
2022/05/04 01:21 PM,1651663260,254,254,254,254,254,254,254,254
2022/05/04 02:21 PM,1651666860,254,254,254,254,254,254,254,254
2022/05/04 03:21 PM,1651670460,254,254,254,254,254,254,254,254
2022/05/04 04:21 PM,1651674060,254,254,254,254,254,254,254,254
2022/05/04 05:21 PM,1651677660,254,254,254,254,254,254,254,254
2022/05/04 06:21 PM,1651681260,11,11,10,254,9,14,9,0
2022/05/04 07:21 PM,1651684860,11,13,15,8,9,14,10,14
2022/05/04 08:21 PM,1651688460,11,18,21,10,9,14,9,13
2022/05/04 09:21 PM,1651692060,11,23,27,12,9,14,9,13
2022/05/04 10:21 PM,1651695660,11,28,31,14,8,14,9,13
2022/05/04 11:21 PM,1651699260,11,33,33,16,8,13,8,13
2022/05/05 12:21 AM,1651702860,11,38,35,17,8,13,7,13
2022/05/05 01:21 AM,1651706460,11,42,35,18,9,14,6,14
2022/05/05 02:21 AM,1651710060,11,46,36,19,9,15,7,14
2022/05/05 03:21 AM,1651713660,11,48,36,20,8,15,6,14
2022/05/05 04:21 AM,1651717260,11,50,35,20,8,15,6,14
2022/05/05 05:21 AM,1651720860,11,53,35,20,8,15,6,14
2022/05/05 06:21 AM,1651724460,11,54,35,20,8,15,5,14
2022/05/05 07:21 AM,1651728060,11,55,34,21,9,15,6,14
2022/05/05 08:21 AM,1651731660,11,56,34,21,9,15,5,15
2022/05/05 09:21 AM,1651735260,11,57,34,21,9,15,5,15
2022/05/05 10:21 AM,1651738860,11,57,34,21,9,15,5,15
2022/05/05 11:21 AM,1651742460,11,57,33,21,9,15,5,15
2022/05/05 12:21 PM,1651746060,11,58,33,21,9,15,5,15
2022/05/05 01:21 PM,1651749660,11,58,33,21,9,15,5,15
2022/05/05 02:21 PM,1651753260,11,58,33,21,9,15,5,15
2022/05/05 03:21 PM,1651756860,11,58,33,21,9,15,5,15
2022/05/05 04:21 PM,1651760460,11,58,32,22,9,15,4,15
2022/05/05 05:21 PM,1651764060,11,57,32,22,9,15,4,15
2022/05/05 06:21 PM,1651767660,11,57,32,22,9,15,4,15
2022/05/05 07:21 PM,1651771260,11,58,32,22,9,15,4,15
2022/05/05 08:21 PM,1651774860,11,57,32,22,9,15,4,15
2022/05/05 09:21 PM,1651778460,11,57,32,22,9,15,4,15
2022/05/05 10:21 PM,1651782060,11,57,32,22,9,15,4,15
2022/05/05 11:21 PM,1651785660,11,57,32,22,9,15,4,15
2022/05/06 12:21 AM,1651789260,11,57,32,22,9,15,4,15
2022/05/06 01:21 AM,1651792860,11,56,31,22,9,15,4,15
2022/05/06 02:21 AM,1651796460,11,56,31,22,9,15,5,15
2022/05/06 03:21 AM,1651800060,11,55,31,22,9,15,5,15
2022/05/06 04:21 AM,1651803660,11,55,31,22,9,15,5,15
2022/05/06 05:21 AM,1651807260,11,55,31,22,9,15,5,15
2022/05/06 06:21 AM,1651810860,10,54,31,22,9,15,5,15
2022/05/06 07:21 AM,1651814460,10,54,31,22,9,15,5,15
2022/05/06 08:21 AM,1651818060,10,54,31,22,9,15,6,15
2022/05/06 09:21 AM,1651821660,10,54,31,23,9,15,6,15
2022/05/06 10:21 AM,1651825260,10,54,32,23,9,15,7,15
2022/05/06 11:21 AM,1651828860,10,54,32,23,9,15,6,15
2022/05/06 12:21 PM,1651832460,10,53,31,23,9,15,7,15
2022/05/06 01:21 PM,1651836060,10,53,31,23,9,15,7,15
2022/05/06 02:21 PM,1651839660,11,54,32,24,9,15,8,15
2022/05/06 03:21 PM,1651843260,11,54,32,24,9,15,8,15
2022/05/06 04:21 PM,1651846860,11,54,32,24,9,15,9,15
2022/05/06 05:21 PM,1651850460,11,55,32,24,9,14,9,15
2022/05/06 06:21 PM,1651854060,11,55,32,24,9,14,9,15
2022/05/06 07:21 PM,1651857660,11,55,32,24,9,14,10,15
2022/05/06 08:21 PM,1651861260,12,55,32,24,9,14,10,15
2022/05/06 09:21 PM,1651864860,12,55,32,24,9,14,10,15
2022/05/06 10:21 PM,1651868460,11,55,32,24,9,14,10,15
2022/05/06 11:21 PM,1651872060,11,55,32,24,9,14,10,15
2022/05/07 12:21 AM,1651875660,11,55,32,24,9,14,10,15
2022/05/07 01:21 AM,1651879260,11,55,32,24,9,14,10,15
2022/05/07 02:21 AM,1651882860,11,55,32,25,9,14,10,15
