lfdNR_NEU,Bezeichnung,BHD,KraftscheKlasse,Hoehe,Zwiesel,Bemerkung,X,Y,Ost (UTM Z32 N),Nord (UTM Z33 N)
165,BAH,27,5,16.1,0,,89.1,35.63,313773.702623347,5693352.92726597
166,BAH,15,5,14.1,0,,85.4,32.2,313769.446736084,5693349.91527853
167,BAH,92,3,30.2,0,,87.66,23.23,313770.545133468,5693340.41913795
168,HBU,26,5,15.4,0,,87.29,17.59,313769.400927073,5693334.69129698
169,GES,46,4a,27.8,0,,87,11.8,313768.318328896,5693328.79893161
170,HBU,27,5,18.5,0,,81.8,12.6,313763.099592737,5693330.32396949
171,GES,31,1,23.1,0,,57.01,21.57,313738.919781473,5693342.87664322
173,RBU,89,2,30.5,0,,118.89,26.41,313802.970891607,5693339.44014842
174,BAH,33,3,27.8,0,,125.69,20.9,313809.189804912,5693332.87277089
175,BAH,23,3,27.2,0,,136.25,22.32,313820.200901567,5693332.89490217
176,FUL,8,5,7.6,1,,127,21,313810.545433207,5693332.79749716
177,WLI,39,5,27.9,0,,128.59,28.58,313813.202688836,5693340.34730762
178,RBU,93,2,28.3,0,,129.91,32.82,313815.130215105,5693344.51200229
179,WLI,25,5,16.7,0,,118.66,34.76,313803.868065445,5693348.02571471
180,WLI,33,5,10.2,0,,111.42,30.45,313795.866152691,5693344.59244379
181,FUL,15,5,10.9,0,,116.5,35.8,313801.796291831,5693349.38420482
182,FUL,11,5,13.4,0,,120.5,39,313806.328318533,5693352.11986358
183,GES,91,1,30.7,0,Nr 12,123.13,40.15,313809.17870165,5693352.94121039
184,FUL,13,5,20.2,0,,125,39,313810.938454461,5693351.50937094
185,FUL,7,5,10,0,,127,38.5,313812.919571247,5693350.72580355
186,FUL,8,5,11.7,0,,129,38,313814.900688033,5693349.94223616
187,BAH,25,5,24.1,0,,122.48,42.64,313808.850599053,5693355.58033454
188,BAH,58,1,27.3,0,,109.46,39.55,313795.092734156,5693354.18106657
189,BAH,23,5,20.8,0,,107.11,51.01,313794.23993998,5693366.24035889
190,BAH,41,1,24.6,1,Ruárindenkrankheit,106.75,58.13,313794.837064126,5693373.58345782
191,GES,86,1,28.2,0,Nr 13 alte Nr 21,128.65,48.6,313815.980171232,5693360.84915022
192,BAH,40,4a,24.6,0,,123.61,50.09,313811.018959888,5693363.05936921
193,BAH,46,2,25.8,0,,121.01,56.43,313809.215442092,5693369.90726757
194,BAH,13,4b,15,0,,125,60.5,313813.855252624,5693373.53557593
195,BAH,55,5,27.9,0,,117.48,69.65,313807.392538283,5693383.92972001
196,WLI,46,4a,24.5,0,,112.88,66.96,313802.315015957,5693381.79794234
197,BAH,43,2,23.1,0,,104.61,68.94,313794.111227357,5693384.94835196
198,RBU,70,2,27.6,0,,110.87,75.66,313801.436107677,5693390.98355852
199,BAH,84,2,31.9,0,,119.41,81.57,313810.986901526,5693395.87962434
200,BAH,14,5,20.4,0,,119,92.5,313812.049685707,5693407.13275493
201,BAH,20,5,27.4,0,,115,92.5,313807.951787104,5693407.67541506
202,GES,72,2,33.9,0,,105.36,84.48,313796.987817924,5693400.76693926
203,RBU,49,3,23.4,0,,104.36,86.54,313796.242813237,5693403.01302207
204,GES,73,2,26.2,0,,101.11,95.59,313794.141039151,5693412.72542901
205,RBU,63,3,27.3,0,,105.74,93.97,313798.664579434,5693410.43765098
206,GES,82,1,32.2,0,Nr 2 alte Nr 37,117.14,100.12,313811.177930391,5693415.19158873
207,BAH,31,5,26.5,0,,123,92.5,313816.147584309,5693406.59009481
208,BAH,39,3,25.9,0,,117.36,106.21,313812.229514852,5693421.40079304
209,BAH,38,4a,22.3,1,,117.27,112.22,313812.952658969,5693427.57009555
210,FUL,11,5,13.6,0,,110.5,110,313805.715789215,5693426.21421408
211,BAH,79,1,26.8,0,,109.45,110.36,313804.688930243,5693426.72547324
212,BAH,50,2,31.2,0,,94.39,107.85,313788.919822777,5693426.19715723
213,BAH,48,4a,25.7,0,,98.98,114.48,313794.521620578,5693432.36672167
214,BAH,9,5,14.4,0,,100.2,118,313796.24902056,5693435.80736111
215,BAH,66,4a,32.7,0,,87.14,118.73,313782.968417094,5693438.3270129
216,BAH,10,5,13.3,0,,94.5,123,313791.087840205,5693441.70302503
217,BAH,27,4b,27.2,0,,97.38,126.06,313794.453462194,5693444.44720218
218,BAH,49,2,32.1,0,,102.42,122.49,313799.132490273,5693440.10607592
219,BAH,21,5,19.7,0,,104.65,123.5,313801.554090425,5693440.8382623
220,BAH,49,3,29.8,0,,115.06,121.72,313811.977387784,5693437.60242445
221,BAH,42,1,24.3,0,,111.74,130.31,313809.741494559,5693446.8530696
222,BAH,9,5,14,0,,112,126.5,313809.4909742,5693442.91454827
223,BAH,27,5,23.6,0,,93,133.5,313790.975611053,5693452.66350641
224,BAH,43,4a,26.4,0,,102,133,313800.128050394,5693450.93028381
225,BAH,47,3,25.4,0,,107,133,313805.250423647,5693450.25195866
226,BAH,23,4b,18.9,0,,107,136,313805.65741874,5693453.32538261
227,GES,113,1,31.4,0,Nr 1 alte Nr 1938,125,111,313820.706336681,5693425.27154579
228,GES,94,2,30.2,0,Nr 5,96.93,87.45,313788.75442176,5693404.95328518
229,FUL,19,4b,16.2,0,,105.2,131.5,313803.20287173,5693448.95944374
