OBJECTID,NR_FM,BNR,ART,wb_H_M,wb_Kraft,wb_KZSTND_,wb_WR_kron,wb_Notiz,xcoord,ycoord,DBH_mm,BHD_CM,Height_m,Status,Schicht,BA_Gruppe
190,84,84,Betula pendula,0,,0,,,430153.34,5893494.58,540,54,,100,1,Bi
191,85,85,Carpinus betulus,0,,0,,,430160.2,5893503.67,280,28,,100,0,Hbu
192,86,86,Betula pendula,0,,0,,,430159.13,5893498.02,400,40,,100,0,Bi
193,87,87,Carpinus betulus,0,,0,,,430180.82,5893504.47,250,25,,100,2,Hbu
194,88,88,Alnus glutinosa,0,,0,,,430150.22,5893455.79,420,42,,100,1,Er
195,89,89,Alnus glutinosa,0,,0,,,430146.43,5893465.5,380,38,,100,1,Er
196,90,90,Alnus glutinosa,0,,0,,,430144.44,5893463.34,400,40,,100,1,Er
197,91,91,Alnus glutinosa,0,,0,,,430142.05,5893464.15,430,43,,100,1,Er
198,92,92,Alnus glutinosa,0,,0,,,430136.88,5893463.93,390,39,,100,1,Er
199,93,93,Fagus sylvatica,0,,0,,,430171.13,5893478.33,280,28,,100,2,Bu
200,94,94,Fagus sylvatica,0,,0,,,430152.94,5893488.41,320,32,,100,1,Bu
201,95,95,Tilia platyphyllus,0,,0,,,430136.5,5893489.09,550,55,,100,1,Li
202,96,96,Alnus glutinosa,0,,0,,,430128.39,5893483.63,470,47,,100,1,Er
203,97,97,Fagus sylvatica,0,,0,,,430124.05,5893492.53,240,24,,100,2,Bu
204,98,98,Fagus sylvatica,0,,0,,,430122.85,5893494.45,310,31,,100,2,Bu
205,99,99,Fagus sylvatica,0,,0,,,430123.87,5893496.91,290,29,,100,2,Bu
206,100,100,Fagus sylvatica,0,,0,,,430115.35,5893491.24,340,34,,100,1,Bu
207,101,101,Alnus glutinosa,0,,0,,,430141.23,5893475.94,460,46,,100,1,Er
208,102,102,Fagus sylvatica,0,,0,,,430118.71,5893491.95,170,17,,100,2,Bu
209,103,103,Fagus sylvatica,0,,0,,,430168.54,5893478.54,370,37,,100,1,Bu
210,104,104,Alnus glutinosa,0,,0,,,430138.08,5893468.3,520,52,,100,1,Er
211,105,105,Alnus glutinosa,0,,0,,,430145.63,5893468.62,380,38,,100,1,Er
212,107,107,Alnus glutinosa,0,,0,,,430136.83,5893472.53,550,55,,100,1,Er
213,108,108,Alnus glutinosa,0,,0,,,430136.76,5893477.23,410,41,,100,1,Er
214,109,109,Alnus glutinosa,0,,0,,,430133.24,5893473.09,560,56,,100,1,Er
215,110,110,Fagus sylvatica,0,,0,,,430105.85,5893494.69,240,24,,100,2,Bu
216,111,111,Alnus glutinosa,0,,0,,,430128.68,5893474.9,430,43,,100,1,Er
217,112,112,Carpinus betulus,0,,0,,,430180.49,5893468.37,290,29,,100,1,Hbu
218,114,114,Fagus sylvatica,0,,0,,,430111.29,5893463.98,310,31,,100,2,Bu
219,115,115,Fagus sylvatica,0,,0,,,430115.47,5893463.16,470,47,,100,1,Bu
220,116,116,Betula pendula,0,,0,,,430179.14,5893477.29,320,32,,100,1,Bi
221,117,117,Fagus sylvatica,0,,0,,,430108.12,5893456.7,270,27,,100,2,Bu
222,118,118,Tilia platyphyllus,0,,0,,,430186.07,5893490.16,350,35,,100,2,Li
223,121,121,Carpinus betulus,0,,0,,,430102.1,5893446.14,300,30,,100,1,Hbu
224,123,123,Fagus sylvatica,0,,0,,,430099.19,5893434.03,440,44,,100,1,Bu
225,133,133,Fagus sylvatica,0,,0,,,430143.03,5893493.19,410,41,,100,1,Bu
226,141,141,Betula pendula,0,,0,,,430184.11,5893490.73,550,55,,100,1,Bi
227,144,144,Fagus sylvatica,0,,0,,,430184.14,5893492.9,270,27,,100,2,Bu
228,145,145,Carpinus betulus,0,,0,,,430186.39,5893503.43,220,22,,100,2,Hbu
229,146,146,Acer campestre,0,,0,,,430187.91,5893511.97,190,19,,100,2,Ah
230,147,147,Alnus glutinosa,0,,0,,,430196.43,5893510.29,550,55,,100,1,Er
231,148,148,Alnus glutinosa,0,,0,,,430200.06,5893507.51,390,39,,100,1,Er
232,149,149,Carpinus betulus,0,,0,,,430196.54,5893503,220,22,,100,2,Hbu
233,158,158,Fagus sylvatica,0,,0,,,430190.17,5893472.29,160,16,,100,2,Bu
234,171,171,Alnus glutinosa,0,,0,,,430151.45,5893478.88,520,52,,100,1,Er
235,178,178,Fagus sylvatica,0,,0,,,430190.64,5893470.24,360,36,,100,1,Bu
