OBJECTID,NR_FM,BNR,ART,wb_H_M,wb_Kraft,wb_KZSTND_,wb_WR_kron,wb_Notiz,xcoord,ycoord,DBH_mm,BHD_CM,Height_m,Status,Schicht,BA_Gruppe
74,234,234,Fraxinus excelsior,25,2,2.5,0,,430098.52,5893443.35,0,49,25,,0,Es
75,235,235,Fraxinus excelsior,35.8,2,3,2,,430097.86,5893433.31,0,41,"35,8",,0,Es
76,236,236,Fraxinus excelsior,38.5,2,2,1,,430099.01,5893431.57,0,42,"38,5",,0,Es
77,238,238,Fraxinus excelsior,35.9,2,2,0,,430098.37,5893426.5,0,48,"35,9",,0,Es
78,239,239,Fraxinus excelsior,35.1,1,2.5,1,,430096.65,5893421.53,0,85,"35,1",,0,Es
79,297,237,Fraxinus excelsior,28.9,4,2,0,,430097.03,5893428.78,0,28,"28,9",,0,Es
80,1104,104,Fraxinus excelsior,34.5,3,4,2,,430162.71,5893515.8,0,31.5,"34,5",,0,Es
81,1115,115,Fraxinus excelsior,30.4,3,3.5,2,,430180.18,5893505.58,0,30,"30,4",,0,Es
82,1117,117,Fraxinus excelsior,31.85,3,3,2,,430174.21,5893506.18,0,34,"31,85",,0,Es
83,1121,121,Fraxinus excelsior,35.6,1,3.5,2,,430158.25,5893506.62,0,41,"35,6",,0,Es
84,1123,123,Fraxinus excelsior,33.5,1,2,1,,430143.52,5893517.49,0,39.5,"33,5",,0,Es
85,1145,145,Fraxinus excelsior,28.22,2,3,1,,430198.44,5893498.06,0,32,"28,22",,0,Es
86,1146,146,Fraxinus excelsior,30.25,2,2.5,1,R+,430202.52,5893487.2,0,42,"30,25",,0,Es
87,1178,178,Fraxinus excelsior,33.34,2,3,2,,430162.99,5893463.89,0,36.5,"33,34",,0,Es
88,1179,179,Fraxinus excelsior,29.16,2,3,2,,430169.27,5893465.01,0,33,"29,16",,0,Es
89,1180,180,Fraxinus excelsior,34.05,2,3,1,,430165.36,5893459.12,0,37.5,"34,05",,0,Es
90,1181,181,Fraxinus excelsior,34.29,1,2,1,,430171.55,5893458.79,0,41,"34,29",,0,Es
91,1182,182,Fraxinus excelsior,30.34,2,4,2,R-,430176.38,5893463.51,0,39,"30,34",,0,Es
92,1192,192,Fraxinus excelsior,31.17,2,2,0,R+,430175.33,5893450.85,0,37.5,"31,17",,0,Es
93,1193,193,Fraxinus excelsior,30.55,2,3,2,,430170.73,5893448.45,0,31,"30,55",,0,Es
94,1194,194,Fraxinus excelsior,34.73,2,2,1,,430172.85,5893454.53,0,37,"34,73",,0,Es
95,1195,195,Fraxinus excelsior,30.4,3,3,2,,430169.28,5893453.92,0,27.5,"30,4",,0,Es
96,1196,196,Fraxinus excelsior,27.31,2,2.5,2,R-,430164.43,5893451.61,0,32.5,"27,31",,0,Es
97,1197,197,Fraxinus excelsior,32.96,2,2.5,2,,430162.58,5893454.42,0,33.5,"32,96",,0,Es
98,1212,212,Fraxinus excelsior,38,2,3,2,,430127.23,5893448.59,0,43.5,38,,0,Es
99,1213,213,Fraxinus excelsior,38.9,1,3.5,0,,430125.42,5893441.29,0,59,"38,9",,0,Es
100,1214,214,Fraxinus excelsior,29,4,4,2,,430123.92,5893443.66,0,23,29,,0,Es
101,1225,225,Fraxinus excelsior,38.64,2,1,2,,430120.29,5893432.26,0,52.5,"38,64",,0,Es
102,2013,13,Fraxinus excelsior,40.02,2,2,2,Probebäume,430092.8,5893526.11,0,46.5,"40,02",,0,Es
103,2014,14,Fraxinus excelsior,37.96,2,2.5,2,Probebäume,430091.54,5893530.15,0,41,"37,96",,0,Es
104,2015,15,Fraxinus excelsior,34.84,2,3,2,Probebäume,430090.05,5893525.31,0,41,"34,84",,0,Es
105,2018,18,Fraxinus excelsior,40.98,1,1.5,1,Probebäume,430086.06,5893517.29,0,61,"40,98",,0,Es
106,2107,107,Fraxinus excelsior,27.6,3,4,2,,430174.65,5893515.35,0,30,"27,6",,0,Es
107,2215,215,Fraxinus excelsior,33.63,2,4,2,,430118.34,5893443.99,0,43,"33,63",,0,Es
108,19,19,Fraxinus excelsior,42.89,1,1,1,Lage prüfen,430084.816,5893513.737,0,67,"42,89",,0,Es
109,133,133,Fraxinus excelsior,33.3,2,3.5,1,Lage prüfen,430143.026,5893493.189,0,42,"33,3",,0,Es
110,1144,144,Fraxinus excelsior,21.72,3,3,2,Lage prüfen,430189.079,5893488.768,0,22,"21,72",,0,Es
111,171,171,Fraxinus excelsior,39.48,1,1.5,1,Lage prüfen,430151.447,5893478.877,0,54.5,"39,48",,0,Es
112,1187,187,Fraxinus excelsior,31.18,2,3,1,Lage prüfen,430197.53,5893457.878,0,58.5,"31,18",,0,Es
113,1,1,Ulmus spec.,0,,0,,,430096.62,5893429.33,120,12,,,3,Ul
114,2,2,Coryllus avellana,0,,0,,,430099.26,5893420.2,0,0,,100,3,Hasel
115,3,3,Alnus glutinosa,0,,0,,,430119.11,5893420.5,450,45,,100,1,Er
116,4,4,Coryllus avellana,0,,0,,,430117.97,5893426.51,140,14,,,0,Hasel
117,6,6,Fagus sylvatica,0,,0,,,430098.77,5893447.5,190,19,,,2,Bu
118,7,7,Ulmus spec.,0,,0,,,430102.5,5893453.34,70,7,,100,3,Ul
119,8,8,Fagus sylvatica,0,,0,,,430103.69,5893459.88,370,37,,100,1,Bu
120,9,9,Fagus sylvatica,0,,0,,,430102.85,5893461.44,200,20,,,2,Bu
121,10,10,Fagus sylvatica,0,,0,,,430106.76,5893457.79,200,20,,100,2,Bu
122,11,11,Fagus sylvatica,0,,0,,,430109.09,5893456.11,150,15,,100,3,Bu
123,12,12,Alnus glutinosa,0,,0,,,430115.41,5893477.6,450,45,,100,1,Er
