,ID_plot,Im_Zaun,Plotnummer,Flaeche
7704,37Wei,T,37,Weisweil
7696,38Wei,T,38,Weisweil
7669,39Wei,T,39,Weisweil
7646,40Wei,T,40,Weisweil
5644,41Wei,T,41,Weisweil
6139,42Wei,T,42,Weisweil
7264,43Wei,T,43,Weisweil
7864,44Wei,T,44,Weisweil
7363,45Wei,T,45,Weisweil
7279,46Wei,T,46,Weisweil
6155,47Wei,T,47,Weisweil
5675,48Wei,T,48,Weisweil
6680,49Wei,T,49,Weisweil
7720,50Wei,T,50,Weisweil
7762,51Wei,T,51,Weisweil
7763,52Wei,T,52,Weisweil
7865,53Wei,T,53,Weisweil
6694,54Wei,T,54,Weisweil
6691,55Wei,T,55,Weisweil
6685,56Wei,T,56,Weisweil
5677,57Wei,T,57,Weisweil
6166,58Wei,T,58,Weisweil
7280,59Wei,T,59,Weisweil
7866,60Wei,T,60,Weisweil
5683,61Wei,T,61,Weisweil
7831,62Wei,T,62,Weisweil
7810,63Wei,T,63,Weisweil
6701,64Wei,T,64,Weisweil
6722,65Wei,T,65,Weisweil
7836,66Wei,T,66,Weisweil
7833,67Wei,T,67,Weisweil
7851,68Wei,T,68,Weisweil
7840,69Wei,T,69,Weisweil
6739,70Wei,T,70,Weisweil
6756,71Wei,T,71,Weisweil
6758,72Wei,T,72,Weisweil
