,ID_plot,Im_Zaun,Plotnummer,Flaeche
15924,80Gre,F,80,Greifswald
15925,81Gre,F,81,Greifswald
15931,82Gre,F,82,Greifswald
15932,83Gre,F,83,Greifswald
15943,84Gre,F,84,Greifswald
15951,85Gre,F,85,Greifswald
15952,86Gre,F,86,Greifswald
15963,87Gre,F,87,Greifswald
15964,88Gre,F,88,Greifswald
15969,89Gre,F,89,Greifswald
15970,90Gre,F,90,Greifswald
15975,91Gre,F,91,Greifswald
15976,92Gre,F,92,Greifswald
15977,93Gre,F,93,Greifswald
15978,94Gre,F,94,Greifswald
15979,95Gre,F,95,Greifswald
16145,96Gre,F,96,Greifswald
16138,97Gre,F,97,Greifswald
16137,98Gre,F,98,Greifswald
16136,99Gre,F,99,Greifswald
16135,100Gre,F,100,Greifswald
2803,1Huy,F,1,Huy
2804,2Huy,T,2,Huy
2824,3Huy,T,3,Huy
2828,4Huy,T,4,Huy
2889,5Huy,T,5,Huy
2912,6Huy,T,6,Huy
2949,7Huy,T,7,Huy
4474,8Huy,F,8,Huy
4467,9Huy,F,9,Huy
3007,10Huy,T,10,Huy
3086,11Huy,T,11,Huy
3129,12Huy,T,12,Huy
3202,13Huy,T,13,Huy
4918,14Huy,T,14,Huy
3329,15Huy,T,15,Huy
3816,16Huy,F,16,Huy
4336,17Huy,F,17,Huy
3886,18Huy,F,18,Huy
4889,19Huy,F,19,Huy
3416,20Huy,T,20,Huy
5028,21Huy,T,21,Huy
3436,22Huy,T,22,Huy
5106,23Huy,T,23,Huy
5114,24Huy,T,24,Huy
3493,25Huy,T,25,Huy
4462,26Huy,F,26,Huy
4457,27Huy,F,27,Huy
4460,28Huy,F,28,Huy
3569,29Huy,T,29,Huy
4732,30Huy,T,30,Huy
5204,31Huy,T,31,Huy
4686,32Huy,T,32,Huy
5223,33Huy,T,33,Huy
4679,34Huy,T,34,Huy
3892,35Huy,F,35,Huy
4871,36Huy,F,36,Huy
3894,37Huy,F,37,Huy
4787,38Huy,F,38,Huy
3641,39Huy,T,39,Huy
4541,40Huy,T,40,Huy
3671,41Huy,T,41,Huy
4604,42Huy,T,42,Huy
3606,43Huy,T,43,Huy
4660,44Huy,T,44,Huy
4449,45Huy,F,45,Huy
4450,46Huy,F,46,Huy
4452,47Huy,F,47,Huy
4396,48Huy,F,48,Huy
4338,49Huy,T,49,Huy
3779,50Huy,T,50,Huy
3741,51Huy,T,51,Huy
4595,52Huy,T,52,Huy
3722,53Huy,T,53,Huy
4538,54Huy,T,54,Huy
3897,55Huy,F,55,Huy
4828,56Huy,F,56,Huy
4831,57Huy,F,57,Huy
3962,58Huy,F,58,Huy
3795,59Huy,T,59,Huy
3783,60Huy,T,60,Huy
4337,61Huy,T,61,Huy
4339,62Huy,F,62,Huy
4356,63Huy,F,63,Huy
4381,64Huy,F,64,Huy
4202,65Huy,F,65,Huy
4195,66Huy,F,66,Huy
4291,67Huy,F,67,Huy
4095,68Huy,F,68,Huy
4270,69Huy,F,69,Huy
4335,70Huy,F,70,Huy
4334,71Huy,F,71,Huy
4261,72Huy,F,72,Huy
4208,73Huy,F,73,Huy
4333,74Huy,F,74,Huy
10091,1Leu,T,1,Leutzsch
10068,2Leu,T,2,Leutzsch
10061,3Leu,T,3,Leutzsch
9972,4Leu,T,4,Leutzsch
10889,5Leu,T,5,Leutzsch
10918,6Leu,T,6,Leutzsch
10924,7Leu,T,7,Leutzsch
10953,8Leu,T,8,Leutzsch
10971,9Leu,T,9,Leutzsch
10980,10Leu,T,10,Leutzsch
10991,11Leu,T,11,Leutzsch
10997,12Leu,T,12,Leutzsch
11021,13Leu,T,13,Leutzsch
11055,14Leu,T,14,Leutzsch
11064,15Leu,T,15,Leutzsch
11065,16Leu,T,16,Leutzsch
11120,17Leu,T,17,Leutzsch
10199,18Leu,T,18,Leutzsch
10132,19Leu,T,19,Leutzsch
10130,20Leu,T,20,Leutzsch
10237,21Leu,T,21,Leutzsch
10263,22Leu,T,22,Leutzsch
10310,23Leu,T,23,Leutzsch
10345,24Leu,T,24,Leutzsch
10361,25Leu,T,25,Leutzsch
10362,26Leu,T,26,Leutzsch
11184,27Leu,T,27,Leutzsch
11145,28Leu,T,28,Leutzsch
11142,29Leu,T,29,Leutzsch
11192,32Leu,T,32,Leutzsch
11231,33Leu,T,33,Leutzsch
11269,34Leu,T,34,Leutzsch
11308,35Leu,T,35,Leutzsch
10418,36Leu,T,36,Leutzsch
10411,37Leu,T,37,Leutzsch
10399,38Leu,T,38,Leutzsch
10388,39Leu,T,39,Leutzsch
10381,40Leu,T,40,Leutzsch
10471,42Leu,T,42,Leutzsch
10462,43Leu,T,43,Leutzsch
10461,44Leu,T,44,Leutzsch
10424,45Leu,T,45,Leutzsch
10419,46Leu,T,46,Leutzsch
11686,47Leu,T,47,Leutzsch
11350,48Leu,T,48,Leutzsch
11343,49Leu,T,49,Leutzsch
11328,50Leu,T,50,Leutzsch
11327,51Leu,T,51,Leutzsch
11456,53Leu,T,53,Leutzsch
11440,54Leu,T,54,Leutzsch
11434,55Leu,T,55,Leutzsch
11398,56Leu,T,56,Leutzsch
11380,57Leu,T,57,Leutzsch
11372,58Leu,T,58,Leutzsch
10477,59Leu,T,59,Leutzsch
10496,60Leu,T,60,Leutzsch
10502,61Leu,T,61,Leutzsch
10532,64Leu,T,64,Leutzsch
10533,65Leu,T,65,Leutzsch
10551,66Leu,T,66,Leutzsch
10576,67Leu,T,67,Leutzsch
10586,68Leu,T,68,Leutzsch
10610,69Leu,T,69,Leutzsch
11492,70Leu,T,70,Leutzsch
11473,71Leu,T,71,Leutzsch
11463,72Leu,T,72,Leutzsch
11708,74Leu,T,74,Leutzsch
11529,75Leu,T,75,Leutzsch
11551,76Leu,T,76,Leutzsch
11560,77Leu,T,77,Leutzsch
10639,78Leu,T,78,Leutzsch
10641,79Leu,T,79,Leutzsch
10655,80Leu,T,80,Leutzsch
10679,81Leu,T,81,Leutzsch
10696,82Leu,T,82,Leutzsch
10721,83Leu,T,83,Leutzsch
10796,84Leu,T,84,Leutzsch
10752,86Leu,T,86,Leutzsch
10797,87Leu,T,87,Leutzsch
10837,88Leu,T,88,Leutzsch
10876,89Leu,T,89,Leutzsch
11621,90Leu,T,90,Leutzsch
11597,91Leu,T,91,Leutzsch
11596,92Leu,T,92,Leutzsch
11595,93Leu,T,93,Leutzsch
11594,94Leu,T,94,Leutzsch
11687,95Leu,T,95,Leutzsch
2079,1Mol,F,1,Mollenfelde
2083,2Mol,F,2,Mollenfelde
2084,3Mol,F,3,Mollenfelde
2085,4Mol,F,4,Mollenfelde
2086,5Mol,F,5,Mollenfelde
2087,6Mol,F,6,Mollenfelde
2088,7Mol,F,7,Mollenfelde
2093,8Mol,F,8,Mollenfelde
2102,9Mol,F,9,Mollenfelde
2104,10Mol,F,10,Mollenfelde
2126,11Mol,F,11,Mollenfelde
2127,12Mol,F,12,Mollenfelde
2128,13Mol,F,13,Mollenfelde
2130,14Mol,F,14,Mollenfelde
2131,15Mol,F,15,Mollenfelde
2134,16Mol,F,16,Mollenfelde
2137,17Mol,F,17,Mollenfelde
2138,18Mol,F,18,Mollenfelde
2139,19Mol,F,19,Mollenfelde
2160,20Mol,F,20,Mollenfelde
2161,21Mol,F,21,Mollenfelde
2162,22Mol,F,22,Mollenfelde
2169,23Mol,F,23,Mollenfelde
2180,24Mol,F,24,Mollenfelde
2724,25Mol,F,25,Mollenfelde
2723,26Mol,F,26,Mollenfelde
2189,27Mol,F,27,Mollenfelde
2193,28Mol,F,28,Mollenfelde
2209,29Mol,F,29,Mollenfelde
2210,30Mol,F,30,Mollenfelde
2214,31Mol,F,31,Mollenfelde
2216,32Mol,F,32,Mollenfelde
2217,33Mol,F,33,Mollenfelde
2265,34Mol,T,34,Mollenfelde
2259,35Mol,T,35,Mollenfelde
2218,36Mol,F,36,Mollenfelde
2240,37Mol,F,37,Mollenfelde
2241,38Mol,F,38,Mollenfelde
2244,39Mol,F,39,Mollenfelde
2245,40Mol,F,40,Mollenfelde
2248,41Mol,F,41,Mollenfelde
2249,42Mol,F,42,Mollenfelde
2250,43Mol,F,43,Mollenfelde
2256,44Mol,F,44,Mollenfelde
2258,45Mol,T,45,Mollenfelde
2288,46Mol,T,46,Mollenfelde
2271,47Mol,T,47,Mollenfelde
2269,48Mol,T,48,Mollenfelde
2266,49Mol,T,49,Mollenfelde
2289,50Mol,T,50,Mollenfelde
2290,51Mol,T,51,Mollenfelde
2295,52Mol,T,52,Mollenfelde
2298,53Mol,T,53,Mollenfelde
2304,54Mol,T,54,Mollenfelde
2307,55Mol,T,55,Mollenfelde
2308,56Mol,T,56,Mollenfelde
2309,57Mol,T,57,Mollenfelde
2332,58Mol,T,58,Mollenfelde
2333,59Mol,T,59,Mollenfelde
2334,60Mol,T,60,Mollenfelde
2518,61Mol,T,61,Mollenfelde
2627,62Mol,T,62,Mollenfelde
2628,63Mol,T,63,Mollenfelde
2641,64Mol,T,64,Mollenfelde
2523,65Mol,T,65,Mollenfelde
2646,66Mol,T,66,Mollenfelde
2722,67Mol,T,67,Mollenfelde
2721,68Mol,T,68,Mollenfelde
2647,69Mol,T,69,Mollenfelde
2538,70Mol,T,70,Mollenfelde
2678,71Mol,T,71,Mollenfelde
2557,72Mol,T,72,Mollenfelde
2685,73Mol,T,73,Mollenfelde
2601,74Mol,T,74,Mollenfelde
2695,75Mol,T,75,Mollenfelde
2625,76Mol,T,76,Mollenfelde
2626,77Mol,T,77,Mollenfelde
2474,78Mol,T,78,Mollenfelde
2458,79Mol,T,79,Mollenfelde
2439,80Mol,T,80,Mollenfelde
2432,81Mol,T,81,Mollenfelde
2421,82Mol,T,82,Mollenfelde
2409,83Mol,T,83,Mollenfelde
2387,84Mol,T,84,Mollenfelde
2386,85Mol,T,85,Mollenfelde
2385,86Mol,T,86,Mollenfelde
2384,87Mol,T,87,Mollenfelde
2383,88Mol,T,88,Mollenfelde
2379,89Mol,T,89,Mollenfelde
2367,90Mol,T,90,Mollenfelde
2343,91Mol,T,91,Mollenfelde
2378,92Mol,T,92,Mollenfelde
2377,93Mol,T,93,Mollenfelde
2376,94Mol,T,94,Mollenfelde
7885,1Pla,T,1,Plattenwald
7867,2Pla,T,2,Plattenwald
8532,3Pla,T,3,Plattenwald
8074,4Pla,T,4,Plattenwald
9932,5Pla,T,5,Plattenwald
9952,6Pla,T,6,Plattenwald
9661,7Pla,T,7,Plattenwald
8139,8Pla,T,8,Plattenwald
8635,9Pla,T,9,Plattenwald
7913,10Pla,T,10,Plattenwald
8600,11Pla,T,11,Plattenwald
7992,12Pla,T,12,Plattenwald
7959,13Pla,T,13,Plattenwald
8636,14Pla,T,14,Plattenwald
8206,15Pla,T,15,Plattenwald
9695,16Pla,T,16,Plattenwald
9715,17Pla,T,17,Plattenwald
9951,18Pla,T,18,Plattenwald
9914,19Pla,T,19,Plattenwald
9912,20Pla,T,20,Plattenwald
9889,21Pla,T,21,Plattenwald
9868,22Pla,T,22,Plattenwald
9866,23Pla,T,23,Plattenwald
9843,24Pla,T,24,Plattenwald
9780,25Pla,T,25,Plattenwald
9724,26Pla,T,26,Plattenwald
8227,27Pla,T,27,Plattenwald
8675,28Pla,T,28,Plattenwald
8693,29Pla,T,29,Plattenwald
8045,30Pla,T,30,Plattenwald
8742,31Pla,T,31,Plattenwald
8743,32Pla,T,32,Plattenwald
8048,33Pla,T,33,Plattenwald
8263,34Pla,T,34,Plattenwald
8504,35Pla,T,35,Plattenwald
8777,36Pla,T,36,Plattenwald
8785,37Pla,T,37,Plattenwald
8809,38Pla,T,38,Plattenwald
8812,39Pla,T,39,Plattenwald
8817,40Pla,T,40,Plattenwald
8820,41Pla,T,41,Plattenwald
8891,42Pla,T,42,Plattenwald
8889,43Pla,T,43,Plattenwald
8884,44Pla,T,44,Plattenwald
8881,45Pla,T,45,Plattenwald
8267,46Pla,T,46,Plattenwald
9614,47Pla,T,47,Plattenwald
9550,48Pla,T,48,Plattenwald
9522,49Pla,T,49,Plattenwald
9432,50Pla,T,50,Plattenwald
9440,51Pla,T,51,Plattenwald
9568,52Pla,T,52,Plattenwald
8278,53Pla,T,53,Plattenwald
8503,54Pla,T,54,Plattenwald
9015,55Pla,T,55,Plattenwald
8908,56Pla,T,56,Plattenwald
8834,57Pla,T,57,Plattenwald
8827,58Pla,T,58,Plattenwald
8818,59Pla,T,59,Plattenwald
9236,60Pla,T,60,Plattenwald
9233,61Pla,T,61,Plattenwald
8957,62Pla,T,62,Plattenwald
8895,63Pla,T,63,Plattenwald
9017,64Pla,T,64,Plattenwald
9033,65Pla,T,65,Plattenwald
8301,66Pla,T,66,Plattenwald
9237,67Pla,T,67,Plattenwald
9312,68Pla,T,68,Plattenwald
9346,69Pla,T,69,Plattenwald
9971,70Pla,T,70,Plattenwald
8305,71Pla,T,71,Plattenwald
8482,72Pla,T,72,Plattenwald
9083,73Pla,T,73,Plattenwald
9101,74Pla,T,74,Plattenwald
9210,75Pla,T,75,Plattenwald
9228,76Pla,T,76,Plattenwald
9232,77Pla,T,77,Plattenwald
1842,1Sch,T,1,Schotten
1843,2Sch,T,2,Schotten
1844,3Sch,T,3,Schotten
1845,4Sch,T,4,Schotten
1855,5Sch,T,5,Schotten
1861,6Sch,T,6,Schotten
1885,7Sch,T,7,Schotten
1956,8Sch,T,8,Schotten
2015,9Sch,T,9,Schotten
2018,10Sch,T,10,Schotten
2036,11Sch,T,11,Schotten
2044,12Sch,T,12,Schotten
2047,13Sch,T,13,Schotten
2056,14Sch,T,14,Schotten
2059,15Sch,T,15,Schotten
2060,16Sch,T,16,Schotten
1489,17Sch,T,17,Schotten
1504,18Sch,T,18,Schotten
1513,19Sch,T,19,Schotten
1514,20Sch,T,20,Schotten
1515,21Sch,T,21,Schotten
1536,22Sch,T,22,Schotten
1539,23Sch,T,23,Schotten
1542,24Sch,T,24,Schotten
1570,25Sch,T,25,Schotten
1625,26Sch,T,26,Schotten
1724,27Sch,T,27,Schotten
1732,28Sch,T,28,Schotten
1766,29Sch,T,29,Schotten
1782,30Sch,T,30,Schotten
1783,31Sch,T,31,Schotten
1807,32Sch,T,32,Schotten
1815,33Sch,T,33,Schotten
1822,34Sch,T,34,Schotten
1163,35Sch,T,35,Schotten
