"","ID_plot","Plotnummer","Flaeche","Rand","Zaun","Rueckegasse","keine.baeume","Flaeche.bedeckt","x","y","n_trees","n_species","n_ash","height_mean","height_median","height_max","height_min","n_ets_new","n_ets_old","n_ets_total"
"791","100Sch",100,"Schotten",TRUE,FALSE,FALSE,TRUE,FALSE,508992.594448641,5592035.65334357,0,0,0,NA,NA,NA,NA,0,0,0
"792","55Sch",55,"Schotten",FALSE,FALSE,FALSE,FALSE,FALSE,509043.554131152,5591985.87545503,60,5,11,411.2,248,2440,62,1,0,1
"852","56Sch",56,"Schotten",FALSE,FALSE,FALSE,FALSE,FALSE,509045.320322073,5591995.64388031,10,3,3,208.7,169.5,562,89,1,1,1
"862","57Sch",57,"Schotten",FALSE,FALSE,FALSE,FALSE,FALSE,509047.086512995,5592005.4123056,1,1,1,245,245,245,245,1,0,1
"863","58Sch",58,"Schotten",FALSE,TRUE,FALSE,TRUE,FALSE,509048.852703916,5592015.18073088,0,0,0,NA,NA,NA,NA,0,0,0
"864","60Sch",60,"Schotten",FALSE,FALSE,FALSE,FALSE,FALSE,509037.415771962,5592007.19633683,22,5,12,276.2,188,1407,95,3,0,3
"886","61Sch",61,"Schotten",FALSE,FALSE,FALSE,FALSE,FALSE,509035.649581041,5591997.42791155,41,4,2,313,221,1664,99,0,0,0
"927","62Sch",62,"Schotten",FALSE,FALSE,FALSE,FALSE,FALSE,509033.88339012,5591987.65948626,18,6,10,343.1,333,743,101,0,0,0
"945","64Sch",64,"Schotten",FALSE,FALSE,FALSE,FALSE,FALSE,509030.351008277,5591968.12263569,35,4,8,376.1,327,1044,176,2,1,3
"980","65Sch",65,"Schotten",FALSE,FALSE,FALSE,FALSE,FALSE,509028.584817356,5591958.3542104,59,5,20,375.3,190,2098,80,0,0,0
"1039","68Sch",68,"Schotten",FALSE,FALSE,FALSE,FALSE,FALSE,509018.914076323,5591960.13824164,44,3,0,199.2,184,523,44,0,0,0
"1083","71Sch",71,"Schotten",FALSE,FALSE,FALSE,FALSE,FALSE,509024.212649087,5591989.44351749,38,5,5,374.1,235,1570,85,2,0,2
"1121","72Sch",72,"Schotten",FALSE,FALSE,FALSE,FALSE,FALSE,509025.978840008,5591999.21194278,34,4,2,274.9,208,1200,56,0,0,0
"1155","73Sch",73,"Schotten",FALSE,FALSE,TRUE,FALSE,FALSE,509027.745030929,5592008.98036806,8,3,1,86.5,53,236,36,0,0,0
"1163","35Sch",35,"Schotten",FALSE,FALSE,FALSE,FALSE,FALSE,509072.56635425,5591980.52336133,34,4,2,294,218.5,1061,90,0,0,0
"1197","36Sch",36,"Schotten",FALSE,FALSE,FALSE,FALSE,FALSE,509070.800163329,5591970.75493604,59,5,1,405.9,310,2096,73,0,0,0
"1256","37Sch",37,"Schotten",FALSE,FALSE,FALSE,FALSE,FALSE,509069.033972408,5591960.98651075,25,3,0,1263.9,1053,4210,262,0,0,0
"1281","38Sch",38,"Schotten",FALSE,FALSE,FALSE,FALSE,FALSE,509067.267781486,5591951.21808547,20,4,1,286.1,195,1440,76,0,0,0
"1301","39Sch",39,"Schotten",TRUE,FALSE,FALSE,TRUE,FALSE,509065.501590565,5591941.44966018,0,0,0,NA,NA,NA,NA,0,0,0
"1302","40Sch",40,"Schotten",TRUE,FALSE,FALSE,TRUE,FALSE,509055.830849533,5591943.23369142,0,0,0,NA,NA,NA,NA,0,0,0
"1303","41Sch",41,"Schotten",FALSE,FALSE,FALSE,FALSE,FALSE,509064.661804139,5591992.07581784,14,4,1,294.1,144.5,1136,65,0,0,0
"1317","42Sch",42,"Schotten",FALSE,FALSE,FALSE,FALSE,FALSE,509066.42799506,5592001.84424313,5,2,0,539.6,406,943,100,0,0,0
"1322","43Sch",43,"Schotten",TRUE,FALSE,FALSE,TRUE,FALSE,509058.523444948,5592013.39669965,0,0,0,NA,NA,NA,NA,0,0,0
"1323","44Sch",44,"Schotten",FALSE,FALSE,FALSE,FALSE,FALSE,509056.757254027,5592003.62827436,2,2,1,590,590,880,300,0,0,0
"1325","45Sch",45,"Schotten",FALSE,FALSE,FALSE,FALSE,FALSE,509054.991063106,5591993.85984908,64,5,3,170.3,130,1030,38,0,0,0
"1389","46Sch",46,"Schotten",FALSE,FALSE,FALSE,FALSE,FALSE,509053.224872185,5591984.09142379,66,5,13,156.1,145,730,43,0,1,1
"1455","47Sch",47,"Schotten",FALSE,FALSE,FALSE,FALSE,FALSE,509051.458681263,5591974.32299851,30,3,19,174.4,149,670,71,0,1,1
"1485","48Sch",48,"Schotten",FALSE,FALSE,FALSE,FALSE,TRUE,509049.692490342,5591964.55457322,3,1,0,4056.7,4180,5500,2490,0,0,0
"1488","49Sch",49,"Schotten",FALSE,FALSE,FALSE,FALSE,FALSE,509047.926299421,5591954.78614794,1,1,1,215,215,215,215,0,0,0
"1489","17Sch",17,"Schotten",FALSE,FALSE,FALSE,FALSE,FALSE,509093.674027236,5591986.72372414,15,2,0,133.7,124,191,88,0,0,0
"1504","18Sch",18,"Schotten",FALSE,FALSE,FALSE,FALSE,FALSE,509091.907836315,5591976.95529886,9,4,0,1266.1,620,3130,368,0,0,0
"1513","19Sch",19,"Schotten",FALSE,FALSE,FALSE,FALSE,FALSE,509090.141645394,5591967.18687357,1,1,1,209,209,209,209,0,0,0
"1514","20Sch",20,"Schotten",FALSE,FALSE,FALSE,TRUE,FALSE,509088.375454473,5591957.41844829,0,0,0,NA,NA,NA,NA,0,0,0
"1515","21Sch",21,"Schotten",FALSE,FALSE,TRUE,FALSE,FALSE,509086.609263552,5591947.650023,21,6,2,651.2,605,1620,151,0,0,0
"1536","22Sch",22,"Schotten",FALSE,FALSE,FALSE,FALSE,FALSE,509084.84307263,5591937.88159772,3,1,0,1184,1340,1718,494,0,0,0
"1539","23Sch",23,"Schotten",FALSE,FALSE,FALSE,FALSE,FALSE,509075.172331598,5591939.66562895,3,2,0,67,54,101,46,0,0,0
"1542","24Sch",24,"Schotten",FALSE,FALSE,FALSE,FALSE,FALSE,509076.938522519,5591949.43405424,28,6,5,246.1,206.5,741,82,0,0,0
"1570","25Sch",25,"Schotten",FALSE,FALSE,FALSE,FALSE,FALSE,509078.70471344,5591959.20247952,55,5,10,368.4,270,1364,89,0,2,2
"1625","26Sch",26,"Schotten",FALSE,FALSE,TRUE,FALSE,FALSE,509080.470904361,5591968.97090481,99,5,14,206.8,137,1450,53,0,1,1
"1724","27Sch",27,"Schotten",FALSE,FALSE,TRUE,FALSE,FALSE,509082.237095283,5591978.73933009,8,3,0,289.5,155.5,704,96,0,0,0
"1732","28Sch",28,"Schotten",FALSE,FALSE,FALSE,FALSE,FALSE,509084.003286204,5591988.50775538,34,6,3,502.9,337.5,2280,94,0,0,0
"1766","29Sch",29,"Schotten",FALSE,FALSE,FALSE,FALSE,FALSE,509085.769477125,5591998.27618066,16,3,1,352.3,242,1728,95,0,0,0
"1782","30Sch",30,"Schotten",FALSE,FALSE,FALSE,TRUE,FALSE,509087.535668046,5592008.04460595,0,0,0,NA,NA,NA,NA,0,0,0
"1783","31Sch",31,"Schotten",FALSE,FALSE,FALSE,FALSE,FALSE,509089.301858967,5592017.81303123,24,3,4,503.8,325.5,1801,66,0,0,0
"1807","32Sch",32,"Schotten",FALSE,FALSE,TRUE,FALSE,FALSE,509091.068049889,5592027.58145652,8,4,2,356.5,216.5,1104,82,0,0,0
"1815","33Sch",33,"Schotten",FALSE,FALSE,FALSE,FALSE,FALSE,509092.83424081,5592037.3498818,7,1,0,1645.9,649,5330,177,0,0,0
"1822","34Sch",34,"Schotten",FALSE,FALSE,FALSE,FALSE,FALSE,509074.332545171,5591990.29178661,20,7,2,382.9,220.5,1910,95,0,0,0
