"","x","y","ID_plot"
"1",119.653237508069,88.6545424788603,"1Huy"
"2",110.604966983408,84.6096392089921,"2Huy"
"3",101.556696458748,80.5647359391239,"3Huy"
"4",92.508425934088,76.5198326692557,"4Huy"
"5",83.4601554094278,72.4749293993875,"5Huy"
"6",74.4118848847676,68.4300261295193,"6Huy"
"7",65.3636143601074,64.3851228596511,"7Huy"
"8",56.3153438354472,60.3402195897829,"8Huy"
"9",52.0575509197964,68.9360765882101,"9Huy"
"10",61.1058214444566,72.9809798580783,"10Huy"
"11",70.1540919691168,77.0258831279465,"11Huy"
"12",79.202362493777,81.0707863978147,"12Huy"
"13",88.2506330184372,85.1156896676829,"13Huy"
"14",97.2989035430974,89.1605929375511,"14Huy"
"15",106.347174067758,93.2054962074193,"15Huy"
"16",115.395444592418,97.2503994772875,"16Huy"
"17",124.443715117078,101.295302747156,"17Huy"
"18",120.185922201427,109.891159745583,"18Huy"
"19",111.137651676767,105.846256475715,"19Huy"
"20",102.089381152107,101.801353205846,"20Huy"
"21",93.0411106274467,97.7564499359783,"21Huy"
"22",83.9928401027865,93.7115466661101,"22Huy"
"23",74.9445695781263,89.6666433962419,"23Huy"
"24",65.8962990534661,85.6217401263737,"24Huy"
"25",56.8480285288059,81.5768368565055,"25Huy"
"26",47.7997580041457,77.5319335866373,"26Huy"
"27",34.4936945638348,82.0828873151963,"27Huy"
"28",43.541965088495,86.1277905850645,"28Huy"
"29",52.5902356131552,90.1726938549327,"29Huy"
"30",61.6385061378154,94.2175971248009,"30Huy"
"31",70.6867766624756,98.2625003946691,"31Huy"
"32",79.7350471871358,102.307403664537,"32Huy"
"33",88.783317711796,106.352306934405,"33Huy"
"34",97.8315882364562,110.397210204274,"34Huy"
"35",106.879858761116,114.442113474142,"35Huy"
"36",115.928129285777,118.48701674401,"36Huy"
"37",111.670336370126,127.082873742437,"37Huy"
"38",102.622065845466,123.037970472569,"38Huy"
"39",93.5737953208054,118.993067202701,"39Huy"
"40",84.5255247961452,114.948163932833,"40Huy"
"41",75.4772542714851,110.903260662964,"41Huy"
"42",66.4289837468249,106.858357393096,"42Huy"
"43",57.3807132221647,102.813454123228,"43Huy"
"44",48.3324426975045,98.7685508533599,"44Huy"
"45",39.2841721728443,94.7236475834917,"45Huy"
"46",30.2359016481841,90.6787443136235,"46Huy"
"47",25.9781087325334,99.2746013120507,"47Huy"
"48",35.0263792571935,103.319504581919,"48Huy"
"49",44.0746497818537,107.364407851787,"49Huy"
"50",53.1229203065139,111.409311121655,"50Huy"
"51",62.1711908311741,115.454214391523,"51Huy"
"52",71.2194613558343,119.499117661392,"52Huy"
"53",80.2677318804945,123.54402093126,"53Huy"
"54",89.3160024051547,127.588924201128,"54Huy"
"55",98.3642729298149,131.633827470996,"55Huy"
"56",107.412543454475,135.678730740864,"56Huy"
"57",103.154750538824,144.274587739292,"57Huy"
"58",94.1064800141642,140.229684469423,"58Huy"
"59",85.058209489504,136.184781199555,"59Huy"
"60",76.0099389648438,132.139877929687,"60Huy"
"61",66.9616684401836,128.094974659819,"61Huy"
"62",57.9133979155234,124.050071389951,"62Huy"
"63",48.8651273908632,120.005168120082,"63Huy"
"64",39.816856866203,115.960264850214,"64Huy"
"65",62.7038755245329,136.690831658246,"65Huy"
"66",71.7521460491931,140.735734928114,"66Huy"
"67",80.8004165738533,144.780638197982,"67Huy"
"68",89.8486870985135,148.825541467851,"68Huy"
"69",98.8969576231736,152.870444737719,"69Huy"
"70",107.945228147834,156.915348007587,"70Huy"
"71",103.687435232183,165.511205006014,"71Huy"
"72",94.6391647075229,161.466301736146,"72Huy"
"73",85.5908941828627,157.421398466278,"73Huy"
"74",76.5426236582025,153.37649519641,"74Huy"
"110",4.69121008619493,85.1459531507008,"1Mol"
"210",8.18699236267761,75.764039791476,"2Mol"
"310",11.6827746391603,66.3821264322512,"3Mol"
"410",15.178556915643,57.0002130730263,"4Mol"
"510",18.6743391921256,47.6182997138015,"5Mol"
"610",31.6458539614254,41.6975569253516,"6Mol"
"710",28.1500716849427,51.0794702845764,"7Mol"
"810",24.6542894084601,60.4613836438012,"8Mol"
"910",21.1585071319774,69.8432970030261,"9Mol"
"108",17.6627248554947,79.2252103622509,"10Mol"
"111",14.166942579012,88.6071237214758,"11Mol"
"121",23.6426750718291,92.0682942922507,"12Mol"
"131",27.1384573483118,82.6863809330259,"13Mol"
"141",30.6342396247945,73.304467573801,"14Mol"
"151",34.1300219012771,63.9225542145762,"15Mol"
"161",37.6258041777598,54.5406408553513,"16Mol"
"171",41.1215864542425,45.1587274961265,"17Mol"
"181",44.6173687307252,35.7768141369017,"18Mol"
"191",54.0931012235423,39.2379847076766,"19Mol"
"201",50.5973189470596,48.6198980669014,"20Mol"
"211",47.1015366705769,58.0018114261263,"21Mol"
"221",43.6057543940942,67.3837247853511,"22Mol"
"231",40.1099721176116,76.765638144576,"23Mol"
"241",36.6141898411289,86.1475515038008,"24Mol"
"251",33.1184075646462,95.5294648630256,"25Mol"
"261",42.5941400574633,98.9906354338006,"26Mol"
"271",46.089922333946,89.6087220745757,"27Mol"
"281",49.5857046104286,80.2268087153509,"28Mol"
"291",53.0814868869113,70.844895356126,"29Mol"
"301",56.577269163394,61.4629819969012,"30Mol"
"311",60.0730514398767,52.0810686376764,"31Mol"
"321",63.5688337163594,42.6991552784515,"32Mol"
"331",67.0646159928421,33.3172419192267,"33Mol"
"341",76.5403484856592,36.7784124900016,"34Mol"
"351",73.0445662091765,46.1603258492264,"35Mol"
"361",69.5487839326938,55.5422392084513,"36Mol"
