"ID_plot","Plotnummer","Flaeche","Rand","Zaun","Rueckegasse","keine.baeume","Flaeche.bedeckt","n_trees","n_species","n_ash","height_mean","height_median","height_max","height_min","n_ets_new","n_ets_old","n_ets_total"
"32Wei",32,"Weisweil",0,0,0,0,0,38,3,0,160.9,114.5,463,71,0,0,0
"41Wei",41,"Weisweil",0,0,0,0,0,31,3,0,156,113,481,44,0,0,0
"48Wei",48,"Weisweil",0,0,0,0,0,2,2,0,71.5,71.5,89,54,0,0,0
"57Wei",57,"Weisweil",0,0,0,0,0,6,2,0,1405.2,1031.5,3557,80,0,0,0
"61Wei",61,"Weisweil",0,0,0,0,0,5,2,1,104.4,102,150,56,0,0,0
"1Wei",1,"Weisweil",0,0,0,0,0,4,2,1,2196.2,1361,5936,127,0,0,0
"4Wei",4,"Weisweil",0,0,0,0,0,112,2,10,90,88.5,148,46,0,0,0
"5Wei",5,"Weisweil",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0
"6Wei",6,"Weisweil",0,0,0,0,1,80,3,0,142.1,134,439,55,0,0,0
"7Wei",7,"Weisweil",0,0,0,0,0,12,3,1,211.2,128,726,83,0,0,0
"15Wei",15,"Weisweil",0,0,0,0,0,96,3,0,82,65,875,26,0,0,0
"18Wei",18,"Weisweil",0,0,0,0,0,91,5,1,91.3,83,434,40,0,0,0
"28Wei",28,"Weisweil",0,0,0,0,0,21,2,0,350.8,164,1315,75,0,0,0
"31Wei",31,"Weisweil",0,0,0,0,0,34,2,0,203,157,784,84,0,0,0
"42Wei",42,"Weisweil",0,0,0,0,0,16,2,0,528.4,469,990,204,0,0,0
"47Wei",47,"Weisweil",0,0,0,0,0,11,2,0,214.5,134,1014,97,0,0,0
"58Wei",58,"Weisweil",0,0,0,0,0,17,1,0,344,343,771,134,0,0,0
"13Wei",13,"Weisweil",0,0,0,0,0,104,3,0,163.9,120,1772,54,0,0,0
"20Wei",20,"Weisweil",0,0,0,0,0,186,3,3,130.5,122,279,58,0,0,0
"22Wei",22,"Weisweil",0,0,0,0,0,70,2,1,108.4,105.5,197,60,1,0,1
"23Wei",23,"Weisweil",0,0,0,0,0,29,4,0,781.3,398,2758,76,0,0,0
"36Wei",36,"Weisweil",0,0,0,0,0,30,2,0,93.8,81.5,251,36,0,0,0
"35Wei",35,"Weisweil",0,0,0,0,0,11,2,1,99.4,105,130,48,0,0,0
"34Wei",34,"Weisweil",0,0,0,0,0,67,3,3,331.3,180,6105,77,1,0,1
"49Wei",49,"Weisweil",0,0,0,0,0,5,1,0,878.4,578,1717,308,0,0,0
"56Wei",56,"Weisweil",0,0,0,0,0,6,1,0,119.3,121.5,145,95,0,0,0
"55Wei",55,"Weisweil",0,0,0,0,0,3,2,0,179.7,198,252,89,0,0,0
"54Wei",54,"Weisweil",0,0,0,0,0,7,2,1,144.7,95,451,75,1,1,1
"64Wei",64,"Weisweil",0,0,0,0,0,21,2,0,146.8,109,775,45,0,0,0
"65Wei",65,"Weisweil",0,0,0,0,0,17,2,0,251.5,133,1005,69,0,0,0
"70Wei",70,"Weisweil",0,0,0,0,0,17,1,0,176.2,161,282,99,0,0,0
"71Wei",71,"Weisweil",0,0,0,0,0,2,1,0,80,80,89,71,0,0,0
"72Wei",72,"Weisweil",0,0,0,0,0,3,2,0,308.7,130,736,60,0,0,0
"2Wei",2,"Weisweil",0,0,1,0,0,96,7,1,116.8,86,618,20,0,0,0
"9Wei",9,"Weisweil",0,0,0,0,0,55,3,0,214.7,98,2110,52,0,0,0
"10Wei",10,"Weisweil",0,0,0,0,0,102,6,1,123.5,90,990,38,0,0,0
"11Wei",11,"Weisweil",0,0,0,0,0,94,5,4,197.9,99,3496,25,0,0,0
"12Wei",12,"Weisweil",0,0,0,0,0,91,3,0,222.5,124,2452,44,0,0,0
"30Wei",30,"Weisweil",0,0,0,0,0,65,1,0,71.2,64,268,29,0,0,0
"43Wei",43,"Weisweil",0,0,0,0,1,15,1,0,155.5,159,290,46,0,0,0
"46Wei",46,"Weisweil",0,0,0,0,1,1,1,0,127,127,127,127,0,0,0
"59Wei",59,"Weisweil",0,0,0,0,0,16,3,0,152,136,336,88,0,0,0
"26Wei",26,"Weisweil",0,0,0,0,0,67,4,0,122.1,99,557,55,0,0,0
"45Wei",45,"Weisweil",0,0,0,0,0,11,2,0,110.2,96,233,62,0,0,0
"21Wei",21,"Weisweil",0,0,0,0,0,62,5,4,193.9,93,1355,54,0,0,0
"25Wei",25,"Weisweil",0,0,0,0,0,124,4,16,155.8,133,1390,60,0,1,1
"24Wei",24,"Weisweil",0,0,0,0,0,82,4,1,162.1,98,2570,46,0,0,0
"33Wei",33,"Weisweil",0,0,0,0,1,4,1,0,388,384,470,314,0,0,0
"40Wei",40,"Weisweil",0,0,0,0,0,23,2,0,113.3,110,281,10,0,0,0
"39Wei",39,"Weisweil",0,0,0,0,0,27,1,0,128,128,218,79,0,0,0
"38Wei",38,"Weisweil",0,0,0,0,0,8,2,0,113.2,102.5,185,90,0,0,0
"37Wei",37,"Weisweil",0,0,0,0,0,16,1,0,62.9,66,82,36,0,0,0
"50Wei",50,"Weisweil",0,0,0,0,0,42,1,0,194.9,140.5,785,70,0,0,0
"51Wei",51,"Weisweil",0,0,0,0,0,1,1,0,119,119,119,119,0,0,0
"52Wei",52,"Weisweil",0,0,0,0,0,47,1,0,303.9,123,4435,73,0,0,0
"63Wei",63,"Weisweil",0,0,0,0,0,21,2,0,277.2,273,609,74,0,0,0
"62Wei",62,"Weisweil",0,0,0,0,0,2,1,0,151,151,224,78,0,0,0
"67Wei",67,"Weisweil",0,0,0,0,1,3,2,0,207.3,202,291,129,0,0,0
"66Wei",66,"Weisweil",0,0,0,0,1,4,1,0,1659.8,1672.5,2460,834,0,0,0
"69Wei",69,"Weisweil",0,0,0,0,0,11,1,0,500.3,465,980,106,0,0,0
"68Wei",68,"Weisweil",0,0,0,0,0,10,2,4,258.4,179.5,680,102,0,1,1
"16Wei",16,"Weisweil",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0
"17Wei",17,"Weisweil",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0
"29Wei",29,"Weisweil",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0
"44Wei",44,"Weisweil",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0
"53Wei",53,"Weisweil",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0
"60Wei",60,"Weisweil",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0
"2Pla",2,"Plattenwald",0,0,0,0,0,18,2,8,228.8,143.5,1057,74,0,0,0
"1Pla",1,"Plattenwald",0,0,0,0,0,28,4,5,353.6,281.5,1186,60,1,0,1
"10Pla",10,"Plattenwald",0,0,0,0,0,46,3,9,177,155,439,46,1,0,1
"13Pla",13,"Plattenwald",0,0,0,0,0,33,4,4,140.7,80,635,44,1,0,1
"12Pla",12,"Plattenwald",0,0,0,0,0,53,4,1,161.3,104,874,34,0,0,0
"30Pla",30,"Plattenwald",0,0,0,0,0,3,2,0,1545,158,4365,112,0,0,0
"33Pla",33,"Plattenwald",0,0,0,0,0,26,5,2,87.8,79,203,29,1,0,1
"4Pla",4,"Plattenwald",0,0,1,0,0,65,5,16,237.5,214,1544,40,2,2,2
"8Pla",8,"Plattenwald",0,0,0,0,0,67,7,19,154.5,132,714,25,0,0,0
"15Pla",15,"Plattenwald",0,0,0,0,0,21,4,0,330,299,1095,118,0,0,0
"27Pla",27,"Plattenwald",0,0,0,0,0,36,4,1,279.5,158,1327,80,0,0,0
"34Pla",34,"Plattenwald",0,0,0,0,0,4,3,1,124.2,127.5,185,57,0,0,0
"46Pla",46,"Plattenwald",0,0,0,0,0,11,5,1,322.8,204,981,50,1,1,1
"53Pla",53,"Plattenwald",0,0,0,0,0,23,4,2,205,128,1629,75,1,0,1
"66Pla",66,"Plattenwald",0,0,0,0,1,4,3,1,283,270.5,523,68,0,0,0
"71Pla",71,"Plattenwald",0,0,1,0,0,177,5,29,142.4,106,880,37,9,5,10
"72Pla",72,"Plattenwald",0,0,0,0,0,21,3,0,96.2,94,168,39,0,0,0
"54Pla",54,"Plattenwald",0,0,0,0,1,1,1,0,2383,2383,2383,2383,0,0,0
"35Pla",35,"Plattenwald",0,0,0,0,0,28,6,1,232.3,158,1080,83,0,0,0
"3Pla",3,"Plattenwald",0,0,0,0,0,68,5,16,124.8,94.5,523,50,2,0,2
"11Pla",11,"Plattenwald",0,0,0,0,0,35,2,3,171,118,821,74,3,2,3
"9Pla",9,"Plattenwald",0,0,1,0,0,1,1,0,146,146,146,146,0,0,0
"14Pla",14,"Plattenwald",0,0,0,0,0,39,4,14,111.9,95,279,43,3,0,3
"28Pla",28,"Plattenwald",0,0,0,0,1,18,4,6,147.6,99,743,58,0,0,0
"29Pla",29,"Plattenwald",0,0,0,0,0,49,6,2,229.4,149,900,54,0,0,0
"31Pla",31,"Plattenwald",0,0,1,1,0,0,0,0,NA,NA,-Inf,Inf,0,0,0
"32Pla",32,"Plattenwald",0,0,0,0,0,34,5,5,250.7,130,837,62,0,0,0
"36Pla",36,"Plattenwald",0,0,0,0,0,8,3,2,179,96.5,462,66,1,1,1
"37Pla",37,"Plattenwald",0,0,0,0,0,24,4,1,237.2,140,1302,76,1,1,1
"38Pla",38,"Plattenwald",0,0,0,0,0,3,2,0,363.3,380,450,260,0,0,0
"39Pla",39,"Plattenwald",0,0,0,0,0,5,3,1,166.8,152,304,51,0,0,0
"40Pla",40,"Plattenwald",0,0,1,0,0,1,1,0,928,928,928,928,0,0,0
"59Pla",59,"Plattenwald",0,0,0,0,1,2,1,0,1846.5,1846.5,2681,1012,0,0,0
"41Pla",41,"Plattenwald",0,0,0,0,1,7,3,1,645.6,435,2134,218,1,1,1
"58Pla",58,"Plattenwald",0,0,0,0,1,7,1,0,652.3,483,1654,321,0,0,0
"57Pla",57,"Plattenwald",0,0,0,0,1,47,6,7,152,103,1484,48,0,0,0
"45Pla",45,"Plattenwald",0,0,0,0,0,3,2,0,1757,87,5108,76,0,0,0
"44Pla",44,"Plattenwald",0,0,0,0,0,5,4,1,171.6,198,276,65,1,0,1
"43Pla",43,"Plattenwald",0,0,0,0,1,2,2,1,85,85,100,70,0,0,0
"42Pla",42,"Plattenwald",0,0,0,0,0,4,3,1,658.5,727,987,193,1,1,1
"63Pla",63,"Plattenwald",0,0,0,0,0,13,5,0,399,362,949,125,0,0,0
"56Pla",56,"Plattenwald",0,0,0,0,0,49,6,14,277.3,103,6135,50,1,2,2
"62Pla",62,"Plattenwald",0,0,0,0,0,58,5,9,170.2,92.5,3291,46,0,0,0
"55Pla",55,"Plattenwald",0,0,0,0,0,2,2,0,1549.5,1549.5,2875,224,0,0,0
"64Pla",64,"Plattenwald",0,0,0,0,0,16,3,0,905.2,136,3179,95,0,0,0
"65Pla",65,"Plattenwald",0,0,0,0,0,50,4,3,191.4,110,1120,46,0,0,0
"73Pla",73,"Plattenwald",0,0,0,0,0,18,4,4,215.6,148,875,59,0,0,0
"74Pla",74,"Plattenwald",0,0,0,0,0,109,6,39,117,100,845,39,2,1,3
"75Pla",75,"Plattenwald",0,0,0,0,0,18,5,5,499.8,184,1705,77,0,1,1
"76Pla",76,"Plattenwald",0,0,0,0,0,4,2,0,500.8,495,899,114,0,0,0
"77Pla",77,"Plattenwald",0,0,0,0,1,1,1,0,485,485,485,485,0,0,0
"61Pla",61,"Plattenwald",0,0,0,0,0,3,2,0,541,549,775,299,0,0,0
"60Pla",60,"Plattenwald",0,0,0,0,0,1,1,0,4500,4500,4500,4500,0,0,0
"67Pla",67,"Plattenwald",0,0,0,0,0,75,6,2,148.1,119,518,41,0,0,0
"68Pla",68,"Plattenwald",0,0,0,0,0,34,3,4,106.5,108,175,56,0,0,0
"69Pla",69,"Plattenwald",0,0,0,0,0,86,3,12,198.1,152.5,595,51,1,0,1
"50Pla",50,"Plattenwald",0,0,0,0,1,8,2,2,92.6,85.5,176,55,0,0,0
"51Pla",51,"Plattenwald",0,0,0,0,0,82,3,4,181.5,125.5,450,55,0,0,0
"49Pla",49,"Plattenwald",0,0,0,0,0,28,3,4,113.3,105,224,55,0,0,0
"48Pla",48,"Plattenwald",0,0,0,0,0,18,3,4,308.2,111.5,1611,69,2,1,2
"52Pla",52,"Plattenwald",0,0,0,0,0,46,4,5,357.9,176,1545,51,1,1,1
"47Pla",47,"Plattenwald",0,0,0,0,0,47,3,0,367,230,3888,74,0,0,0
"7Pla",7,"Plattenwald",0,0,0,0,0,34,6,11,255.1,107,2351,44,0,0,0
"16Pla",16,"Plattenwald",0,0,0,0,0,20,3,0,262.7,261.5,868,80,0,0,0
"17Pla",17,"Plattenwald",0,0,0,0,0,9,3,0,614.4,149,3525,121,0,0,0
"26Pla",26,"Plattenwald",0,0,0,0,0,56,5,2,271.1,141.5,5599,55,0,0,0
"25Pla",25,"Plattenwald",0,0,0,0,0,63,4,5,140.3,119,384,69,0,1,1
"24Pla",24,"Plattenwald",0,0,0,0,0,23,5,8,616.5,422,3953,64,1,1,2
"23Pla",23,"Plattenwald",0,0,0,0,1,2,2,1,181.5,181.5,313,50,0,0,0
"22Pla",22,"Plattenwald",0,0,0,0,0,21,3,0,835.7,467,2528,160,0,0,0
"21Pla",21,"Plattenwald",0,0,0,0,0,23,3,3,489,315,2897,141,1,3,3
"20Pla",20,"Plattenwald",0,0,0,0,1,2,1,0,3981,3981,7201,761,0,0,0
"19Pla",19,"Plattenwald",0,0,0,0,0,18,4,0,335.5,107,2970,65,0,0,0
"5Pla",5,"Plattenwald",0,0,0,0,0,19,3,5,215.4,114,698,50,0,0,0
"18Pla",18,"Plattenwald",0,0,0,0,1,1,1,1,71,71,71,71,0,0,0
"6Pla",6,"Plattenwald",0,0,0,0,0,19,4,8,445.4,100,5481,53,0,0,0
"70Pla",70,"Plattenwald",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0
"SUMME",424,"5",50,4,26,23,27,9893,30,2908,221.950455005056,120,8630,3,143,130,241
