"ID_plot","Plotnummer","Flaeche","Rand","Zaun","Rueckegasse","keine.baeume","Flaeche.bedeckt","n_trees","n_species","n_ash","height_mean","height_median","height_max","height_min","n_ets_new","n_ets_old","n_ets_total"
"47Sch",47,"Schotten",0,0,0,0,0,30,3,19,174.4,149,670,71,0,1,1
"48Sch",48,"Schotten",0,0,0,0,1,3,1,0,4056.7,4180,5500,2490,0,0,0
"49Sch",49,"Schotten",0,0,0,0,0,1,1,1,215,215,215,215,0,0,0
"17Sch",17,"Schotten",0,0,0,0,0,15,2,0,133.7,124,191,88,0,0,0
"18Sch",18,"Schotten",0,0,0,0,0,9,4,0,1266.1,620,3130,368,0,0,0
"19Sch",19,"Schotten",0,0,0,0,0,1,1,1,209,209,209,209,0,0,0
"20Sch",20,"Schotten",0,0,0,1,0,0,0,0,NA,NA,-Inf,Inf,0,0,0
"21Sch",21,"Schotten",0,0,1,0,0,21,6,2,651.2,605,1620,151,0,0,0
"22Sch",22,"Schotten",0,0,0,0,0,3,1,0,1184,1340,1718,494,0,0,0
"23Sch",23,"Schotten",0,0,0,0,0,3,2,0,67,54,101,46,0,0,0
"24Sch",24,"Schotten",0,0,0,0,0,28,6,5,246.1,206.5,741,82,0,0,0
"25Sch",25,"Schotten",0,0,0,0,0,55,5,10,368.4,270,1364,89,0,2,2
"26Sch",26,"Schotten",0,0,1,0,0,99,5,14,206.8,137,1450,53,0,1,1
"27Sch",27,"Schotten",0,0,1,0,0,8,3,0,289.5,155.5,704,96,0,0,0
"28Sch",28,"Schotten",0,0,0,0,0,34,6,3,502.9,337.5,2280,94,0,0,0
"29Sch",29,"Schotten",0,0,0,0,0,16,3,1,352.3,242,1728,95,0,0,0
"30Sch",30,"Schotten",0,0,0,1,0,0,0,0,NA,NA,-Inf,Inf,0,0,0
"31Sch",31,"Schotten",0,0,0,0,0,24,3,4,503.8,325.5,1801,66,0,0,0
"32Sch",32,"Schotten",0,0,1,0,0,8,4,2,356.5,216.5,1104,82,0,0,0
"33Sch",33,"Schotten",0,0,0,0,0,7,1,0,1645.9,649,5330,177,0,0,0
"34Sch",34,"Schotten",0,0,0,0,0,20,7,2,382.9,220.5,1910,95,0,0,0
"1Sch",1,"Schotten",0,0,0,1,0,0,0,0,NA,NA,-Inf,Inf,0,0,0
"2Sch",2,"Schotten",0,0,0,0,0,1,1,1,140,140,140,140,0,0,0
"3Sch",3,"Schotten",0,0,0,1,0,0,0,0,NA,NA,-Inf,Inf,0,0,0
"4Sch",4,"Schotten",0,0,0,0,0,10,3,3,500,93,4200,45,0,0,0
"5Sch",5,"Schotten",0,0,0,0,0,6,4,1,473,492,542,355,0,0,0
"6Sch",6,"Schotten",0,0,0,0,0,24,5,5,326.2,184.5,1920,77,0,0,0
"7Sch",7,"Schotten",0,0,0,0,0,71,5,3,155.4,119,1430,48,0,0,0
"8Sch",8,"Schotten",0,0,0,0,0,59,5,11,139.8,116,475,64,0,0,0
"9Sch",9,"Schotten",0,0,0,0,0,3,2,0,3122.7,3280,4250,1838,0,0,0
"10Sch",10,"Schotten",0,0,0,0,0,18,3,3,128.7,97,506,49,0,0,0
"11Sch",11,"Schotten",0,0,0,0,0,8,1,0,1628.4,668,4880,254,0,0,0
"12Sch",12,"Schotten",0,0,0,0,0,3,1,0,169.3,200,209,99,0,0,0
"13Sch",13,"Schotten",0,0,0,0,0,8,4,1,96,63,294,43,0,0,0
"14Sch",14,"Schotten",0,0,0,0,0,3,1,0,1102.7,468,2520,320,0,0,0
"15Sch",15,"Schotten",0,0,0,0,0,1,1,0,545,545,545,545,0,0,0
"16Sch",16,"Schotten",0,0,0,0,0,14,4,0,584.6,221,3270,59,0,0,0
"50Sch",50,"Schotten",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0
"51Sch",51,"Schotten",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0
"59Sch",59,"Schotten",0,1,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0
"66Sch",66,"Schotten",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0
"67Sch",67,"Schotten",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0
"1Mol",1,"Mollenfelde",0,0,0,0,0,4,1,0,312,180.5,747,140,0,0,0
"2Mol",2,"Mollenfelde",0,0,0,1,0,0,0,0,NA,NA,-Inf,Inf,0,0,0
"3Mol",3,"Mollenfelde",0,0,0,1,0,0,0,0,NA,NA,-Inf,Inf,0,0,0
"4Mol",4,"Mollenfelde",0,0,0,1,0,0,0,0,NA,NA,-Inf,Inf,0,0,0
"5Mol",5,"Mollenfelde",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0
"6Mol",6,"Mollenfelde",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0
"7Mol",7,"Mollenfelde",0,0,0,0,0,5,2,4,152.6,141,194,133,0,0,0
"8Mol",8,"Mollenfelde",0,0,0,0,0,9,4,6,77.9,62,176,36,0,0,0
"9Mol",9,"Mollenfelde",0,0,0,0,0,2,1,0,1237.5,1237.5,1690,785,0,0,0
"10Mol",10,"Mollenfelde",0,0,0,0,0,22,3,3,837.9,325,8630,68,0,0,0
"11Mol",11,"Mollenfelde",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0
"12Mol",12,"Mollenfelde",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0
"13Mol",13,"Mollenfelde",0,0,1,0,0,2,2,1,254,254,384,124,0,0,0
"14Mol",14,"Mollenfelde",0,0,1,1,0,0,0,0,NA,NA,-Inf,Inf,0,0,0
"15Mol",15,"Mollenfelde",0,0,1,0,0,3,2,2,89.7,75,123,71,0,0,0
"16Mol",16,"Mollenfelde",0,0,1,0,0,3,2,2,239.7,97,563,59,0,0,0
"17Mol",17,"Mollenfelde",0,0,1,1,0,0,0,0,NA,NA,-Inf,Inf,0,0,0
"18Mol",18,"Mollenfelde",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0
"19Mol",19,"Mollenfelde",0,0,0,0,1,21,3,8,64.6,60,116,41,0,0,0
"20Mol",20,"Mollenfelde",0,0,0,1,0,0,0,0,NA,NA,-Inf,Inf,0,0,0
"21Mol",21,"Mollenfelde",0,0,0,1,0,0,0,0,NA,NA,-Inf,Inf,0,0,0
"22Mol",22,"Mollenfelde",0,0,0,0,0,7,2,6,139.7,91,247,47,1,2,2
"23Mol",23,"Mollenfelde",0,0,0,0,0,11,3,6,168.9,186,260,55,1,0,1
"24Mol",24,"Mollenfelde",0,0,0,0,0,9,4,4,110,73,273,59,0,0,0
"27Mol",27,"Mollenfelde",0,0,0,0,0,4,2,2,179.5,175.5,281,86,0,0,0
"28Mol",28,"Mollenfelde",0,0,0,0,0,16,2,14,309.3,297.5,475,135,4,2,5
"29Mol",29,"Mollenfelde",0,0,0,1,0,0,0,0,NA,NA,-Inf,Inf,0,0,0
"30Mol",30,"Mollenfelde",0,0,0,0,0,4,2,1,1267.2,661.5,3290,456,0,0,0
"31Mol",31,"Mollenfelde",0,0,0,0,0,2,2,1,99.5,99.5,101,98,0,0,0
"32Mol",32,"Mollenfelde",0,0,0,1,0,0,0,0,NA,NA,-Inf,Inf,0,0,0
"33Mol",33,"Mollenfelde",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0
"36Mol",36,"Mollenfelde",0,0,0,0,0,22,5,10,72.2,62.5,174,35,0,0,0
"37Mol",37,"Mollenfelde",0,0,0,0,0,1,1,1,621,621,621,621,0,0,0
"38Mol",38,"Mollenfelde",0,0,0,0,0,3,2,2,234.7,234,243,227,0,1,1
"39Mol",39,"Mollenfelde",0,0,0,1,0,0,0,0,NA,NA,-Inf,Inf,0,0,0
"40Mol",40,"Mollenfelde",0,0,0,0,0,3,1,0,207.7,193,265,165,0,0,0
"41Mol",41,"Mollenfelde",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0
"42Mol",42,"Mollenfelde",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0
"43Mol",43,"Mollenfelde",0,0,0,0,0,6,2,0,176.2,154.5,346,68,0,0,0
"44Mol",44,"Mollenfelde",0,0,0,0,0,2,2,1,444,444,571,317,0,0,0
"45Mol",45,"Mollenfelde",0,0,0,1,0,0,0,0,NA,NA,-Inf,Inf,0,0,0
"35Mol",35,"Mollenfelde",0,0,0,0,0,6,2,5,75.8,77,94,56,0,0,0
"34Mol",34,"Mollenfelde",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0
"49Mol",49,"Mollenfelde",0,0,0,0,0,3,1,3,76,78,94,56,0,0,0
"48Mol",48,"Mollenfelde",0,0,0,0,0,2,1,2,136.5,136.5,217,56,0,0,0
"47Mol",47,"Mollenfelde",0,0,0,0,0,17,3,8,131.4,106,365,47,0,1,1
"46Mol",46,"Mollenfelde",0,0,0,0,0,1,1,1,4060,4060,4060,4060,1,1,1
"50Mol",50,"Mollenfelde",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0
"51Mol",51,"Mollenfelde",0,0,0,0,0,5,2,3,129,75,343,58,0,0,0
"52Mol",52,"Mollenfelde",0,0,0,0,0,3,2,2,93.3,78,133,69,0,0,0
"53Mol",53,"Mollenfelde",0,0,0,0,0,6,1,0,170.2,117.5,471,85,0,0,0
"54Mol",54,"Mollenfelde",0,0,0,0,0,3,2,1,75,72,105,48,0,0,0
"55Mol",55,"Mollenfelde",0,0,0,1,0,0,0,0,NA,NA,-Inf,Inf,0,0,0
"56Mol",56,"Mollenfelde",0,0,0,1,0,0,0,0,NA,NA,-Inf,Inf,0,0,0
"57Mol",57,"Mollenfelde",0,0,0,0,0,23,3,0,172,145,430,59,0,0,0
"58Mol",58,"Mollenfelde",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0
"59Mol",59,"Mollenfelde",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0
"60Mol",60,"Mollenfelde",0,0,0,0,0,9,4,1,373,225,863,99,0,0,0
"91Mol",91,"Mollenfelde",0,0,0,0,0,24,3,1,152.8,141.5,361,77,0,0,0
"90Mol",90,"Mollenfelde",0,0,0,0,0,9,3,3,1250.1,522,3590,119,1,1,1
"94Mol",94,"Mollenfelde",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0
"93Mol",93,"Mollenfelde",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0
"92Mol",92,"Mollenfelde",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0
"89Mol",89,"Mollenfelde",0,0,0,0,0,4,2,0,1476,758,4280,108,0,0,0
"88Mol",88,"Mollenfelde",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0
"87Mol",87,"Mollenfelde",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0
"86Mol",86,"Mollenfelde",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0
"85Mol",85,"Mollenfelde",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0
"84Mol",84,"Mollenfelde",0,0,0,0,0,22,4,12,172.1,87,920,39,1,0,1
"83Mol",83,"Mollenfelde",0,0,0,0,0,12,2,7,211.7,181,409,98,2,0,2
"82Mol",82,"Mollenfelde",0,0,0,0,0,11,3,4,536.6,569,1498,94,0,1,1
"81Mol",81,"Mollenfelde",0,0,0,0,0,7,4,3,213.1,90,663,62,1,0,1
"80Mol",80,"Mollenfelde",0,0,0,0,0,19,2,3,396.7,115,4485,57,0,1,1
