"ID_plant","ID_plot","Flaeche","Plotnummer","Rand","Zaun","Rueckegasse","keine.baeume","Flaeche.bedeckt","Referenz","Quadrant","Esche.markiert","Baumart_kurz","Baumart_lang","Hoehe","Hoehe.Vorjahr","Hoehe.Vorvorjahr","Anzahl.Triebe","ETS.abgestorben.frisch","ETS.abgestorben.alt","ETS.lebend","ETS","Verbiss.lebend","Verbiss.tot","Sonstige.Gruende.tot","von.Nekrose.bedroht","ETS.abgestorben.frisch.terminal","ETS.abgestorben.alt.terminal","ETS.lebend.terminal","Verbiss.lebend.terminal","Verbiss.tot.terminal","Sonstige.Gruende.tot.terminal","eigentlich.aelter","Johannistrieb","nicht.gerade","mehr.ressourcen","Pseudomonas.syringae","gruene.Hoehe","tot","Foto","KONTROLLIEREN","Bemerkungen"
16,"74Sch","Schotten",74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"nordost",NA,"BAh","Acer pseudoplatanus",134,127,114,NA,NA,NA,NA,FALSE,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,""
17,"74Sch","Schotten",74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"nordost",NA,"BAh","Acer pseudoplatanus",168,147,103,NA,NA,NA,NA,FALSE,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,""
18,"74Sch","Schotten",74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"nordost",NA,"BAh","Acer pseudoplatanus",79,70,64,NA,NA,NA,NA,FALSE,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,""
19,"74Sch","Schotten",74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"suedost",NA,"BAh","Acer pseudoplatanus",148,143,122,NA,NA,NA,NA,FALSE,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,""
20,"74Sch","Schotten",74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"suedost",NA,"HBu","Carpinus betulus",306,297,286,NA,NA,NA,NA,FALSE,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,""
21,"74Sch","Schotten",74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"suedost",NA,"BAh","Acer pseudoplatanus",189,178,156,NA,NA,NA,NA,FALSE,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,""
22,"74Sch","Schotten",74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"suedost",NA,"BAh","Acer pseudoplatanus",142,127,103,NA,NA,NA,NA,FALSE,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,""
23,"74Sch","Schotten",74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"suedost",NA,"GEs","Fraxinus excelsior",243,192,121,1,NA,NA,NA,FALSE,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,""
24,"74Sch","Schotten",74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"suedost",NA,"BAh","Acer pseudoplatanus",205,193,131,NA,NA,NA,NA,FALSE,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,""
25,"74Sch","Schotten",74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"suedost",NA,"SAh","Acer platanoides",154,125,88,NA,NA,NA,NA,FALSE,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,""
26,"74Sch","Schotten",74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"suedost",NA,"SAh","Acer platanoides",147,123,106,NA,NA,NA,NA,FALSE,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,""
27,"74Sch","Schotten",74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"suedost",NA,"BAh","Acer pseudoplatanus",120,114,96,NA,NA,NA,NA,FALSE,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,""
28,"74Sch","Schotten",74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"suedost",NA,"BAh","Acer pseudoplatanus",181,175,140,NA,NA,NA,NA,FALSE,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,""
29,"74Sch","Schotten",74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"suedost",NA,"GEs","Fraxinus excelsior",146,120,81,4,NA,NA,NA,FALSE,NA,NA,2,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,""
30,"74Sch","Schotten",74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"suedost",NA,"RBu","Fagus sylvatica",444,423,410,NA,NA,NA,NA,FALSE,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,""
31,"74Sch","Schotten",74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"suedost",NA,"GEs","Fraxinus excelsior",101,93,65,1,NA,NA,NA,FALSE,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,""
32,"74Sch","Schotten",74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"suedost",NA,"RBu","Fagus sylvatica",1237,1045,795,NA,NA,NA,NA,FALSE,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,""
33,"74Sch","Schotten",74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"suedost","suedost","GEs","Fraxinus excelsior",265,210,147,1,NA,NA,NA,FALSE,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,""
34,"74Sch","Schotten",74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"suedost",NA,"BAh","Acer pseudoplatanus",154,147,140,NA,NA,NA,NA,FALSE,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,""
35,"74Sch","Schotten",74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"suedost",NA,"BAh","Acer pseudoplatanus",334,312,191,NA,NA,NA,NA,FALSE,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,""
36,"74Sch","Schotten",74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"suedost",NA,"BAh","Acer pseudoplatanus",223,198,137,NA,NA,NA,NA,FALSE,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,""
37,"74Sch","Schotten",74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"suedost",NA,"BAh","Acer pseudoplatanus",141,134,113,NA,NA,NA,NA,FALSE,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,""
38,"74Sch","Schotten",74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"suedost",NA,"BAh","Acer pseudoplatanus",160,154,139,NA,NA,NA,NA,FALSE,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,""
39,"74Sch","Schotten",74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"suedost",NA,"BAh","Acer pseudoplatanus",92,86,79,NA,NA,NA,NA,FALSE,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,""
40,"74Sch","Schotten",74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"suedost",NA,"BAh","Acer pseudoplatanus",5,110,101,NA,NA,NA,NA,FALSE,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,""
41,"74Sch","Schotten",74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"suedost",NA,"BAh","Acer pseudoplatanus",445,395,290,NA,NA,NA,NA,FALSE,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,""
42,"74Sch","Schotten",74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"suedost",NA,"BAh","Acer pseudoplatanus",93,87,80,NA,NA,NA,NA,FALSE,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,""
43,"74Sch","Schotten",74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"suedost",NA,"BAh","Acer pseudoplatanus",119,114,89,NA,NA,NA,NA,FALSE,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,""
44,"74Sch","Schotten",74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"suedost",NA,"BAh","Acer pseudoplatanus",152,140,124,NA,NA,NA,NA,FALSE,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,""
45,"74Sch","Schotten",74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"suedost",NA,"BAh","Acer pseudoplatanus",166,152,117,NA,NA,NA,NA,FALSE,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,""
46,"74Sch","Schotten",74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"suedwest",NA,"HBu","Carpinus betulus",140,136,134,NA,NA,NA,NA,FALSE,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,"Bogenlampe"
47,"74Sch","Schotten",74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"suedwest",NA,"BAh","Acer pseudoplatanus",186,171,151,NA,NA,NA,NA,FALSE,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,""
48,"74Sch","Schotten",74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"suedwest",NA,"SAh","Acer platanoides",161,134,115,NA,NA,NA,NA,FALSE,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,""
49,"74Sch","Schotten",74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"suedwest",NA,"BAh","Acer pseudoplatanus",96,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,""
50,"74Sch","Schotten",74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"suedwest",NA,"SAh","Acer platanoides",268,215,136,NA,NA,NA,NA,FALSE,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,""
