"ID_plot","Plotnummer","Flaeche","Rand","Zaun","Rueckegasse","keine.baeume","Flaeche.bedeckt","x","y","n_trees","n_species","n_ash","height_mean","height_median","height_max","height_min","n_ets_new","n_ets_old","n_ets_total","ets_ratio","im_zaun"
"58Sch",58,"Schotten",0,1,0,1,0,509048.852703916,5592015.18073088,0,0,0,NA,NA,NA,NA,0,0,0,NA,1
"60Sch",60,"Schotten",0,0,0,0,0,509037.415771962,5592007.19633683,22,5,12,276.2,188,1407,95,3,0,3,0.25,1
"61Sch",61,"Schotten",0,0,0,0,0,509035.649581041,5591997.42791155,41,4,2,313,221,1664,99,0,0,0,0,1
"62Sch",62,"Schotten",0,0,0,0,0,509033.88339012,5591987.65948626,18,6,10,343.1,333,743,101,0,0,0,0,1
"64Sch",64,"Schotten",0,0,0,0,0,509030.351008277,5591968.12263569,35,4,8,376.1,327,1044,176,2,1,3,0.375,1
"65Sch",65,"Schotten",0,0,0,0,0,509028.584817356,5591958.3542104,59,5,20,375.3,190,2098,80,0,0,0,0,1
"68Sch",68,"Schotten",0,0,0,0,0,509018.914076323,5591960.13824164,44,3,0,199.2,184,523,44,0,0,0,NA,1
"71Sch",71,"Schotten",0,0,0,0,0,509024.212649087,5591989.44351749,38,5,5,374.1,235,1570,85,2,0,2,0.4,1
"72Sch",72,"Schotten",0,0,0,0,0,509025.978840008,5591999.21194278,34,4,2,274.9,208,1200,56,0,0,0,0,1
"73Sch",73,"Schotten",0,0,1,0,0,509027.745030929,5592008.98036806,8,3,1,86.5,53,236,36,0,0,0,0,1
"35Sch",35,"Schotten",0,0,0,0,0,509072.56635425,5591980.52336133,34,4,2,294,218.5,1061,90,0,0,0,0,1
"36Sch",36,"Schotten",0,0,0,0,0,509070.800163329,5591970.75493604,59,5,1,405.9,310,2096,73,0,0,0,0,1
"37Sch",37,"Schotten",0,0,0,0,0,509069.033972408,5591960.98651075,25,3,0,1263.9,1053,4210,262,0,0,0,NA,1
"38Sch",38,"Schotten",0,0,0,0,0,509067.267781486,5591951.21808547,20,4,1,286.1,195,1440,76,0,0,0,0,1
"39Sch",39,"Schotten",1,0,0,1,0,509065.501590565,5591941.44966018,0,0,0,NA,NA,NA,NA,0,0,0,NA,1
"40Sch",40,"Schotten",1,0,0,1,0,509055.830849533,5591943.23369142,0,0,0,NA,NA,NA,NA,0,0,0,NA,1
"41Sch",41,"Schotten",0,0,0,0,0,509064.661804139,5591992.07581784,14,4,1,294.1,144.5,1136,65,0,0,0,0,1
"42Sch",42,"Schotten",0,0,0,0,0,509066.42799506,5592001.84424313,5,2,0,539.6,406,943,100,0,0,0,NA,1
"43Sch",43,"Schotten",1,0,0,1,0,509058.523444948,5592013.39669965,0,0,0,NA,NA,NA,NA,0,0,0,NA,1
"44Sch",44,"Schotten",0,0,0,0,0,509056.757254027,5592003.62827436,2,2,1,590,590,880,300,0,0,0,0,1
"45Sch",45,"Schotten",0,0,0,0,0,509054.991063106,5591993.85984908,64,5,3,170.3,130,1030,38,0,0,0,0,1
"46Sch",46,"Schotten",0,0,0,0,0,509053.224872185,5591984.09142379,66,5,13,156.1,145,730,43,0,1,1,0.0769230769230769,1
"47Sch",47,"Schotten",0,0,0,0,0,509051.458681263,5591974.32299851,30,3,19,174.4,149,670,71,0,1,1,0.0526315789473684,1
"48Sch",48,"Schotten",0,0,0,0,1,509049.692490342,5591964.55457322,3,1,0,4056.7,4180,5500,2490,0,0,0,NA,1
"49Sch",49,"Schotten",0,0,0,0,0,509047.926299421,5591954.78614794,1,1,1,215,215,215,215,0,0,0,0,1
"17Sch",17,"Schotten",0,0,0,0,0,509093.674027236,5591986.72372414,15,2,0,133.7,124,191,88,0,0,0,NA,1
"18Sch",18,"Schotten",0,0,0,0,0,509091.907836315,5591976.95529886,9,4,0,1266.1,620,3130,368,0,0,0,NA,1
"19Sch",19,"Schotten",0,0,0,0,0,509090.141645394,5591967.18687357,1,1,1,209,209,209,209,0,0,0,0,1
"20Sch",20,"Schotten",0,0,0,1,0,509088.375454473,5591957.41844829,0,0,0,NA,NA,NA,NA,0,0,0,NA,1
"21Sch",21,"Schotten",0,0,1,0,0,509086.609263552,5591947.650023,21,6,2,651.2,605,1620,151,0,0,0,0,1
"22Sch",22,"Schotten",0,0,0,0,0,509084.84307263,5591937.88159772,3,1,0,1184,1340,1718,494,0,0,0,NA,1
"23Sch",23,"Schotten",0,0,0,0,0,509075.172331598,5591939.66562895,3,2,0,67,54,101,46,0,0,0,NA,1
"24Sch",24,"Schotten",0,0,0,0,0,509076.938522519,5591949.43405424,28,6,5,246.1,206.5,741,82,0,0,0,0,1
"25Sch",25,"Schotten",0,0,0,0,0,509078.70471344,5591959.20247952,55,5,10,368.4,270,1364,89,0,2,2,0.2,1
"26Sch",26,"Schotten",0,0,1,0,0,509080.470904361,5591968.97090481,99,5,14,206.8,137,1450,53,0,1,1,0.0714285714285714,1
"27Sch",27,"Schotten",0,0,1,0,0,509082.237095283,5591978.73933009,8,3,0,289.5,155.5,704,96,0,0,0,NA,1
"28Sch",28,"Schotten",0,0,0,0,0,509084.003286204,5591988.50775538,34,6,3,502.9,337.5,2280,94,0,0,0,0,1
"29Sch",29,"Schotten",0,0,0,0,0,509085.769477125,5591998.27618066,16,3,1,352.3,242,1728,95,0,0,0,0,1
"30Sch",30,"Schotten",0,0,0,1,0,509087.535668046,5592008.04460595,0,0,0,NA,NA,NA,NA,0,0,0,NA,1
"31Sch",31,"Schotten",0,0,0,0,0,509089.301858967,5592017.81303123,24,3,4,503.8,325.5,1801,66,0,0,0,0,1
"32Sch",32,"Schotten",0,0,1,0,0,509091.068049889,5592027.58145652,8,4,2,356.5,216.5,1104,82,0,0,0,0,1
"33Sch",33,"Schotten",0,0,0,0,0,509092.83424081,5592037.3498818,7,1,0,1645.9,649,5330,177,0,0,0,NA,1
"34Sch",34,"Schotten",0,0,0,0,0,509074.332545171,5591990.29178661,20,7,2,382.9,220.5,1910,95,0,0,0,0,1
"1Sch",1,"Schotten",0,0,0,1,0,509094.513813663,5591936.09756648,0,0,0,NA,NA,NA,NA,0,0,0,NA,1
"2Sch",2,"Schotten",0,0,0,0,0,509096.280004584,5591945.86599177,1,1,1,140,140,140,140,0,0,0,0,1
"3Sch",3,"Schotten",0,0,0,1,0,509098.046195505,5591955.63441705,0,0,0,NA,NA,NA,NA,0,0,0,NA,1
"4Sch",4,"Schotten",0,0,0,0,0,509099.812386427,5591965.40284234,10,3,3,500,93,4200,45,0,0,0,0,1
"5Sch",5,"Schotten",0,0,0,0,0,509101.578577348,5591975.17126762,6,4,1,473,492,542,355,0,0,0,0,1
"6Sch",6,"Schotten",0,0,0,0,0,509103.344768269,5591984.93969291,24,5,5,326.2,184.5,1920,77,0,0,0,0,1
"7Sch",7,"Schotten",0,0,0,0,0,509105.11095919,5591994.7081182,71,5,3,155.4,119,1430,48,0,0,0,0,1
"8Sch",8,"Schotten",0,0,0,0,0,509106.877150111,5592004.47654348,59,5,11,139.8,116,475,64,0,0,0,0,1
"9Sch",9,"Schotten",0,0,0,0,0,509108.643341033,5592014.24496877,3,2,0,3122.7,3280,4250,1838,0,0,0,NA,1
"10Sch",10,"Schotten",0,0,0,0,0,509110.409531954,5592024.01339405,18,3,3,128.7,97,506,49,0,0,0,0,1
"11Sch",11,"Schotten",0,0,0,0,0,509112.175722875,5592033.78181934,8,1,0,1628.4,668,4880,254,0,0,0,NA,1
"12Sch",12,"Schotten",0,0,0,0,0,509102.504981842,5592035.56585057,3,1,0,169.3,200,209,99,0,0,0,NA,1
"13Sch",13,"Schotten",0,0,0,0,0,509100.738790921,5592025.79742529,8,4,1,96,63,294,43,0,0,0,0,1
"14Sch",14,"Schotten",0,0,0,0,0,509098.9726,5592016.029,3,1,0,1102.7,468,2520,320,0,0,0,NA,1
"15Sch",15,"Schotten",0,0,0,0,0,509097.206409079,5592006.26057471,1,1,0,545,545,545,545,0,0,0,NA,1
"16Sch",16,"Schotten",0,0,0,0,0,509095.440218158,5591996.49214943,14,4,0,584.6,221,3270,59,0,0,0,NA,1
"50Sch",50,"Schotten",1,0,0,1,0,509046.1601085,5591945.01772265,0,0,0,NA,NA,NA,NA,0,0,0,NA,1
"51Sch",51,"Schotten",1,0,0,1,0,509036.489367467,5591946.80175388,0,0,0,NA,NA,NA,NA,0,0,0,NA,1
"59Sch",59,"Schotten",0,1,0,1,0,509039.181962883,5592016.96476212,0,0,0,NA,NA,NA,NA,0,0,0,NA,1
"66Sch",66,"Schotten",1,0,0,1,0,509026.818626435,5591948.58578512,0,0,0,NA,NA,NA,NA,0,0,0,NA,1
"67Sch",67,"Schotten",1,0,0,1,0,509017.147885402,5591950.36981635,0,0,0,NA,NA,NA,NA,0,0,0,NA,1
"1Mol",1,"Mollenfelde",0,0,0,0,0,4.69121008619493,85.1459531507008,4,1,0,312,180.5,747,140,0,0,0,NA,0
"2Mol",2,"Mollenfelde",0,0,0,1,0,8.18699236267761,75.764039791476,0,0,0,NA,NA,NA,NA,0,0,0,NA,0
"3Mol",3,"Mollenfelde",0,0,0,1,0,11.6827746391603,66.3821264322512,0,0,0,NA,NA,NA,NA,0,0,0,NA,0
"4Mol",4,"Mollenfelde",0,0,0,1,0,15.178556915643,57.0002130730263,0,0,0,NA,NA,NA,NA,0,0,0,NA,0
"5Mol",5,"Mollenfelde",1,0,0,1,0,18.6743391921256,47.6182997138015,0,0,0,NA,NA,NA,NA,0,0,0,NA,0
"6Mol",6,"Mollenfelde",1,0,0,1,0,31.6458539614254,41.6975569253516,0,0,0,NA,NA,NA,NA,0,0,0,NA,0
"7Mol",7,"Mollenfelde",0,0,0,0,0,28.1500716849427,51.0794702845764,5,2,4,152.6,141,194,133,0,0,0,0,0
"8Mol",8,"Mollenfelde",0,0,0,0,0,24.6542894084601,60.4613836438012,9,4,6,77.9,62,176,36,0,0,0,0,0
"9Mol",9,"Mollenfelde",0,0,0,0,0,21.1585071319774,69.8432970030261,2,1,0,1237.5,1237.5,1690,785,0,0,0,NA,0
"10Mol",10,"Mollenfelde",0,0,0,0,0,17.6627248554947,79.2252103622509,22,3,3,837.9,325,8630,68,0,0,0,0,0
"11Mol",11,"Mollenfelde",1,0,0,1,0,14.166942579012,88.6071237214758,0,0,0,NA,NA,NA,NA,0,0,0,NA,0
"12Mol",12,"Mollenfelde",1,0,0,1,0,23.6426750718291,92.0682942922507,0,0,0,NA,NA,NA,NA,0,0,0,NA,0
"13Mol",13,"Mollenfelde",0,0,1,0,0,27.1384573483118,82.6863809330259,2,2,1,254,254,384,124,0,0,0,0,0
"14Mol",14,"Mollenfelde",0,0,1,1,0,30.6342396247945,73.304467573801,0,0,0,NA,NA,NA,NA,0,0,0,NA,0
"15Mol",15,"Mollenfelde",0,0,1,0,0,34.1300219012771,63.9225542145762,3,2,2,89.7,75,123,71,0,0,0,0,0
"16Mol",16,"Mollenfelde",0,0,1,0,0,37.6258041777598,54.5406408553513,3,2,2,239.7,97,563,59,0,0,0,0,0
"17Mol",17,"Mollenfelde",0,0,1,1,0,41.1215864542425,45.1587274961265,0,0,0,NA,NA,NA,NA,0,0,0,NA,0
"18Mol",18,"Mollenfelde",1,0,0,1,0,44.6173687307252,35.7768141369017,0,0,0,NA,NA,NA,NA,0,0,0,NA,0
"19Mol",19,"Mollenfelde",0,0,0,0,1,54.0931012235423,39.2379847076766,21,3,8,64.6,60,116,41,0,0,0,0,0
"20Mol",20,"Mollenfelde",0,0,0,1,0,50.5973189470596,48.6198980669014,0,0,0,NA,NA,NA,NA,0,0,0,NA,0
"21Mol",21,"Mollenfelde",0,0,0,1,0,47.1015366705769,58.0018114261263,0,0,0,NA,NA,NA,NA,0,0,0,NA,0
"22Mol",22,"Mollenfelde",0,0,0,0,0,43.6057543940942,67.3837247853511,7,2,6,139.7,91,247,47,1,2,2,0.333333333333333,0
"23Mol",23,"Mollenfelde",0,0,0,0,0,40.1099721176116,76.765638144576,11,3,6,168.9,186,260,55,1,0,1,0.166666666666667,0
"24Mol",24,"Mollenfelde",0,0,0,0,0,36.6141898411289,86.1475515038008,9,4,4,110,73,273,59,0,0,0,0,0
"27Mol",27,"Mollenfelde",0,0,0,0,0,46.089922333946,89.6087220745757,4,2,2,179.5,175.5,281,86,0,0,0,0,0
"28Mol",28,"Mollenfelde",0,0,0,0,0,49.5857046104286,80.2268087153509,16,2,14,309.3,297.5,475,135,4,2,5,0.357142857142857,0
"29Mol",29,"Mollenfelde",0,0,0,1,0,53.0814868869113,70.844895356126,0,0,0,NA,NA,NA,NA,0,0,0,NA,0
"30Mol",30,"Mollenfelde",0,0,0,0,0,56.577269163394,61.4629819969012,4,2,1,1267.2,661.5,3290,456,0,0,0,0,0
"31Mol",31,"Mollenfelde",0,0,0,0,0,60.0730514398767,52.0810686376764,2,2,1,99.5,99.5,101,98,0,0,0,0,0
"32Mol",32,"Mollenfelde",0,0,0,1,0,63.5688337163594,42.6991552784515,0,0,0,NA,NA,NA,NA,0,0,0,NA,0
"33Mol",33,"Mollenfelde",1,0,0,1,0,67.0646159928421,33.3172419192267,0,0,0,NA,NA,NA,NA,0,0,0,NA,0
"36Mol",36,"Mollenfelde",0,0,0,0,0,69.5487839326938,55.5422392084513,22,5,10,72.2,62.5,174,35,0,0,0,0,0
"37Mol",37,"Mollenfelde",0,0,0,0,0,66.0530016562111,64.9241525676761,1,1,1,621,621,621,621,0,0,0,0,0
"38Mol",38,"Mollenfelde",0,0,0,0,0,62.5572193797284,74.306065926901,3,2,2,234.7,234,243,227,0,1,1,0.5,0
"39Mol",39,"Mollenfelde",0,0,0,1,0,59.0614371032457,83.6879792861258,0,0,0,NA,NA,NA,NA,0,0,0,NA,0
"40Mol",40,"Mollenfelde",0,0,0,0,0,55.5656548267631,93.0698926453506,3,1,0,207.7,193,265,165,0,0,0,NA,0
"41Mol",41,"Mollenfelde",1,0,0,1,0,52.0698725502804,102.451806004576,0,0,0,NA,NA,NA,NA,0,0,0,NA,0
"42Mol",42,"Mollenfelde",1,0,0,1,0,61.5456050430975,105.91297657535,0,0,0,NA,NA,NA,NA,0,0,0,NA,0
"43Mol",43,"Mollenfelde",0,0,0,0,0,65.0413873195802,96.5310632161256,6,2,0,176.2,154.5,346,68,0,0,0,NA,0
"44Mol",44,"Mollenfelde",0,0,0,0,0,68.5371695960628,87.1491498569007,2,2,1,444,444,571,317,0,0,0,0,0
"45Mol",45,"Mollenfelde",0,0,0,1,0,72.0329518725455,77.7672364976759,0,0,0,NA,NA,NA,NA,0,0,0,NA,1
"35Mol",35,"Mollenfelde",0,0,0,0,0,73.0445662091765,46.1603258492264,6,2,5,75.8,77,94,56,0,0,0,0,1
"34Mol",34,"Mollenfelde",1,0,0,1,0,76.5403484856592,36.7784124900016,0,0,0,NA,NA,NA,NA,0,0,0,NA,1
"49Mol",49,"Mollenfelde",0,0,0,0,0,86.0160809784762,40.2395830607765,3,1,3,76,78,94,56,0,0,0,0,1
"48Mol",48,"Mollenfelde",0,0,0,0,0,82.5202987019936,49.6214964200014,2,1,2,136.5,136.5,217,56,0,0,0,0,1
"47Mol",47,"Mollenfelde",0,0,0,0,0,79.0245164255109,59.0034097792262,17,3,8,131.4,106,365,47,0,1,1,0.125,1
"46Mol",46,"Mollenfelde",0,0,0,0,0,75.5287341490282,68.3853231384511,1,1,1,4060,4060,4060,4060,1,1,1,1,1
"50Mol",50,"Mollenfelde",1,0,0,1,0,98.987595747776,34.3188402723266,0,0,0,NA,NA,NA,NA,0,0,0,NA,1
"51Mol",51,"Mollenfelde",0,0,0,0,0,95.4918134712933,43.7007536315515,5,2,3,129,75,343,58,0,0,0,0,1
"52Mol",52,"Mollenfelde",0,0,0,0,0,91.9960311948107,53.0826669907763,3,2,2,93.3,78,133,69,0,0,0,0,1
"53Mol",53,"Mollenfelde",0,0,0,0,0,88.500248918328,62.4645803500011,6,1,0,170.2,117.5,471,85,0,0,0,NA,1
"54Mol",54,"Mollenfelde",0,0,0,0,0,85.0044666418453,71.846493709226,3,2,1,75,72,105,48,0,0,0,0,1
"55Mol",55,"Mollenfelde",0,0,0,1,0,81.5086843653626,81.2284070684508,0,0,0,NA,NA,NA,NA,0,0,0,NA,1
"56Mol",56,"Mollenfelde",0,0,0,1,0,78.0129020888799,90.6103204276757,0,0,0,NA,NA,NA,NA,0,0,0,NA,1
"57Mol",57,"Mollenfelde",0,0,0,0,0,74.5171198123973,99.9922337869005,23,3,0,172,145,430,59,0,0,0,NA,1
"58Mol",58,"Mollenfelde",1,0,0,1,0,71.0213375359146,109.374147146125,0,0,0,NA,NA,NA,NA,0,0,0,NA,1
"59Mol",59,"Mollenfelde",1,0,0,1,0,80.4970700287317,112.8353177169,0,0,0,NA,NA,NA,NA,0,0,0,NA,1
"60Mol",60,"Mollenfelde",0,0,0,0,0,83.9928523052143,103.453404357675,9,4,1,373,225,863,99,0,0,0,0,1
"91Mol",91,"Mollenfelde",0,0,0,0,0,112.420049783666,113.83691607,24,3,1,152.8,141.5,361,77,0,0,0,0,1
"90Mol",90,"Mollenfelde",0,0,0,0,0,115.915832060148,104.455002710775,9,3,3,1250.1,522,3590,119,1,1,1,0.333333333333333,1
"94Mol",94,"Mollenfelde",1,0,0,1,0,121.895782276483,117.298086640775,0,0,0,NA,NA,NA,NA,0,0,0,NA,1
"93Mol",93,"Mollenfelde",1,0,0,1,0,118.4,126.68,0,0,0,NA,NA,NA,NA,0,0,0,NA,1
"92Mol",92,"Mollenfelde",1,0,0,1,0,108.924267507183,123.218829429225,0,0,0,NA,NA,NA,NA,0,0,0,NA,1
"89Mol",89,"Mollenfelde",0,0,0,0,0,119.411614336631,95.0730893515505,4,2,0,1476,758,4280,108,0,0,0,NA,1
"88Mol",88,"Mollenfelde",1,0,0,1,0,122.907396613114,85.6911759923257,0,0,0,NA,NA,NA,NA,0,0,0,NA,1
"87Mol",87,"Mollenfelde",1,0,0,1,0,126.403178889596,76.3092626331009,0,0,0,NA,NA,NA,NA,0,0,0,NA,1
"86Mol",86,"Mollenfelde",1,0,0,1,0,129.898961166079,66.927349273876,0,0,0,NA,NA,NA,NA,0,0,0,NA,1
"85Mol",85,"Mollenfelde",1,0,0,1,0,127.414793226227,44.7023519846514,0,0,0,NA,NA,NA,NA,0,0,0,NA,1
"84Mol",84,"Mollenfelde",0,0,0,0,0,123.919010949745,54.0842653438763,22,4,12,172.1,87,920,39,1,0,1,0.0833333333333333,1
"83Mol",83,"Mollenfelde",0,0,0,0,0,120.423228673262,63.4661787031011,12,2,7,211.7,181,409,98,2,0,2,0.285714285714286,1
"82Mol",82,"Mollenfelde",0,0,0,0,0,116.927446396779,72.8480920623259,11,3,4,536.6,569,1498,94,0,1,1,0.25,1
"81Mol",81,"Mollenfelde",0,0,0,0,0,113.431664120297,82.2300054215508,7,4,3,213.1,90,663,62,1,0,1,0.333333333333333,1
"80Mol",80,"Mollenfelde",0,0,0,0,0,109.935881843814,91.6119187807756,19,2,3,396.7,115,4485,57,0,1,1,0.333333333333333,1
"79Mol",79,"Mollenfelde",0,0,1,0,0,106.440099567331,100.99383214,16,3,0,123.1,108.5,325,80,0,0,0,NA,1
"78Mol",78,"Mollenfelde",0,0,0,0,0,102.944317290849,110.375745499225,44,5,2,233.8,178.5,866,86,1,0,1,0.5,1
"61Mol",61,"Mollenfelde",0,0,0,0,0,87.488634581697,94.0714909984506,5,3,2,2040.6,1215,6110,636,1,2,2,1,1
"65Mol",65,"Mollenfelde",0,0,0,0,0,101.471763687628,56.5438375615512,15,5,4,172.9,163,355,51,0,0,0,0,1
"70Mol",70,"Mollenfelde",0,0,0,0,0,110.947496180445,60.0050081323262,19,4,8,86.5,78,158,49,0,0,0,0,1
"72Mol",72,"Mollenfelde",0,0,1,0,0,103.955931627479,78.7688348507759,44,4,3,83.2,77.5,194,33,0,0,0,0,1
"74Mol",74,"Mollenfelde",0,0,0,0,0,96.9643670745141,97.5326615692255,24,4,4,168.5,164.5,305,74,0,0,0,0,1
"76Mol",76,"Mollenfelde",1,0,0,1,0,89.9728025215487,116.296488287675,0,0,0,NA,NA,NA,NA,0,0,0,NA,1
"77Mol",77,"Mollenfelde",1,0,0,1,0,99.4485350143658,119.75765885845,0,0,0,NA,NA,NA,NA,0,0,0,NA,1
"62Mol",62,"Mollenfelde",0,0,0,1,0,90.9844168581797,84.6895776392258,0,0,0,NA,NA,NA,NA,0,0,0,NA,1
"63Mol",63,"Mollenfelde",0,0,0,0,0,94.4801991346624,75.3076642800009,13,1,0,153.5,138,371,77,0,0,0,NA,1
"64Mol",64,"Mollenfelde",0,0,0,0,0,97.9759814111451,65.9257509207761,5,1,0,421.2,156,1336,85,0,0,0,NA,1
"66Mol",66,"Mollenfelde",0,0,1,0,0,104.96754596411,47.1619242023264,1,1,0,824,824,824,824,0,0,0,NA,1
"69Mol",69,"Mollenfelde",0,0,0,0,0,114.443278456928,50.6230947731013,31,4,15,66,61,190,32,0,0,0,0,1
"71Mol",71,"Mollenfelde",0,0,0,0,0,107.451713903962,69.386921491551,7,3,3,586.3,347,1610,212,1,0,1,0.333333333333333,1
"73Mol",73,"Mollenfelde",0,0,0,0,0,100.460149350997,88.1507482100007,10,3,0,564.7,526.5,1100,96,0,0,0,NA,1
"75Mol",75,"Mollenfelde",0,0,0,0,0,93.4685847980314,106.91457492845,104,1,0,201,170,678,60,0,0,0,NA,1
"68Mol",68,"Mollenfelde",1,0,0,1,0,117.93906073341,41.2411814138765,0,0,0,NA,NA,NA,NA,0,0,0,NA,1
"67Mol",67,"Mollenfelde",1,0,0,1,0,108.463328240593,37.7800108431016,0,0,0,NA,NA,NA,NA,0,0,0,NA,1
